real_name,obj1,obj2
gen=54_member=2720_pso,-9.99415,0.0132209
gen=73_member=3697_pso,-7.22704,-7.74623
gen=29_member=1488_pso,-9.07912,0.00416
gen=30_member=1514_pso,-7.66886,-5.42129
gen=77_member=3869_pso,-8.42793,-1.99429
gen=71_member=3559_pso,-8.8345,-0.482404
gen=75_member=3792_pso,-8.12369,-3.46704
gen=64_member=3234_pso,-7.64126,-5.63953
gen=93_member=4663_pso,-8.40549,-2.13395
gen=41_member=2066_pso,-7.71305,-5.09058
gen=98_member=4914_pso,-7.95694,-3.87069
gen=22_member=1106_pso,-7.60726,-5.87004
gen=35_member=1776_pso,-7.34132,-7.4946
gen=64_member=3240_pso,-8.07366,-3.6129
gen=69_member=3464_pso,-7.87981,-3.88333
gen=37_member=1872_pso,-8.25889,-2.76405
gen=16_member=845_pso,-8.46891,-1.79709
gen=16_member=831_pso,-7.82031,-4.27243
gen=56_member=2821_pso,-8.37426,-2.25642
gen=38_member=1922_pso,-7.62538,-5.72036
gen=74_member=3701_pso,-8.02225,-3.71972
gen=72_member=3641_pso,-7.40025,-7.23965
gen=30_member=1519_pso,-8.45871,-1.83718
gen=31_member=1569_pso,-8.50561,-1.62887
gen=49_member=2490_pso,-7.73476,-4.95706
gen=61_member=3079_pso,-7.49093,-6.70528
gen=15_member=769_pso,-8.21545,-3.01817
gen=78_member=3915_pso,-8.78781,-0.594084
gen=42_member=2143_pso,-8.87336,-0.390066
gen=45_member=2251_pso,-7.30538,-7.60555
gen=26_member=1322_pso,-7.69026,-5.23027
gen=74_member=3741_pso,-8.34115,-2.40047
gen=100_member=5006_pso,-8.6756,-0.97811
gen=45_member=2279_pso,-8.1685,-3.2223
gen=55_member=2757_pso,-7.68343,-5.27258
gen=19_member=995_pso,-8.05548,-3.63796
gen=33_member=1691_pso,-7.28025,-7.682
gen=18_member=920_pso,-8.24589,-2.8917
gen=52_member=2649_pso,-7.38431,-7.31331
gen=85_member=4283_pso,-7.51307,-6.55628
gen=87_member=4375_pso,-7.84155,-4.15983
gen=36_member=1848_pso,-8.36418,-2.35036
gen=22_member=1114_pso,-7.57206,-6.16338
gen=23_member=1177_pso,-7.85806,-3.94842
gen=57_member=2873_pso,-8.73282,-0.774103
gen=93_member=4667_pso,-7.80821,-4.40014
gen=77_member=3862_pso,-8.70927,-0.868609
