real_name,x1,x2
gen=8_member=857_pso,0.700047,0.696324
gen=20_member=2045_pso,-0.700057,-0.709864
gen=10_member=1065_pso,-0.557674,-0.520011
gen=13_member=1340_pso,-0.573632,-0.415977
gen=12_member=1258_pso,-0.321603,-0.333509
gen=7_member=763_pso,-0.357328,-0.34848
gen=16_member=1689_pso,0.273451,0.283234
gen=18_member=1882_pso,-0.558106,-0.571487
gen=15_member=1538_pso,-0.428758,-0.335252
gen=20_member=2024_pso,-0.43723,-0.367022
gen=13_member=1390_pso,0.350799,0.489125
gen=20_member=2073_pso,0.0191195,-0.0362873
gen=13_member=1397_pso,0.418021,0.294564
gen=15_member=1573_pso,0.145512,0.222546
gen=20_member=2091_pso,-0.151023,-0.174558
gen=15_member=1588_pso,0.0470884,0.0346885
gen=13_member=1315_pso,0.282875,0.19499
gen=11_member=1156_pso,-0.281862,-0.181261
gen=9_member=935_pso,0.497875,0.630778
gen=19_member=1998_pso,-0.517069,-0.426838
gen=17_member=1794_pso,0.0769411,-0.0146006
gen=17_member=1752_pso,-0.0544346,-0.117256
gen=15_member=1565_pso,0.307515,0.36342
gen=8_member=830_pso,-0.279504,-0.345243
gen=15_member=1547_pso,0.303738,0.313537
gen=15_member=1592_pso,-0.581761,-0.649335
gen=17_member=1713_pso,0.245926,0.144166
gen=13_member=1308_pso,0.323348,0.327038
gen=12_member=1273_pso,-0.34958,-0.578736
gen=11_member=1177_pso,0.164573,0.248785
gen=11_member=1107_pso,0.0783962,-0.0652203
gen=17_member=1790_pso,-0.1099,-0.193455
gen=16_member=1696_pso,0.204098,0.32991
gen=14_member=1418_pso,-0.367639,-0.365814
gen=10_member=1069_pso,-0.272787,-0.21577
gen=17_member=1731_pso,0.184067,0.262627
gen=12_member=1271_pso,-0.0246367,0.0636497
gen=18_member=1899_pso,-0.114743,0.0289491
gen=9_member=906_pso,-0.0733522,-0.17267
gen=17_member=1730_pso,-0.189203,-0.160472
gen=20_member=2055_pso,-0.147091,-0.25752
gen=3_member=384_pso,-0.0767189,-0.149606
gen=18_member=1854_pso,-0.0253542,-0.0290327
gen=10_member=1059_pso,-0.107857,-0.157857
gen=18_member=1806_pso,-0.0651056,0.0323389
gen=16_member=1630_pso,0.479276,0.573999
gen=16_member=1603_pso,0.580071,0.632401
gen=9_member=979_pso,0.117075,-0.0102012
gen=11_member=1119_pso,0.370958,0.37556
gen=14_member=1409_pso,-0.124172,-0.159426
gen=16_member=1649_pso,0.179461,0.114682
gen=15_member=1555_pso,-0.258669,-0.345861
gen=18_member=1848_pso,0.411615,0.370057
gen=7_member=760_pso,0.193731,0.146665
gen=8_member=893_pso,-0.261402,-0.243631
gen=17_member=1762_pso,0.301982,0.286644
gen=19_member=1904_pso,-0.245747,-0.179956
gen=18_member=1864_pso,-0.147469,-0.0555326
gen=17_member=1795_pso,0.517489,0.415507
gen=20_member=2060_pso,-0.239941,-0.144811
gen=17_member=1773_pso,0.576834,0.577871
gen=19_member=1996_pso,-0.124459,-0.00624355
gen=9_member=922_pso,0.612008,0.714707
gen=14_member=1467_pso,0.0227915,0.112679
gen=13_member=1380_pso,0.120173,0.149748
gen=15_member=1558_pso,-0.23979,-0.199727
gen=3_member=347_pso,0.371355,0.426887
gen=17_member=1782_pso,-0.132029,-0.236456
gen=14_member=1457_pso,0.0483867,0.199785
gen=6_member=619_pso,0.497218,0.466134
gen=20_member=2071_pso,0.046646,-0.118322
gen=14_member=1484_pso,0.168963,0.265627
gen=11_member=1183_pso,0.23528,0.274991
gen=6_member=689_pso,0.24603,0.248433
gen=18_member=1855_pso,0.538744,0.484371
gen=10_member=1052_pso,0.375916,0.354407
gen=20_member=2068_pso,-0.390988,-0.481596
gen=19_member=1958_pso,-0.28465,-0.295792
gen=17_member=1734_pso,0.566482,0.431114
gen=20_member=2075_pso,-0.661787,-0.621255
