real_name,obj1,obj2
gen=38_member=3805_pso,0.000157879,0.982485
gen=12_member=1241_pso,0.981812,0.000348999
gen=36_member=3612_pso,0.652433,0.611278
gen=15_member=1584_pso,0.138253,0.926314
gen=30_member=3003_pso,0.960724,0.0397402
gen=23_member=2303_pso,0.811753,0.398071
gen=27_member=2704_pso,0.208973,0.900056
gen=38_member=3811_pso,0.188216,0.910758
gen=22_member=2212_pso,0.8902,0.235521
gen=37_member=3727_pso,0.931872,0.129373
gen=33_member=3378_pso,0.937298,0.107694
gen=34_member=3434_pso,0.430052,0.790702
gen=40_member=4021_pso,0.470607,0.765251
gen=22_member=2265_pso,0.80012,0.414822
gen=39_member=3920_pso,0.636166,0.631657
gen=38_member=3898_pso,0.898362,0.211964
gen=11_member=1164_pso,0.258125,0.879726
gen=36_member=3677_pso,0.160324,0.918176
gen=25_member=2597_pso,0.0596732,0.954354
gen=29_member=2911_pso,0.453672,0.775634
gen=34_member=3409_pso,0.909496,0.183425
gen=16_member=1639_pso,0.75099,0.491367
gen=36_member=3655_pso,0.222617,0.894029
gen=38_member=3819_pso,0.381284,0.819093
gen=31_member=3188_pso,0.54776,0.708824
gen=36_member=3675_pso,0.120043,0.932737
gen=32_member=3238_pso,0.759492,0.478099
gen=37_member=3746_pso,0.924406,0.143324
gen=37_member=3725_pso,0.397686,0.811996
gen=26_member=2685_pso,0.348304,0.836658
gen=18_member=1853_pso,0.097239,0.940721
gen=37_member=3792_pso,0.513593,0.734274
gen=23_member=2381_pso,0.692212,0.570088
gen=25_member=2565_pso,0.681388,0.579316
gen=18_member=1896_pso,0.6728,0.591563
gen=39_member=3992_pso,0.0161269,0.97085
gen=30_member=3066_pso,0.334426,0.843561
gen=30_member=3030_pso,0.66211,0.600903
gen=29_member=2996_pso,0.482849,0.756612
gen=32_member=3207_pso,0.903049,0.201969
gen=40_member=4038_pso,0.0375222,0.962157
gen=37_member=3736_pso,0.858181,0.308915
gen=30_member=3015_pso,0.741645,0.504277
gen=25_member=2550_pso,0.275784,0.871333
gen=29_member=2929_pso,0.44407,0.783996
gen=36_member=3635_pso,0.498908,0.753881
gen=37_member=3722_pso,0.559113,0.698772
gen=26_member=2608_pso,0.884231,0.246794
gen=39_member=3979_pso,0.528772,0.722787
gen=31_member=3113_pso,0.579057,0.683802
gen=37_member=3720_pso,0.95468,0.0566205
gen=35_member=3599_pso,0.767914,0.466349
gen=40_member=4036_pso,0.602183,0.66168
gen=28_member=2881_pso,0.942725,0.0918292
gen=11_member=1162_pso,0.840045,0.343044
gen=39_member=3967_pso,0.321568,0.850025
gen=31_member=3128_pso,0.818683,0.381624
gen=37_member=3771_pso,0.297733,0.861535
gen=34_member=3459_pso,0.0766761,0.947922
gen=28_member=2840_pso,0.413634,0.801882
gen=34_member=3449_pso,0.618024,0.646098
gen=34_member=3403_pso,0.309623,0.855825
gen=27_member=2778_pso,0.919217,0.158572
gen=38_member=3804_pso,0.1739,0.916005
gen=28_member=2803_pso,0.969299,0.0179233
gen=32_member=3220_pso,0.569193,0.691672
gen=33_member=3335_pso,0.915208,0.16945
gen=40_member=4060_pso,0.50794,0.743109
gen=38_member=3888_pso,0.864339,0.291346
gen=25_member=2525_pso,0.793111,0.427457
gen=35_member=3541_pso,0.705437,0.550948
gen=36_member=3638_pso,0.535719,0.718258
gen=34_member=3435_pso,0.824072,0.373772
gen=26_member=2644_pso,0.774762,0.4558
gen=33_member=3324_pso,0.701926,0.558786
gen=30_member=3041_pso,0.946764,0.080025
gen=29_member=2978_pso,0.284783,0.86733
gen=20_member=2059_pso,0.951346,0.068343
gen=37_member=3767_pso,0.361813,0.829415
gen=24_member=2492_pso,0.830527,0.360704
