real_name,obj1,obj2
gen=40_member=4000_pso,0.978351,0.245957
gen=40_member=4001_pso,0.392038,0.882834
gen=40_member=4002_pso,0.995706,0.163045
gen=40_member=4003_pso,0.899314,0.217246
gen=40_member=4004_pso,0.291172,0.865437
gen=40_member=4005_pso,0.846686,0.328442
gen=40_member=4006_pso,0.436075,0.798602
gen=40_member=4007_pso,0.997853,0.371536
gen=40_member=4008_pso,0.927352,0.239076
gen=40_member=4009_pso,0.877351,0.265371
gen=40_member=4010_pso,0.847693,0.330424
gen=40_member=4011_pso,0.253692,0.95638
gen=40_member=4012_pso,0.194812,0.905259
gen=40_member=4013_pso,0.9269,0.246886
gen=40_member=4014_pso,0.440586,0.784873
gen=40_member=4015_pso,0.646407,0.697838
gen=40_member=4016_pso,0.00432732,0.979863
gen=40_member=4017_pso,0.777479,0.918841
gen=40_member=4018_pso,0.840987,0.362238
gen=40_member=4019_pso,0.567063,0.732488
gen=40_member=4020_pso,0.833599,0.366924
gen=40_member=4021_pso,0.470607,0.765251
gen=40_member=4022_pso,0.61971,0.996337
gen=40_member=4023_pso,0.209236,0.902638
gen=40_member=4024_pso,0.39315,0.812783
gen=40_member=4025_pso,0.793258,0.446635
gen=40_member=4026_pso,0.640797,0.624719
gen=40_member=4027_pso,0.559442,0.766046
gen=40_member=4028_pso,0.849248,0.3245
gen=40_member=4029_pso,0.460137,0.771426
gen=40_member=4030_pso,0.833748,0.374938
gen=40_member=4031_pso,0.273703,0.997823
gen=40_member=4032_pso,0.629985,0.970343
gen=40_member=4033_pso,0.29329,0.863415
gen=40_member=4034_pso,0.321289,0.962691
gen=40_member=4035_pso,0.643619,0.623502
gen=40_member=4036_pso,0.602183,0.66168
gen=40_member=4037_pso,0.799312,0.498034
gen=40_member=4038_pso,0.0375222,0.962157
gen=40_member=4039_pso,0.996832,0.147999
gen=40_member=4040_pso,0.43699,0.795089
gen=40_member=4041_pso,0.961344,0.0406656
gen=40_member=4042_pso,0.59388,0.678132
gen=40_member=4043_pso,0.645552,0.627292
gen=40_member=4044_pso,0.24549,0.892645
gen=40_member=4045_pso,0.442536,0.83496
gen=40_member=4046_pso,0.647031,0.621582
gen=40_member=4047_pso,0.978469,0.0211307
gen=40_member=4048_pso,0.917355,0.473965
gen=40_member=4049_pso,0.953484,0.129478
gen=40_member=4050_pso,0.182076,0.996701
gen=40_member=4051_pso,0.72659,0.533149
gen=40_member=4052_pso,0.756868,0.903887
gen=40_member=4053_pso,0.62695,0.668357
gen=40_member=4054_pso,0.770845,0.461303
gen=40_member=4055_pso,0.953603,0.0667407
gen=40_member=4056_pso,0.0139395,0.98488
gen=40_member=4057_pso,0.549151,0.7114
gen=40_member=4058_pso,0.739983,0.561303
gen=40_member=4059_pso,0.788319,0.436355
gen=40_member=4060_pso,0.50794,0.743109
gen=40_member=4061_pso,0.0174433,0.986197
gen=40_member=4062_pso,0.397608,0.851533
gen=40_member=4063_pso,0.835883,0.689865
gen=40_member=4064_pso,0.850135,0.329873
gen=40_member=4065_pso,0.516942,0.957745
gen=40_member=4066_pso,0.785262,0.52405
gen=40_member=4067_pso,0.902707,0.225006
gen=40_member=4068_pso,0.0203731,0.989223
gen=40_member=4069_pso,0.43199,0.826895
gen=40_member=4070_pso,0.68519,0.593897
gen=40_member=4071_pso,0.560031,0.701216
gen=40_member=4072_pso,0.476953,0.769145
gen=40_member=4073_pso,0.474172,0.769206
gen=40_member=4074_pso,0.46824,0.946106
gen=40_member=4075_pso,0.977958,0.82541
gen=40_member=4076_pso,0.344213,0.848424
gen=40_member=4077_pso,0.567409,0.731893
gen=40_member=4078_pso,0.805257,0.533619
gen=40_member=4079_pso,0.984361,0.211045
gen=40_member=4080_pso,0.101766,0.9456
gen=40_member=4081_pso,0.979955,0.31732
gen=40_member=4082_pso,0.918183,0.160213
gen=40_member=4083_pso,0.283045,0.878614
gen=40_member=4084_pso,0.588687,0.673135
gen=40_member=4085_pso,0.110377,0.940375
gen=40_member=4086_pso,0.537485,0.793476
gen=40_member=4087_pso,0.985103,0.0313465
gen=40_member=4088_pso,0.0191856,0.989585
gen=40_member=4089_pso,0.322053,0.851741
gen=40_member=4090_pso,0.887217,0.313415
gen=40_member=4091_pso,0.755234,0.487603
gen=40_member=4092_pso,0.0825215,0.9513
gen=40_member=4093_pso,0.386608,0.831939
gen=40_member=4094_pso,0.0700041,0.987587
gen=40_member=4095_pso,0.0615718,0.993066
gen=40_member=4096_pso,0.801388,0.446577
gen=40_member=4097_pso,0.529964,0.728953
gen=40_member=4098_pso,0.823844,0.406003
gen=40_member=4099_pso,0.663333,0.631794
