real_name,x1,x2
gen=60_member=6000_pso,0.70587,0.721392
gen=60_member=6001_pso,-0.863802,-0.979403
gen=60_member=6002_pso,-0.157897,-0.0719548
gen=60_member=6003_pso,-0.47707,-0.576556
gen=60_member=6004_pso,0.438068,0.548905
gen=60_member=6005_pso,0.29464,0.442097
gen=60_member=6006_pso,0.914988,-0.586804
gen=60_member=6007_pso,-0.16026,-0.289042
gen=60_member=6008_pso,0.113975,0.446963
gen=60_member=6009_pso,-0.539997,-0.468036
gen=60_member=6010_pso,-1.35135,-0.706796
gen=60_member=6011_pso,0.298008,0.120182
gen=60_member=6012_pso,0.574335,0.608455
gen=60_member=6013_pso,0.0294554,-0.665596
gen=60_member=6014_pso,0.0635391,-0.17834
gen=60_member=6015_pso,-0.532721,-0.756075
gen=60_member=6016_pso,-0.305897,0.126552
gen=60_member=6017_pso,0.619421,0.393637
gen=60_member=6018_pso,0.224879,0.134327
gen=60_member=6019_pso,0.403529,0.857498
gen=60_member=6020_pso,0.0974403,0.226479
gen=60_member=6021_pso,-0.696807,-0.889236
gen=60_member=6022_pso,-0.674103,-0.647312
gen=60_member=6023_pso,0.5279,0.41266
gen=60_member=6024_pso,-0.270692,0.247508
gen=60_member=6025_pso,0.358894,0.7104
gen=60_member=6026_pso,-0.451793,0.206298
gen=60_member=6027_pso,0.129822,0.152549
gen=60_member=6028_pso,-0.200448,-0.0427186
gen=60_member=6029_pso,-0.573047,-0.110564
gen=60_member=6030_pso,0.196047,0.666931
gen=60_member=6031_pso,0.0396227,0.212801
gen=60_member=6032_pso,0.946461,0.88577
gen=60_member=6033_pso,-0.219679,-0.284813
gen=60_member=6034_pso,-0.0159413,0.0772498
gen=60_member=6035_pso,-1.07407,-1.05915
gen=60_member=6036_pso,0.248974,0.425734
gen=60_member=6037_pso,-0.335154,-0.393047
gen=60_member=6038_pso,-0.0248293,0.0842633
gen=60_member=6039_pso,-0.172451,-0.215179
gen=60_member=6040_pso,-0.391688,-0.355132
gen=60_member=6041_pso,-0.427033,-0.38852
gen=60_member=6042_pso,0.164577,0.228201
gen=60_member=6043_pso,0.0383604,0.507343
gen=60_member=6044_pso,0.131677,-0.0115703
gen=60_member=6045_pso,-0.0751043,-0.250341
gen=60_member=6046_pso,0.531729,0.592661
gen=60_member=6047_pso,0.34683,0.319338
gen=60_member=6048_pso,1.08068,1.22081
gen=60_member=6049_pso,-0.61569,-1.10469
gen=60_member=6050_pso,0.339572,0.269965
gen=60_member=6051_pso,0.0349787,0.119248
gen=60_member=6052_pso,-0.729427,-0.782242
gen=60_member=6053_pso,-0.153913,-0.164972
gen=60_member=6054_pso,-0.74581,-0.501044
gen=60_member=6055_pso,-0.52542,0.477289
gen=60_member=6056_pso,-0.677104,-0.819131
gen=60_member=6057_pso,1.09976,-0.643026
gen=60_member=6058_pso,-0.189611,-0.136299
gen=60_member=6059_pso,-0.262722,0.00584561
gen=60_member=6060_pso,0.178006,0.210752
gen=60_member=6061_pso,-0.32965,-0.599107
gen=60_member=6062_pso,-0.373033,-0.552017
gen=60_member=6063_pso,-0.384132,-0.151346
gen=60_member=6064_pso,-0.344407,-0.101577
gen=60_member=6065_pso,0.411249,0.22768
gen=60_member=6066_pso,0.25468,0.350577
gen=60_member=6067_pso,-0.209034,-0.322398
gen=60_member=6068_pso,0.268307,0.522383
gen=60_member=6069_pso,0.355334,0.615807
gen=60_member=6070_pso,0.154209,-0.38695
gen=60_member=6071_pso,0.260474,0.192108
gen=60_member=6072_pso,0.275042,0.592527
gen=60_member=6073_pso,1.21095,0.0250363
gen=60_member=6074_pso,-0.196467,-0.233026
gen=60_member=6075_pso,-0.534683,-0.617893
gen=60_member=6076_pso,-0.592087,-0.732975
gen=60_member=6077_pso,-0.300894,-0.13373
gen=60_member=6078_pso,0.232263,0.185361
gen=60_member=6079_pso,-0.162035,-0.255326
gen=60_member=6080_pso,-0.268849,-1.25556
gen=60_member=6081_pso,-0.0599613,-0.506533
gen=60_member=6082_pso,0.823946,0.545586
gen=60_member=6083_pso,-1.34538,0.074229
gen=60_member=6084_pso,0.517509,0.679158
gen=60_member=6085_pso,-0.132534,-0.393287
gen=60_member=6086_pso,0.665734,0.565875
gen=60_member=6087_pso,-0.672046,-0.738947
gen=60_member=6088_pso,0.33298,0.444029
gen=60_member=6089_pso,-0.183058,-0.706093
gen=60_member=6090_pso,-0.716096,-1.15556
gen=60_member=6091_pso,0.480542,0.795022
gen=60_member=6092_pso,-0.200863,0.329911
gen=60_member=6093_pso,0.26043,-0.532381
gen=60_member=6094_pso,0.273061,-0.383728
gen=60_member=6095_pso,0.724226,0.347532
gen=60_member=6096_pso,0.688081,0.182971
gen=60_member=6097_pso,0.927772,-0.102236
gen=60_member=6098_pso,-0.0780454,0.0199106
gen=60_member=6099_pso,-0.057636,0.0686607
