real_name,x1,x2
gen=74_member=7480_pso,0.70049,0.703035
gen=49_member=4985_pso,-0.69456,-0.712907
gen=96_member=9671_pso,0.403707,0.492841
gen=84_member=8495_pso,0.418031,0.409349
gen=97_member=9739_pso,0.0555349,0.0125506
gen=91_member=9184_pso,0.0612313,0.0721608
gen=87_member=8723_pso,-0.030089,0.0630946
gen=94_member=9408_pso,-0.251866,-0.23997
gen=89_member=8930_pso,-0.253169,-0.205651
gen=88_member=8841_pso,-0.296721,-0.313234
gen=98_member=9839_pso,-0.007693,-0.0224792
gen=93_member=9374_pso,0.226734,0.284277
gen=97_member=9743_pso,0.0568547,0.108999
gen=100_member=10057_pso,-0.227009,-0.356668
gen=87_member=8761_pso,-0.167732,-0.189798
gen=87_member=8721_pso,-0.323034,-0.313476
gen=83_member=8382_pso,-0.0487704,-0.102127
gen=85_member=8509_pso,-0.110838,-0.22522
gen=98_member=9813_pso,0.152624,0.0627399
gen=96_member=9675_pso,-0.322387,-0.338924
gen=86_member=8602_pso,-0.561675,-0.555093
gen=99_member=9973_pso,0.353946,0.314184
gen=92_member=9269_pso,-0.476366,-0.508212
gen=92_member=9214_pso,-0.115415,-0.114132
gen=73_member=7352_pso,-0.263679,-0.272335
gen=93_member=9359_pso,-0.142931,-0.0669296
gen=75_member=7545_pso,-0.273999,-0.240679
gen=98_member=9884_pso,0.270329,0.262593
gen=91_member=9180_pso,-0.507098,-0.548385
gen=95_member=9535_pso,0.24028,0.242402
gen=96_member=9689_pso,0.0346479,-0.0392281
gen=75_member=7564_pso,-0.0153497,-0.0838957
gen=83_member=8344_pso,0.0391143,0.156653
gen=95_member=9564_pso,-0.222975,-0.18254
gen=95_member=9594_pso,-0.455357,-0.391959
gen=100_member=10025_pso,0.296786,0.30602
gen=98_member=9804_pso,0.0294846,0.0569978
gen=98_member=9822_pso,-0.0484637,-0.0315183
gen=86_member=8671_pso,-0.288983,-0.270558
gen=100_member=10069_pso,0.12765,0.272107
gen=90_member=9050_pso,-0.132069,-0.11687
gen=93_member=9310_pso,0.539962,0.401269
gen=98_member=9874_pso,-0.298241,-0.392543
gen=93_member=9393_pso,-0.174514,-0.140429
gen=95_member=9532_pso,0.245477,0.19181
gen=62_member=6238_pso,0.394884,0.35961
gen=97_member=9790_pso,-0.0563617,-0.0609443
gen=89_member=8924_pso,0.0975478,0.137514
gen=74_member=7415_pso,-0.504969,-0.522109
gen=99_member=9919_pso,-0.0315498,-0.101233
gen=89_member=8912_pso,-0.0258591,-0.0257571
gen=77_member=7745_pso,-0.0459874,-0.127835
gen=86_member=8618_pso,0.638569,0.619853
gen=84_member=8479_pso,-0.486118,-0.46395
gen=96_member=9628_pso,0.0893511,0.207979
gen=90_member=9020_pso,0.475987,0.538389
gen=99_member=9979_pso,0.114684,0.160031
gen=91_member=9181_pso,-0.196836,-0.242031
gen=100_member=10086_pso,0.162092,0.21144
gen=72_member=7259_pso,-0.211175,-0.213001
gen=97_member=9744_pso,-0.176181,-0.121583
gen=98_member=9805_pso,-0.359953,-0.366125
gen=97_member=9770_pso,-0.676384,-0.587106
gen=97_member=9714_pso,0.458232,0.496503
gen=81_member=8123_pso,0.570896,0.549701
gen=99_member=9917_pso,-0.333816,-0.45601
gen=98_member=9899_pso,0.344959,0.293789
gen=99_member=9915_pso,0.204388,0.357195
gen=94_member=9438_pso,0.482555,0.501178
gen=97_member=9798_pso,-0.400552,-0.310069
gen=89_member=8935_pso,-0.398732,-0.415459
gen=100_member=10055_pso,0.222773,0.369642
gen=85_member=8502_pso,0.0335723,0.08079
gen=76_member=7602_pso,0.579694,0.616658
gen=96_member=9681_pso,0.555191,0.498718
gen=96_member=9685_pso,0.120206,0.0570023
gen=100_member=10097_pso,-0.111127,0.047131
gen=94_member=9415_pso,0.316363,0.313469
gen=98_member=9879_pso,0.578587,0.501848
gen=93_member=9322_pso,0.191957,0.264098
