real_name,obj1,obj2
gen=74_member=7480_pso,6.03577e-05,0.981123
gen=49_member=4985_pso,0.981335,0.000191054
gen=96_member=9671_pso,0.128867,0.931009
gen=84_member=8495_pso,0.15821,0.918927
gen=97_member=9739_pso,0.596248,0.666972
gen=91_member=9184_pso,0.559705,0.698083
gen=87_member=8723_pso,0.616421,0.650609
gen=94_member=9408_pso,0.83742,0.346531
gen=89_member=8930_pso,0.827137,0.367147
gen=88_member=8841_pso,0.871106,0.276426
gen=98_member=9839_pso,0.647687,0.6163
gen=93_member=9374_pso,0.336047,0.843531
gen=97_member=9743_pso,0.541851,0.713399
gen=100_member=10057_pso,0.865231,0.297634
gen=87_member=8761_pso,0.791909,0.427953
gen=87_member=8721_pso,0.877883,0.261
gen=83_member=8382_pso,0.706597,0.550405
gen=85_member=8509_pso,0.785247,0.444425
gen=98_member=9813_pso,0.514541,0.735998
gen=96_member=9675_pso,0.883985,0.246908
gen=86_member=8602_pso,0.959358,0.0432933
gen=99_member=9973_pso,0.243544,0.885693
gen=92_member=9269_pso,0.943731,0.0886248
gen=92_member=9214_pso,0.741012,0.504267
gen=73_member=7352_pso,0.85069,0.319994
gen=93_member=9359_pso,0.733318,0.517185
gen=75_member=7545_pso,0.844462,0.333115
gen=98_member=9884_pso,0.321837,0.849787
gen=91_member=9180_pso,0.952667,0.0631165
gen=95_member=9535_pso,0.352009,0.834554
gen=96_member=9689_pso,0.635496,0.630743
gen=75_member=7564_pso,0.682611,0.579756
gen=83_member=8344_pso,0.527262,0.728265
gen=95_member=9564_pso,0.809199,0.399237
gen=95_member=9594_pso,0.922639,0.150151
gen=100_member=10025_pso,0.280525,0.869218
gen=98_member=9804_pso,0.585969,0.675809
gen=98_member=9822_pso,0.672561,0.589439
gen=86_member=8671_pso,0.857444,0.306082
gen=100_member=10069_pso,0.408442,0.809037
gen=90_member=9050_pso,0.749214,0.4929
gen=93_member=9310_pso,0.114386,0.938189
gen=98_member=9874_pso,0.891386,0.233654
gen=93_member=9393_pso,0.77588,0.453805
gen=95_member=9532_pso,0.38037,0.82012
gen=62_member=6238_pso,0.196065,0.904847
gen=97_member=9790_pso,0.690497,0.568719
gen=89_member=8924_pso,0.501423,0.743558
gen=74_member=7415_pso,0.949212,0.0723343
gen=99_member=9919_pso,0.698512,0.56109
gen=89_member=8912_pso,0.658473,0.604789
gen=77_member=7745_pso,0.717557,0.538205
gen=86_member=8618_pso,0.0122353,0.971891
gen=84_member=8479_pso,0.938895,0.102338
gen=96_member=9628_pso,0.467808,0.770471
gen=90_member=9020_pso,0.0786195,0.947711
gen=99_member=9979_pso,0.478088,0.760036
gen=91_member=9181_pso,0.820571,0.379154
gen=100_member=10086_pso,0.418839,0.797949
gen=72_member=7259_pso,0.815451,0.387428
gen=97_member=9744_pso,0.769366,0.464589
gen=98_member=9805_pso,0.898778,0.210838
gen=97_member=9770_pso,0.972375,0.015227
gen=97_member=9714_pso,0.100838,0.939595
gen=81_member=8123_pso,0.0424047,0.959759
gen=99_member=9917_pso,0.912521,0.183228
gen=98_member=9899_pso,0.260649,0.878596
gen=99_member=9915_pso,0.312823,0.859642
gen=94_member=9438_pso,0.0886515,0.943598
gen=97_member=9798_pso,0.895812,0.222456
gen=89_member=8935_pso,0.916511,0.164858
gen=100_member=10055_pso,0.294227,0.867883
gen=85_member=8502_pso,0.570838,0.689443
gen=76_member=7602_pso,0.0241194,0.9669
gen=96_member=9681_pso,0.0643414,0.952518
gen=96_member=9685_pso,0.535637,0.718693
gen=100_member=10097_pso,0.668814,0.603098
gen=94_member=9415_pso,0.264814,0.876197
gen=98_member=9879_pso,0.0569617,0.955603
gen=93_member=9322_pso,0.369748,0.826496
