time,elapsed_seconds,message
14:50:38,0.0002124,PEST++ performance logger started
14:50:38,0.0015205,starting to process control file
14:50:38,0.0068344,finished processing control file
14:50:38,0.0107952,initializing MOEA process
14:50:38,0.0007699,using 'nsga2' env selector
14:50:38,0.0002841,using binary tournament mating pool selector
14:50:38,0.000357,saving generation specific populations and archives every nth generation 20
14:50:38,0.0002576,'opt_dec_var_groups' passed, using 2 adjustable parameters as decision variables
14:50:38,0.0001797,number of decision variables:  2
14:50:38,0.0001791,max run fail:  3
14:50:38,0.0001728,'opt_chance_points' = SINGLE, evaluting chance at representative point
14:50:38,0.0001384,initializing constraints
14:50:38,0.0012709,using particle swarm generator
14:50:38,0.0014346,drawing initial dv population of size:  100
14:50:38,0.0003998,checking for denormal values in dv population
14:50:38,0.0021746, saved initial dv population to  fon.0.dv_pop.csv
14:50:38,2.93e-05,running initial population
14:50:38,0.0002592,running initial population of size 100
14:50:38,0.0026599,running population of size  100
14:50:38,3.07e-05,queuing 100 runs
14:50:38,0.005528,making runs
14:50:53,14.757,processing runs
14:50:53,0.0088244, saved observation population to  fon.0.obs_pop.csv
14:50:53,7.74e-05,initial population decision variable summary:
14:50:53,0.000388,initial population objective function summary:
14:50:53,0.0002352,using member GEN=0_MEMBER=15 as nearest-to-mean single point
    with distance of 0.36382 from mean of decision variable population
14:50:53,0.0023784, saved initial dv population to  fon.0.dv_pop.csv
14:50:53,0.000116,performing initial pareto dominance sort
14:50:53,0.0024048,ParetoObjectives::get_nsga2_pareto_dominance() for 100 population members
14:50:53,2.67e-05,ParetoObjectives::update() for  100 population members
14:50:53,9.4e-06,preparing fast-lookup containers
14:50:53,0.000896,checking for duplicate solutions
14:50:53,0.0008115,calculating fitness
14:50:53,1.6e-05,get_spea_fitness
14:50:53,0.0008521,fill domination containers
14:50:53,0.0021198,pareto front sorting
14:50:53,1.13e-05,starting 'fast non-dom sort
14:50:53,6.8e-06,fill domination containers
14:50:53,0.0020928,finding first front
14:50:53,4.28e-05,sorting remaining fronts
14:50:53,0.0034556,initialized archives with 7 nondominated members
14:50:53,2.73e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 7 population members
14:50:53,8.6e-06,ParetoObjectives::update() for  7 population members
14:50:53,6.8e-06,preparing fast-lookup containers
14:50:53,4.06e-05,checking for duplicate solutions
14:50:53,5.51e-05,calculating fitness
14:50:53,6.7e-06,get_spea_fitness
14:50:53,1.48e-05,fill domination containers
14:50:53,2.35e-05,pareto front sorting
14:50:53,6.4e-06,starting 'fast non-dom sort
14:50:53,6.3e-06,fill domination containers
14:50:53,1.62e-05,finding first front
14:50:53,6.8e-06,sorting remaining fronts
14:50:53,0.0006618,ParetoObjectives::get_nsga2_pareto_dominance() for 7 population members
14:50:53,1.37e-05,ParetoObjectives::update() for  7 population members
14:50:53,7.3e-06,preparing fast-lookup containers
14:50:53,2.13e-05,checking for duplicate solutions
14:50:53,1.53e-05,calculating fitness
14:50:53,6.6e-06,get_spea_fitness
14:50:53,1.42e-05,fill domination containers
14:50:53,1.98e-05,pareto front sorting
14:50:53,6.3e-06,starting 'fast non-dom sort
14:50:53,6.3e-06,fill domination containers
14:50:53,1.59e-05,finding first front
14:50:53,6.8e-06,sorting remaining fronts
14:50:53,0.0025533,saved decision variable population of size 7 X 2 to 'fon.archive.dv_pop.csv'
14:50:53,0.001186,saved generation-specific decision variable population of size 7 X 2 to 'fon.0.archive.dv_pop.csv'
14:50:53,0.0010007,saved observation population of size 7 X 2 to 'fon.archive.obs_pop.csv'
14:50:53,0.0008369,saved generation-specific observation population of size 7 X 2 to 'fon.0.archive.obs_pop.csv'
14:50:53,0.0003029,number of initial feasible solutions: 7
14:50:53,0.0001276,initialization complete
14:50:53,0.0003313,starting generation  1
14:50:53,2.16e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 100 population members
14:50:53,1.27e-05,ParetoObjectives::update() for  100 population members
14:50:53,1.03e-05,preparing fast-lookup containers
14:50:53,0.0013078,checking for duplicate solutions
14:50:53,0.0011779,calculating fitness
14:50:53,1.52e-05,get_spea_fitness
14:50:53,0.000982,fill domination containers
14:50:53,0.0037322,pareto front sorting
14:50:53,9.5e-05,starting 'fast non-dom sort
14:50:53,3.65e-05,fill domination containers
14:50:53,0.0072861,finding first front
14:50:53,0.0001257,sorting remaining fronts
14:50:53,0.0029416,generating PSO population of size 100
14:50:53,5.75e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 7 population members
14:50:53,3.29e-05,ParetoObjectives::update() for  7 population members
14:50:53,2.65e-05,preparing fast-lookup containers
14:50:53,0.0001351,checking for duplicate solutions
14:50:53,0.000137,calculating fitness
14:50:53,3.09e-05,get_spea_fitness
14:50:53,5.32e-05,fill domination containers
14:50:53,0.0001111,pareto front sorting
14:50:53,2.89e-05,starting 'fast non-dom sort
14:50:53,2.61e-05,fill domination containers
14:50:53,6.31e-05,finding first front
14:50:53,2.73e-05,sorting remaining fronts
14:50:53,0.0110728,running population of size  100
14:50:53,6.15e-05,queuing 100 runs
14:50:53,0.0152175,making runs
14:50:59,5.75386,processing runs
14:50:59,0.0079654,saved decision variable population of size 100 X 2 to 'fon.dv_pop.csv'
14:50:59,0.003977,saved observation population of size 100 X 2 to 'fon.obs_pop.csv'
14:50:59,0.073183,ParetoObjectives::update() for  200 population members
14:50:59,6.27e-05,preparing fast-lookup containers
14:50:59,0.0103539,checking for duplicate solutions
14:50:59,0.0063894,calculating fitness
14:50:59,7.91e-05,get_spea_fitness
14:50:59,0.0056582,fill domination containers
14:50:59,0.0175729,pareto front sorting
14:50:59,7.73e-05,starting 'fast non-dom sort
14:50:59,2.24e-05,fill domination containers
14:50:59,0.0151388,finding first front
14:50:59,0.0001213,sorting remaining fronts
14:50:59,0.0056761,ParetoObjectives::get_nsga2_pareto_dominance() for 200 population members
14:50:59,7.39e-05,ParetoObjectives::update() for  200 population members
14:50:59,2.31e-05,preparing fast-lookup containers
14:50:59,0.007995,checking for duplicate solutions
14:50:59,0.008454,calculating fitness
14:50:59,6.66e-05,get_spea_fitness
14:50:59,0.0077951,fill domination containers
14:50:59,0.0203669,pareto front sorting
14:50:59,0.0001235,starting 'fast non-dom sort
14:50:59,5e-05,fill domination containers
14:50:59,0.0221566,finding first front
