real_name,obj1,obj2
gen=100_member=10000_pso,0.177478,0.982632
gen=100_member=10001_pso,0.560119,0.698834
gen=100_member=10002_pso,0.420139,0.798348
gen=100_member=10003_pso,0.621796,0.676696
gen=100_member=10004_pso,0.862525,0.308012
gen=100_member=10005_pso,0.772203,0.460879
gen=100_member=10006_pso,0.801951,0.517637
gen=100_member=10007_pso,0.837353,0.347894
gen=100_member=10008_pso,0.336424,0.904137
gen=100_member=10009_pso,0.869382,0.287089
gen=100_member=10010_pso,0.857219,0.5781
gen=100_member=10011_pso,0.435008,0.78936
gen=100_member=10012_pso,0.905926,0.270889
gen=100_member=10013_pso,0.854621,0.324232
gen=100_member=10014_pso,0.645963,0.640457
gen=100_member=10015_pso,0.644206,0.634403
gen=100_member=10016_pso,0.908371,0.213391
gen=100_member=10017_pso,0.438718,0.792536
gen=100_member=10018_pso,0.189,0.926684
gen=100_member=10019_pso,0.542758,0.742317
gen=100_member=10020_pso,0.997123,0.18358
gen=100_member=10021_pso,0.964487,0.689262
gen=100_member=10022_pso,0.286028,0.996846
gen=100_member=10023_pso,0.562195,0.703911
gen=100_member=10024_pso,0.41994,0.856443
gen=100_member=10025_pso,0.280525,0.869218
gen=100_member=10026_pso,0.70641,0.550617
gen=100_member=10027_pso,0.454114,0.779517
gen=100_member=10028_pso,0.178498,0.916941
gen=100_member=10029_pso,0.270569,0.882187
gen=100_member=10030_pso,0.91757,0.16331
gen=100_member=10031_pso,0.999874,0.629999
gen=100_member=10032_pso,0.541132,0.733952
gen=100_member=10033_pso,0.671685,0.605532
gen=100_member=10034_pso,0.362875,0.83158
gen=100_member=10035_pso,0.711349,0.561744
gen=100_member=10036_pso,0.717578,0.538148
gen=100_member=10037_pso,0.548804,0.966553
gen=100_member=10038_pso,0.325837,0.848568
gen=100_member=10039_pso,0.205337,0.934563
gen=100_member=10040_pso,0.943935,0.619139
gen=100_member=10041_pso,0.80512,0.423473
gen=100_member=10042_pso,0.508513,0.743162
gen=100_member=10043_pso,0.82315,0.37515
gen=100_member=10044_pso,0.964758,0.0307353
gen=100_member=10045_pso,0.89957,0.220829
gen=100_member=10046_pso,0.943089,0.17529
gen=100_member=10047_pso,0.0961547,0.96809
gen=100_member=10048_pso,0.377992,0.96839
gen=100_member=10049_pso,0.425347,0.793797
gen=100_member=10050_pso,0.539881,0.816432
gen=100_member=10051_pso,0.483683,0.798889
gen=100_member=10052_pso,0.096094,0.945615
gen=100_member=10053_pso,0.300491,0.967364
gen=100_member=10054_pso,0.557149,0.700159
gen=100_member=10055_pso,0.294227,0.867883
gen=100_member=10056_pso,0.925183,0.145593
gen=100_member=10057_pso,0.865231,0.297634
gen=100_member=10058_pso,0.978199,0.153106
gen=100_member=10059_pso,0.514504,0.746811
gen=100_member=10060_pso,0.248593,0.890207
gen=100_member=10061_pso,0.0825198,0.962559
gen=100_member=10062_pso,0.418787,0.844424
gen=100_member=10063_pso,0.651895,0.618057
gen=100_member=10064_pso,0.925923,0.157578
gen=100_member=10065_pso,0.880808,0.269564
gen=100_member=10066_pso,0.928982,0.135205
gen=100_member=10067_pso,0.490711,0.758743
gen=100_member=10068_pso,0.214296,0.899833
gen=100_member=10069_pso,0.408442,0.809037
gen=100_member=10070_pso,0.96313,0.0330583
gen=100_member=10071_pso,0.396752,0.827066
gen=100_member=10072_pso,0.496096,0.752105
gen=100_member=10073_pso,0.816838,0.470159
gen=100_member=10074_pso,0.620898,0.662039
gen=100_member=10075_pso,0.987494,0.0308065
gen=100_member=10076_pso,0.853017,0.999989
gen=100_member=10077_pso,0.443805,0.868386
gen=100_member=10078_pso,0.925053,0.141691
gen=100_member=10079_pso,0.758088,0.480041
gen=100_member=10080_pso,0.157081,0.921051
gen=100_member=10081_pso,0.903009,0.497948
gen=100_member=10082_pso,0.389753,0.84877
gen=100_member=10083_pso,0.564034,0.696002
gen=100_member=10084_pso,0.971256,0.733694
gen=100_member=10085_pso,0.833367,0.360967
gen=100_member=10086_pso,0.418839,0.797949
gen=100_member=10087_pso,0.177492,0.912121
gen=100_member=10088_pso,0.234042,0.892477
gen=100_member=10089_pso,0.41805,0.896414
gen=100_member=10090_pso,0.239501,0.987136
gen=100_member=10091_pso,0.996318,0.273818
gen=100_member=10092_pso,0.678755,0.584473
gen=100_member=10093_pso,0.287858,0.887928
gen=100_member=10094_pso,0.150244,0.921953
gen=100_member=10095_pso,0.0147237,0.982773
gen=100_member=10096_pso,0.969956,0.17279
gen=100_member=10097_pso,0.668814,0.603098
gen=100_member=10098_pso,0.721203,0.530761
gen=100_member=10099_pso,0.554548,0.704837
