generation,member,obj1,obj2,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=19,0.112516,0.994248,1,1e+30,0.463705,0.463705,1,-999
0,gen=0_member=18,0.987287,0.00797594,1,1e+30,0.390987,0.390987,1,-999
0,gen=0_member=36,0.745688,0.510552,1,0.984861,0.416816,0.416816,1,-999
0,gen=0_member=78,0.471584,0.800687,1,0.975232,0.422787,0.422787,1,-999
0,gen=0_member=34,0.894407,0.306063,1,0.785757,0.432484,0.432484,1,-999
0,gen=0_member=39,0.233688,0.895135,1,0.54055,0.463705,0.463705,1,-999
0,gen=0_member=50,0.146595,0.967403,1,0.239011,0.473222,0.473222,1,-999
1,gen=0_member=19,0.112516,0.994248,2,-999,0.486755,0.486755,1,-999
1,gen=0_member=18,0.987287,0.00797594,1,1e+30,0.390987,0.390987,1,-999
1,gen=0_member=36,0.745688,0.510552,1,0.54337,0.424042,0.424042,1,-999
1,gen=0_member=78,0.471584,0.800687,1,0.58905,0.43839,0.43839,1,-999
1,gen=0_member=34,0.894407,0.306063,1,0.525598,0.432484,0.432484,1,-999
1,gen=0_member=39,0.233688,0.895135,1,0.347206,0.463705,0.463705,1,-999
1,gen=0_member=50,0.146595,0.967403,1,0.258233,0.478321,0.478321,1,-999
1,gen=1_member=146_pso,0.0584096,0.988384,1,1e+30,2.47832,2.47832,1,-999
1,gen=1_member=179_pso,0.665899,0.597603,1,0.591024,0.421866,0.421866,1,-999
1,gen=1_member=161_pso,0.966944,0.228783,1,0.404035,0.424042,0.424042,1,-999
1,gen=1_member=119_pso,0.372303,0.865229,1,0.352447,0.444888,0.444888,1,-999
1,gen=1_member=185_pso,0.0663497,0.971687,1,0.116339,2.48069,2.48069,1,-999
2,gen=1_member=146_pso,0.0584096,0.988384,1,1e+30,0.461556,0.461556,1,-999
2,gen=0_member=18,0.987287,0.00797594,1,1e+30,0.432484,0.432484,1,-999
2,gen=1_member=179_pso,0.665899,0.597603,1,0.214212,0.472125,0.472125,1,-999
2,gen=0_member=78,0.471584,0.800687,1,0.514957,0.44327,0.44327,1,-999
2,gen=0_member=36,0.745688,0.510552,1,0.40325,0.459674,0.459674,1,-999
2,gen=0_member=34,0.894407,0.306063,1,0.525598,0.443882,0.443882,1,-999
2,gen=1_member=161_pso,0.966944,0.228783,1,0.325858,0.450097,0.450097,1,-999
2,gen=1_member=119_pso,0.372303,0.865229,1,0.352447,0.460509,0.460509,1,-999
2,gen=0_member=39,0.233688,0.895135,1,0.242049,0.466896,0.466896,1,-999
2,gen=0_member=50,0.146595,0.967403,1,0.195917,0.478321,0.478321,1,-999
2,gen=1_member=185_pso,0.0663497,0.971687,1,0.116339,0.464108,0.464108,1,-999
2,gen=2_member=204_pso,0.659278,0.663255,1,0.416336,0.459674,0.459674,1,-999
2,gen=2_member=233_pso,0.977871,0.0746842,1,0.247119,0.445241,0.445241,1,-999
2,gen=2_member=232_pso,0.729864,0.527742,1,0.174688,0.464512,0.464512,1,-999
2,gen=2_member=267_pso,0.217575,0.939224,1,0.167474,0.464108,0.464108,1,-999
3,gen=1_member=146_pso,0.0584096,0.988384,1,1e+30,0.461556,0.461556,1,-999
3,gen=0_member=18,0.987287,0.00797594,1,1e+30,0.432484,0.432484,1,-999
3,gen=0_member=34,0.894407,0.306063,1,0.411386,0.443882,0.443882,1,-999
3,gen=0_member=78,0.471584,0.800687,1,0.207489,0.462325,0.462325,1,-999
3,gen=2_member=204_pso,0.659278,0.663255,2,1e+30,0.467473,0.467473,1,-999
3,gen=0_member=36,0.745688,0.510552,1,0.40325,0.459674,0.459674,1,-999
3,gen=1_member=119_pso,0.372303,0.865229,2,1.7689,0.462982,0.462982,1,-999
3,gen=1_member=161_pso,0.966944,0.228783,1,0.200564,0.450097,0.450097,1,-999
3,gen=2_member=233_pso,0.977871,0.0746842,1,0.160767,0.445241,0.445241,1,-999
3,gen=0_member=39,0.233688,0.895135,1,0.187223,0.475167,0.475167,1,-999
3,gen=1_member=179_pso,0.665899,0.597603,1,0.178259,0.472125,0.472125,1,-999
3,gen=0_member=50,0.146595,0.967403,2,1e+30,0.47895,0.47895,1,-999
3,gen=2_member=232_pso,0.729864,0.527742,1,0.0673208,0.464512,0.464512,1,-999
3,gen=2_member=267_pso,0.217575,0.939224,2,0.776186,0.481123,0.481123,1,-999
3,gen=1_member=185_pso,0.0663497,0.971687,1,0.136605,0.464108,0.464108,1,-999
3,gen=3_member=317_pso,0.326018,0.85365,1,0.296435,1.4677,1.4677,1,-999
3,gen=3_member=336_pso,0.602415,0.790267,1,0.230629,0.462815,0.462815,1,-999
3,gen=3_member=378_pso,0.464016,0.847614,1,0.210733,0.455725,0.455725,1,-999
3,gen=3_member=396_pso,0.618014,0.72913,1,0.193968,0.462325,0.462325,1,-999
3,gen=3_member=368_pso,0.633154,0.632544,1,0.185707,1.46672,1.46672,1,-999
3,gen=3_member=382_pso,0.973691,0.151243,1,0.168942,0.459994,0.459994,1,-999
3,gen=3_member=327_pso,0.139106,0.939629,1,0.160452,1.47875,1.47875,1,-999
3,gen=3_member=352_pso,0.911387,0.282118,1,0.156916,0.438173,0.438173,1,-999
3,gen=3_member=358_pso,0.716394,0.545635,1,0.14012,0.469317,0.469317,1,-999
3,gen=3_member=384_pso,0.179435,0.933739,1,0.101698,1.48389,1.48389,1,-999
3,gen=3_member=357_pso,0.227637,0.933365,1,0.0977816,0.478755,0.478755,1,-999
4,gen=1_member=146_pso,0.0584096,0.988384,2,1e+30,0.468869,0.468869,1,-999
4,gen=0_member=18,0.987287,0.00797594,1,1e+30,0.450097,0.450097,1,-999
