obj1,obj2
6.04E-05,0.981123
0.00169495,0.978441
0.0241194,0.9669
0.0335143,0.963275
0.0424047,0.959759
0.0569617,0.955603
0.0643414,0.952518
0.0886515,0.943598
0.100838,0.939595
0.128867,0.931009
0.141771,0.924913
0.14393,0.924385
0.150244,0.921953
0.157081,0.921051
0.15821,0.918927
0.177492,0.912121
0.182268,0.910237
0.196807,0.904875
0.214296,0.899833
0.21961,0.896867
0.234042,0.892477
0.243544,0.885693
0.260649,0.878596
0.264814,0.876197
0.280525,0.869218
0.284819,0.868784
0.294227,0.867883
0.301662,0.860241
0.312823,0.859642
0.321837,0.849787
0.325837,0.848568
0.336047,0.843531
0.352009,0.834554
0.354616,0.833531
0.362875,0.83158
0.372187,0.827613
0.391842,0.813081
0.395334,0.811257
0.408442,0.809037
0.418839,0.797949
0.42505,0.793995
0.425347,0.793797
0.435008,0.78936
0.441585,0.783561
0.454114,0.779517
0.458899,0.774504
0.467808,0.770471
0.478088,0.760036
0.485301,0.755933
0.496096,0.752105
0.501423,0.743558
0.508513,0.743162
0.514541,0.735998
0.530111,0.732587
0.535637,0.718693
0.541851,0.713399
0.54959,0.708569
0.554548,0.704837
0.557149,0.700159
0.559705,0.698083
0.564034,0.696002
0.570838,0.689443
0.5768,0.685185
0.596248,0.666972
0.616421,0.650609
0.623053,0.641996
0.628465,0.635758
0.635496,0.630743
0.647687,0.6163
0.658473,0.604789
0.668814,0.603098
0.672561,0.589439
0.678755,0.584473
0.682611,0.579756
0.690497,0.568719
0.698512,0.56109
0.70641,0.550617
0.706597,0.550405
0.717557,0.538205
0.717578,0.538148
0.721203,0.530761
0.733318,0.517185
0.741012,0.504267
0.756291,0.482916
0.758088,0.480041
0.769366,0.464589
0.772203,0.460879
0.77588,0.453805
0.785247,0.444425
0.799966,0.416475
0.801696,0.411764
0.809199,0.399237
0.815613,0.393811
0.820571,0.379154
0.82315,0.37515
0.827137,0.367147
0.831599,0.362068
0.833367,0.360967
0.834733,0.352507
0.837353,0.347894
0.83742,0.346531
0.85069,0.319994
0.857444,0.306082
0.865231,0.297634
0.866872,0.290549
0.869382,0.287089
0.871106,0.276426
0.877883,0.261
0.883985,0.246908
0.891386,0.233654
0.898778,0.210838
0.903708,0.199188
0.906596,0.195256
0.912521,0.183228
0.914556,0.172213
0.916511,0.164858
0.91757,0.16331
0.922639,0.150151
0.925053,0.141691
0.928982,0.135205
0.931736,0.122809
0.93637,0.114949
0.938895,0.102338
0.943731,0.0886248
0.952314,0.0763121
0.952667,0.0631165
0.95751,0.0571076
0.959425,0.04774
0.96313,0.0330583
0.964758,0.0307353
0.965982,0.0263497
0.972375,0.015227
0.976841,0.006051
0.981335,0.000191054
