real_name,obj1,obj2
gen=10_member=451_pso,0.975945,0.524255
gen=10_member=452_pso,0.995382,0.0974347
gen=10_member=453_pso,0.96658,0.029279
gen=10_member=454_pso,0.141921,0.960913
gen=10_member=455_pso,0.10529,0.964435
gen=10_member=456_pso,0.8451,0.345784
gen=10_member=457_pso,0.824647,0.444083
gen=10_member=458_pso,0.910755,0.194761
gen=10_member=459_pso,0.502314,0.986107
gen=10_member=460_pso,0.964064,0.039541
gen=10_member=461_pso,0.976856,0.00357835
gen=10_member=462_pso,0.962919,0.262766
gen=10_member=463_pso,0.546137,0.761096
gen=10_member=464_pso,0.0182631,0.975415
gen=10_member=465_pso,0.471417,0.793357
gen=10_member=466_pso,0.652096,0.614106
gen=10_member=467_pso,0.487346,0.793133
gen=10_member=468_pso,0.847673,0.602639
gen=10_member=469_pso,0.773883,0.494611
gen=10_member=470_pso,0.508653,0.999658
gen=10_member=471_pso,0.503724,0.743344
gen=10_member=472_pso,0.956376,0.057787
gen=10_member=473_pso,0.799119,0.948705
gen=10_member=474_pso,0.813656,0.74085
gen=10_member=475_pso,0.300081,0.992932
gen=10_member=476_pso,0.941889,0.990246
gen=10_member=477_pso,0.237086,0.888392
gen=10_member=478_pso,0.701195,0.996882
gen=10_member=479_pso,0.963476,0.578023
gen=10_member=480_pso,0.543628,0.792985
gen=10_member=481_pso,0.562104,0.729021
gen=10_member=482_pso,0.642988,0.621213
gen=10_member=483_pso,0.0785175,0.947282
gen=10_member=484_pso,0.909309,0.253617
gen=10_member=485_pso,0.403465,0.823584
gen=10_member=486_pso,0.99937,0.432981
gen=10_member=487_pso,0.929606,0.185847
gen=10_member=488_pso,0.885874,0.242326
gen=10_member=489_pso,0.683244,0.636763
gen=10_member=490_pso,0.202955,0.973938
gen=10_member=491_pso,0.882266,0.250813
gen=10_member=492_pso,0.5915,0.918975
gen=10_member=493_pso,0.617534,0.652333
gen=10_member=494_pso,0.580041,0.698279
gen=10_member=495_pso,0.984453,0.0134179
gen=10_member=496_pso,0.794775,0.471248
gen=10_member=497_pso,0.435766,0.821679
gen=10_member=498_pso,0.123149,0.983241
gen=10_member=499_pso,0.803883,0.428753
gen=10_member=500_pso,0.0813108,0.96048
