real_name,x1,x2
gen=12_member=551_pso,-0.366847,0.446086
gen=12_member=552_pso,-0.483094,1.12935
gen=12_member=553_pso,0.0973241,-0.366631
gen=12_member=554_pso,-0.13503,-0.152455
gen=12_member=555_pso,0.127951,0.724256
gen=12_member=556_pso,0.542732,0.44989
gen=12_member=557_pso,-0.290368,0.204232
gen=12_member=558_pso,1.35238,0.0430029
gen=12_member=559_pso,-0.132047,0.100023
gen=12_member=560_pso,-0.499581,-0.603496
gen=12_member=561_pso,-0.298399,-0.843268
gen=12_member=562_pso,-1.47157,0.0694257
gen=12_member=563_pso,0.171007,-0.180948
gen=12_member=564_pso,0.185947,0.814205
gen=12_member=565_pso,0.0201493,0.665213
gen=12_member=566_pso,0.0866154,0.157174
gen=12_member=567_pso,1.47184,0.0398101
gen=12_member=568_pso,0.0166912,0.21879
gen=12_member=569_pso,-0.0590777,-0.0409705
gen=12_member=570_pso,1.00168,1.07673
gen=12_member=571_pso,1.20935,0.232977
gen=12_member=572_pso,0.357036,0.609184
gen=12_member=573_pso,0.281222,0.495394
gen=12_member=574_pso,0.13057,-0.733775
gen=12_member=575_pso,0.196453,0.170019
gen=12_member=576_pso,0.90376,0.855785
gen=12_member=577_pso,-0.797106,-0.133265
gen=12_member=578_pso,0.29818,0.472799
gen=12_member=579_pso,0.930214,0.584284
gen=12_member=580_pso,-0.749182,-0.268398
gen=12_member=581_pso,-0.615174,-1.20488
gen=12_member=582_pso,0.161681,0.41102
gen=12_member=583_pso,-0.656602,-0.793209
gen=12_member=584_pso,0.287914,0.619212
gen=12_member=585_pso,-0.0682442,-0.376799
gen=12_member=586_pso,-0.278007,-0.388825
gen=12_member=587_pso,-0.809603,-0.380749
gen=12_member=588_pso,-0.0244495,-0.735504
gen=12_member=589_pso,0.162737,-0.321567
gen=12_member=590_pso,-0.301297,-0.367835
gen=12_member=591_pso,0.366493,0.374775
gen=12_member=592_pso,0.234667,-0.367204
gen=12_member=593_pso,-0.119178,0.359912
gen=12_member=594_pso,-0.647953,-0.469683
gen=12_member=595_pso,-0.70494,1.67108
gen=12_member=596_pso,0.0346159,0.337151
gen=12_member=597_pso,-0.416751,-0.55016
gen=12_member=598_pso,-0.897872,0.325909
gen=12_member=599_pso,0.0880011,0.129703
gen=12_member=600_pso,-0.244608,0.783296
