real_name,x1,x2
gen=4_member=177_pso,0.821428,0.677614
gen=2_member=75_pso,-0.923038,-0.688766
gen=4_member=164_pso,0.138738,-0.478135
gen=4_member=182_pso,-0.868936,-0.192318
gen=4_member=161_pso,0.120718,0.0794689
gen=1_member=50_pso,-0.218783,0.0555193
gen=4_member=155_pso,0.252099,0.244479
gen=0_member=6,0.0884752,-0.0285415
gen=4_member=166_pso,0.0939031,0.520055
gen=4_member=183_pso,0.275673,0.637926
gen=3_member=107_pso,-0.309631,-0.814726
gen=3_member=127_pso,0.826257,0.474238
gen=0_member=20,0.296843,0.678646
gen=4_member=159_pso,0.152326,-0.0351781
gen=2_member=90_pso,-0.961084,-0.572677
gen=2_member=58_pso,-0.586143,-0.951041
