real_name,obj1,obj2
gen=5_member=220_pso,0.985197,0.0151065
gen=4_member=177_pso,0.0138425,0.985791
gen=1_member=50_pso,0.722473,0.559594
gen=4_member=161_pso,0.521826,0.728555
gen=4_member=155_pso,0.343647,0.838878
gen=5_member=219_pso,0.909774,0.229468
gen=5_member=203_pso,0.843472,0.382695
gen=5_member=223_pso,0.799683,0.42689
gen=0_member=6,0.603026,0.664925
gen=5_member=229_pso,0.954673,0.0823881
gen=5_member=210_pso,0.311558,0.916754
gen=5_member=216_pso,0.936997,0.163508
gen=4_member=183_pso,0.173802,0.937649
gen=3_member=127_pso,0.0661361,0.976406
gen=0_member=20,0.155598,0.946508
gen=4_member=159_pso,0.576317,0.695813
gen=4_member=166_pso,0.337018,0.883229
gen=5_member=205_pso,0.0260633,0.981853
gen=5_member=202_pso,0.313615,0.884785
