time,elapsed_seconds,message
00:51:57,6.12e-05,PEST++ performance logger started
00:51:57,0.0003353,starting to process control file
00:51:57,0.0075245,finished processing control file
00:51:57,0.0091142,initializing MOEA process
00:51:57,0.0001447,using 'nsga2' env selector
00:51:57,1.97e-05,using binary tournament mating pool selector
00:51:57,2.02e-05,saving generation specific populations and archives every nth generation 1
00:51:57,3.26e-05,'opt_dec_var_groups' passed, using 2 adjustable parameters as decision variables
00:51:57,2.9e-05,number of decision variables:  2
00:51:57,1.93e-05,max run fail:  3
00:51:57,1.81e-05,'opt_chance_points' = SINGLE, evaluting chance at representative point
00:51:57,2.87e-05,initializing constraints
00:51:57,0.0001996,using particle swarm generator
00:51:57,0.0012544,processing dv population file starter.dv_pop.csv
00:51:57,3.22e-05,loading dv population from csv file starter.dv_pop.csv
00:51:57,0.0092494,dv population with 30 members read from 'starter.dv_pop.csv'

00:51:57,5.4e-05,checking for denormal values in dv population
00:51:57,0.0023845, saved initial dv population to  fon.0.dv_pop.csv
00:51:57,1.12e-05,running initial population
00:51:57,1.66e-05,running initial population of size 30
00:51:57,0.0043135,running population of size  30
00:51:57,1.56e-05,queuing 30 runs
00:51:57,0.0019791,making runs
00:52:11,14.111,processing runs
00:52:11,0.0057573, saved observation population to  fon.0.obs_pop.csv
00:52:11,3.4e-05,initial population decision variable summary:
00:52:11,7.96e-05,initial population objective function summary:
00:52:11,3.19e-05,using member GEN=0_MEMBER=14 as nearest-to-mean single point
    with distance of 0.685703 from mean of decision variable population
00:52:11,0.0017945, saved initial dv population to  fon.0.dv_pop.csv
00:52:11,2.64e-05,performing initial pareto dominance sort
00:52:11,0.0020873,ParetoObjectives::get_nsga2_pareto_dominance() for 30 population members
00:52:11,2.31e-05,ParetoObjectives::update() for  30 population members
00:52:11,8.3e-06,preparing fast-lookup containers
00:52:11,0.0001328,checking for duplicate solutions
00:52:11,0.0001001,calculating fitness
00:52:11,1.01e-05,get_spea_fitness
00:52:11,9.86e-05,fill domination containers
00:52:11,0.0002265,pareto front sorting
00:52:11,7.1e-06,starting 'fast non-dom sort
00:52:11,7e-06,fill domination containers
00:52:11,0.0001823,finding first front
00:52:11,7.9e-06,sorting remaining fronts
00:52:11,0.000754,initialized archives with 3 nondominated members
00:52:11,9.4e-06,ParetoObjectives::get_nsga2_pareto_dominance() for 3 population members
00:52:11,7.6e-06,ParetoObjectives::update() for  3 population members
00:52:11,6.9e-06,preparing fast-lookup containers
00:52:11,1.5e-05,checking for duplicate solutions
00:52:11,1.19e-05,calculating fitness
00:52:11,6.8e-06,get_spea_fitness
00:52:11,9.6e-06,fill domination containers
00:52:11,1.17e-05,pareto front sorting
00:52:11,6.9e-06,starting 'fast non-dom sort
00:52:11,6.4e-06,fill domination containers
00:52:11,8.8e-06,finding first front
00:52:11,6.8e-06,sorting remaining fronts
00:52:11,8.64e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 3 population members
00:52:11,7.7e-06,ParetoObjectives::update() for  3 population members
00:52:11,6.6e-06,preparing fast-lookup containers
00:52:11,1.11e-05,checking for duplicate solutions
00:52:11,9e-06,calculating fitness
00:52:11,6.9e-06,get_spea_fitness
00:52:11,9e-06,fill domination containers
00:52:11,1.04e-05,pareto front sorting
00:52:11,6.6e-06,starting 'fast non-dom sort
00:52:11,6.6e-06,fill domination containers
00:52:11,8.5e-06,finding first front
00:52:11,6.9e-06,sorting remaining fronts
00:52:11,0.000824,saved decision variable population of size 3 X 2 to 'fon.archive.dv_pop.csv'
00:52:11,0.0014686,saved generation-specific decision variable population of size 3 X 2 to 'fon.0.archive.dv_pop.csv'
00:52:11,0.0009496,saved observation population of size 3 X 2 to 'fon.archive.obs_pop.csv'
00:52:11,0.0008252,saved generation-specific observation population of size 3 X 2 to 'fon.0.archive.obs_pop.csv'
00:52:11,0.000115,number of initial feasible solutions: 3
00:52:11,1.59e-05,initialization complete
00:52:11,0.0001757,starting generation  1
00:52:11,1.23e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 30 population members
00:52:11,8.4e-06,ParetoObjectives::update() for  30 population members
00:52:11,6.6e-06,preparing fast-lookup containers
00:52:11,0.0001107,checking for duplicate solutions
00:52:11,8.82e-05,calculating fitness
00:52:11,6.9e-06,get_spea_fitness
00:52:11,8.11e-05,fill domination containers
00:52:11,0.0002306,pareto front sorting
00:52:11,7.3e-06,starting 'fast non-dom sort
00:52:11,6.4e-06,fill domination containers
00:52:11,0.0001788,finding first front
00:52:11,8.2e-06,sorting remaining fronts
00:52:11,0.00018,generating PSO population of size 30
00:52:11,8.5e-06,ParetoObjectives::get_nsga2_pareto_dominance() for 3 population members
00:52:11,7.1e-06,ParetoObjectives::update() for  3 population members
00:52:11,6.3e-06,preparing fast-lookup containers
00:52:11,1.34e-05,checking for duplicate solutions
00:52:11,1.11e-05,calculating fitness
00:52:11,6.6e-06,get_spea_fitness
00:52:11,9.2e-06,fill domination containers
00:52:11,1.15e-05,pareto front sorting
00:52:11,6.5e-06,starting 'fast non-dom sort
00:52:11,6.3e-06,fill domination containers
00:52:11,8.9e-06,finding first front
00:52:11,6.7e-06,sorting remaining fronts
00:52:11,0.0028161,running population of size  30
00:52:11,1.4e-05,queuing 30 runs
00:52:11,0.0019337,making runs
00:52:15,4.45126,processing runs
00:52:15,0.0057494,saved decision variable population of size 30 X 2 to 'fon.dv_pop.csv'
00:52:15,0.0016526,saved generation-specific decision variable population of size 30 X 2 to 'fon.1.dv_pop.csv'
00:52:15,0.0019642,saved observation population of size 30 X 2 to 'fon.obs_pop.csv'
00:52:15,0.0014416,saved generation-specific observation population of size 30 X 2 to 'fon.1.obs_pop.csv'
00:52:15,0.0030376,ParetoObjectives::update() for  60 population members
00:52:15,4.56e-05,preparing fast-lookup containers
