real_name,obj1,obj2
gen=20_member=570_pso,0.170438,0.997304
gen=20_member=571_pso,0.803118,0.999973
gen=20_member=572_pso,0.989133,0.188942
gen=20_member=573_pso,0.1928,0.907431
gen=20_member=574_pso,0.167689,0.961827
gen=20_member=575_pso,0.351395,0.835263
gen=20_member=576_pso,0.98568,0.0853595
gen=20_member=577_pso,0.965784,0.1283
gen=20_member=578_pso,0.896196,0.217979
gen=20_member=579_pso,0.978132,0.00624657
gen=20_member=580_pso,0.285301,0.921438
gen=20_member=581_pso,0.85011,0.999986
gen=20_member=582_pso,0.992517,0.0979665
gen=20_member=583_pso,0.857403,0.307125
gen=20_member=584_pso,0.48865,0.808033
gen=20_member=585_pso,0.715085,0.552519
gen=20_member=586_pso,0.997474,0.39347
gen=20_member=587_pso,0.426859,0.801637
gen=20_member=588_pso,0.998824,0.343764
gen=20_member=589_pso,0.503432,0.748544
gen=20_member=590_pso,0.931523,0.181743
gen=20_member=591_pso,0.581795,0.760033
gen=20_member=592_pso,0.657183,0.633619
gen=20_member=593_pso,0.99913,0.386608
gen=20_member=594_pso,0.9066,0.190975
gen=20_member=595_pso,0.569512,0.693388
gen=20_member=596_pso,0.756817,0.590655
gen=20_member=597_pso,0.195779,0.925071
gen=20_member=598_pso,0.21887,0.927897
gen=20_member=599_pso,0.401466,0.868975
