generation,member,obj1,obj2,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=0,0.895553,0.999057,2,0.617025,251.475,251.475,1,-999
0,gen=0_member=1,1,1,10,-999,0.5,0.5,1,-999
0,gen=0_member=2,0.999998,0.999823,5,1.02664,151.5,151.5,1,-999
0,gen=0_member=3,1,1,7,2,75.5,75.5,1,-999
0,gen=0_member=4,0.896758,0.996853,2,1.14117,264.476,264.476,1,-999
0,gen=0_member=5,1,0.999853,6,1.00005,85.5,85.5,1,-999
0,gen=0_member=6,0.999996,0.99431,4,1e+30,198.499,198.499,1,-999
0,gen=0_member=7,0.999948,0.999525,4,2,214.5,214.5,1,-999
0,gen=0_member=8,1,0.999999,6,0.431583,91.5,91.5,1,-999
0,gen=0_member=9,1,0.999959,8,1e+30,53.5,53.5,1,-999
0,gen=0_member=10,1,1,9,-999,29.5,29.5,1,-999
0,gen=0_member=11,0.99999,0.874697,2,1e+30,220.471,220.471,1,-999
0,gen=0_member=12,0.999996,0.911375,3,1e+30,204.479,204.479,1,-999
0,gen=0_member=13,1,0.999934,7,1e+30,70.5,70.5,1,-999
0,gen=0_member=14,0.0917051,0.945889,1,1e+30,275.349,275.349,1,-999
0,gen=0_member=15,0.999973,1,7,1e+30,51.5,51.5,1,-999
0,gen=0_member=16,1,0.998458,5,1e+30,110.5,110.5,1,-999
0,gen=0_member=17,1,1,8,1e+30,29.5,29.5,1,-999
0,gen=0_member=18,0.816078,0.841985,1,2,282.456,282.456,1,-999
0,gen=0_member=19,0.994458,0.102174,1,1e+30,267.346,267.346,1,-999
0,gen=0_member=20,1,0.999653,6,1e+30,70.4999,70.4999,1,-999
0,gen=0_member=21,0.999998,1,6,0.999949,75.5,75.5,1,-999
0,gen=0_member=22,0.999991,1,5,1.10907,90.5,90.5,1,-999
0,gen=0_member=23,0.999691,1,6,1e+30,64.4999,64.4999,1,-999
0,gen=0_member=24,0.999678,1,5,1e+30,74.4999,74.4999,1,-999
0,gen=0_member=25,0.746656,0.999923,2,1e+30,208.446,208.446,1,-999
0,gen=0_member=26,0.988658,0.999999,4,1e+30,165.497,165.497,1,-999
0,gen=0_member=27,0.999919,0.907743,2,1.38297,240.478,240.478,1,-999
0,gen=0_member=28,0.954735,0.999999,3,1e+30,171.489,171.489,1,-999
0,gen=0_member=29,0.998853,0.997728,3,2,249.499,249.499,1,-999
1,gen=1_member=0_pso,0.999722,0.574964,5,1e+30,863.431,863.431,1,-999
1,gen=1_member=1_pso,1,0.999721,13,1e+30,151.5,151.5,1,-999
1,gen=1_member=2_pso,0.897217,0.636372,1,0.829439,1098.44,1098.44,1,-999
1,gen=1_member=3_pso,1,0.999045,11,1e+30,253.5,253.5,1,-999
1,gen=1_member=4_pso,0.983729,0.0103054,1,1e+30,1069.41,1069.41,1,-999
1,gen=1_member=5_pso,0.126594,0.937091,1,0.923114,1045.36,1045.36,1,-999
1,gen=1_member=6_pso,1,1,12,1e+30,159.5,159.5,1,-999
1,gen=1_member=7_pso,1,1,11,1.14131,200.5,200.5,1,-999
1,gen=1_member=8_pso,0.999486,0.44612,4,1e+30,958.438,958.438,1,-999
1,gen=1_member=9_pso,0.998751,0.999993,5,0.796795,542.5,542.5,1,-999
1,gen=1_member=10_pso,0.948642,0.999699,4,1e+30,784.488,784.488,1,-999
1,gen=1_member=11_pso,0.949118,0.165331,1,0.193065,1101.44,1101.44,1,-999
1,gen=1_member=12_pso,0.71965,0.999944,2,1e+30,652.447,652.447,1,-999
1,gen=1_member=13_pso,1,0.999996,12,1.1793,111.5,111.5,1,-999
1,gen=1_member=14_pso,0.999637,1,7,1e+30,290.5,290.5,1,-999
1,gen=1_member=15_pso,0.959049,0.718343,3,2,1064.46,1064.46,1,-999
1,gen=1_member=16_pso,0.999895,0.998526,7,2,712.5,712.5,1,-999
1,gen=1_member=17_pso,0.990977,0.989172,4,1.12144,923.497,923.497,1,-999
1,gen=1_member=18_pso,0.928455,0.450022,2,0.957575,1105.44,1105.44,1,-999
1,gen=1_member=19_pso,0.920304,0.719603,2,0.724441,1093.45,1093.45,1,-999
1,gen=1_member=20_pso,0.998847,0.996823,5,1.02158,865.499,865.499,1,-999
1,gen=1_member=21_pso,0.963337,0.999994,5,0.97842,561.491,561.491,1,-999
1,gen=1_member=22_pso,1,0.970842,8,1e+30,529.493,529.493,1,-999
1,gen=1_member=23_pso,0.997684,0.91285,4,1.14834,964.482,964.482,1,-999
