generation,member,obj1,obj2,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=19,0.994458,0.102174,1,1e+30,0.362186,0.362186,1,-999
0,gen=0_member=14,0.0917051,0.945889,1,1e+30,0.366061,0.366061,1,-999
0,gen=0_member=18,0.816078,0.841985,1,2,0.366061,0.366061,1,-999
1,gen=1_member=4_pso,0.983729,0.0103054,1,1e+30,0.463211,0.463211,1,-999
1,gen=0_member=14,0.0917051,0.945889,1,1e+30,0.366061,0.366061,1,-999
1,gen=0_member=18,0.816078,0.841985,1,1.18533,0.374015,0.374015,1,-999
1,gen=1_member=5_pso,0.126594,0.937091,1,0.923114,0.370918,0.370918,1,-999
1,gen=1_member=2_pso,0.897217,0.636372,1,0.829439,0.406436,0.406436,1,-999
1,gen=1_member=24_pso,0.921558,0.176606,1,0.561656,0.466412,0.466412,1,-999
1,gen=1_member=26_pso,0.961971,0.0383642,1,0.2045,0.47001,0.47001,1,-999
1,gen=1_member=11_pso,0.949118,0.165331,1,0.193065,0.47001,0.47001,1,-999
2,gen=1_member=4_pso,0.983729,0.0103054,1,1e+30,0.459233,0.459233,1,-999
2,gen=0_member=14,0.0917051,0.945889,1,1e+30,0.382068,0.382068,1,-999
2,gen=1_member=2_pso,0.897217,0.636372,1,0.829439,0.406436,0.406436,1,-999
2,gen=2_member=30_pso,0.507878,0.92286,1,0.684635,0.419895,0.419895,1,-999
2,gen=1_member=24_pso,0.921558,0.176606,1,0.561656,0.459233,0.459233,1,-999
2,gen=0_member=18,0.816078,0.841985,1,0.500693,0.431288,0.431288,1,-999
2,gen=1_member=5_pso,0.126594,0.937091,1,0.491163,0.387299,0.387299,1,-999
2,gen=2_member=37_pso,0.707756,0.906099,1,0.43195,0.429255,0.429255,1,-999
2,gen=1_member=26_pso,0.961971,0.0383642,1,0.2045,0.466412,0.466412,1,-999
2,gen=1_member=11_pso,0.949118,0.165331,1,0.193065,0.463211,0.463211,1,-999
3,gen=3_member=67_pso,0.0361906,0.990492,1,1e+30,0.47506,0.47506,1,-999
3,gen=1_member=4_pso,0.983729,0.0103054,1,1e+30,0.463211,0.463211,1,-999
3,gen=3_member=66_pso,0.661704,0.607472,1,1.38322,0.399495,0.399495,1,-999
3,gen=3_member=60_pso,0.283311,0.872186,1,0.901019,0.453455,0.453455,1,-999
3,gen=1_member=24_pso,0.921558,0.176606,1,0.754406,0.466412,0.466412,1,-999
3,gen=1_member=5_pso,0.126594,0.937091,1,0.277408,0.47506,0.47506,1,-999
3,gen=1_member=26_pso,0.961971,0.0383642,1,0.194687,0.47001,0.47001,1,-999
3,gen=1_member=11_pso,0.949118,0.165331,1,0.183687,0.47001,0.47001,1,-999
3,gen=0_member=14,0.0917051,0.945889,1,0.149889,0.482809,0.482809,1,-999
4,gen=3_member=67_pso,0.0361906,0.990492,1,1e+30,0.439758,0.439758,1,-999
4,gen=1_member=4_pso,0.983729,0.0103054,1,1e+30,0.459233,0.459233,1,-999
4,gen=3_member=60_pso,0.283311,0.872186,1,0.878872,0.439758,0.439758,1,-999
4,gen=4_member=118_pso,0.915339,0.201035,1,0.713817,0.460995,0.460995,1,-999
4,gen=3_member=66_pso,0.661704,0.607472,1,0.704477,0.403375,0.403375,1,-999
4,gen=4_member=105_pso,0.65158,0.618707,1,0.669407,0.400965,0.400965,1,-999
4,gen=1_member=5_pso,0.126594,0.937091,1,0.277408,0.460909,0.460909,1,-999
4,gen=1_member=26_pso,0.961971,0.0383642,1,0.194687,0.466412,0.466412,1,-999
4,gen=1_member=11_pso,0.949118,0.165331,1,0.183687,0.47001,0.47001,1,-999
4,gen=0_member=14,0.0917051,0.945889,1,0.149889,0.453455,0.453455,1,-999
4,gen=1_member=24_pso,0.921558,0.176606,1,0.0720751,0.466412,0.466412,1,-999
5,gen=3_member=67_pso,0.0361906,0.990492,1,1e+30,0.47506,0.47506,1,-999
5,gen=1_member=4_pso,0.983729,0.0103054,1,1e+30,0.459233,0.459233,1,-999
5,gen=5_member=145_pso,0.824004,0.372457,1,0.682331,0.446034,0.446034,1,-999
5,gen=5_member=124_pso,0.496714,0.784089,1,0.590397,0.448255,0.448255,1,-999
5,gen=3_member=66_pso,0.661704,0.607472,1,0.433198,0.446092,0.446092,1,-999
5,gen=3_member=60_pso,0.283311,0.872186,1,0.402998,0.453455,0.453455,1,-999
5,gen=5_member=125_pso,0.632103,0.654297,1,0.332165,0.457132,0.457132,1,-999
5,gen=4_member=118_pso,0.915339,0.201035,1,0.302765,0.460995,0.460995,1,-999
5,gen=5_member=139_pso,0.243549,0.917214,1,0.231611,0.464139,0.464139,1,-999
5,gen=1_member=26_pso,0.961971,0.0383642,1,0.194687,0.466412,0.466412,1,-999
5,gen=1_member=5_pso,0.126594,0.937091,1,0.189506,0.47506,0.47506,1,-999
5,gen=1_member=11_pso,0.949118,0.165331,1,0.183687,0.47001,0.47001,1,-999
5,gen=0_member=14,0.0917051,0.945889,1,0.109814,0.482809,0.482809,1,-999
5,gen=5_member=122_pso,0.0618465,0.977751,1,0.104092,0.48159,0.48159,1,-999
5,gen=4_member=105_pso,0.65158,0.618707,1,0.0790106,0.449121,0.449121,1,-999
5,gen=1_member=24_pso,0.921558,0.176606,1,0.0720751,0.466412,0.466412,1,-999
6,gen=6_member=155_pso,0.0204104,0.968163,1,1e+30,0.438621,0.438621,1,-999
6,gen=1_member=4_pso,0.983729,0.0103054,1,1e+30,0.459233,0.459233,1,-999
6,gen=5_member=145_pso,0.824004,0.372457,1,0.586592,0.446034,0.446034,1,-999
6,gen=5_member=124_pso,0.496714,0.784089,1,0.417306,0.448255,0.448255,1,-999
6,gen=6_member=156_pso,0.722777,0.571437,1,0.413835,0.449792,0.449792,1,-999
6,gen=5_member=125_pso,0.632103,0.654297,1,0.333421,0.457132,0.457132,1,-999
6,gen=6_member=174_pso,0.433588,0.856626,1,0.313501,0.437933,0.437933,1,-999
6,gen=4_member=118_pso,0.915339,0.201035,1,0.305736,0.457468,0.457468,1,-999
6,gen=3_member=60_pso,0.283311,0.872186,1,0.260529,0.453455,0.453455,1,-999
6,gen=5_member=139_pso,0.243549,0.917214,1,0.230446,0.454656,0.454656,1,-999
6,gen=1_member=5_pso,0.126594,0.937091,1,0.187563,0.460909,0.460909,1,-999
6,gen=1_member=11_pso,0.949118,0.165331,1,0.186276,0.466706,0.466706,1,-999
6,gen=1_member=26_pso,0.961971,0.0383642,1,0.173904,0.466412,0.466412,1,-999
6,gen=0_member=14,0.0917051,0.945889,1,0.142666,0.453455,0.453455,1,-999
6,gen=3_member=66_pso,0.661704,0.607472,1,0.123258,0.446092,0.446092,1,-999
6,gen=4_member=105_pso,0.65158,0.618707,1,0.0796125,0.449121,0.449121,1,-999
6,gen=1_member=24_pso,0.921558,0.176606,1,0.0723403,0.462784,0.462784,1,-999
6,gen=6_member=166_pso,0.975658,0.0251451,1,0.0518796,0.462784,0.462784,1,-999
7,gen=6_member=155_pso,0.0204104,0.968163,1,1e+30,0.438621,0.438621,1,-999
7,gen=1_member=4_pso,0.983729,0.0103054,1,1e+30,0.459233,0.459233,1,-999
7,gen=5_member=145_pso,0.824004,0.372457,1,0.427751,0.449792,0.449792,1,-999
7,gen=6_member=156_pso,0.722777,0.571437,1,0.413835,0.449792,0.449792,1,-999
7,gen=7_member=187_pso,0.891857,0.329834,1,0.273777,0.459943,0.459943,1,-999
7,gen=5_member=125_pso,0.632103,0.654297,1,0.255166,0.467823,0.467823,1,-999
7,gen=5_member=139_pso,0.243549,0.917214,1,0.230446,0.464139,0.464139,1,-999
7,gen=7_member=194_pso,0.558347,0.770415,1,0.204827,0.467823,0.467823,1,-999
7,gen=5_member=124_pso,0.496714,0.784089,1,0.193006,0.477063,0.477063,1,-999
7,gen=3_member=60_pso,0.283311,0.872186,1,0.192523,0.460945,0.460945,1,-999
7,gen=4_member=118_pso,0.915339,0.201035,1,0.190801,0.460995,0.460995,1,-999
7,gen=1_member=5_pso,0.126594,0.937091,1,0.187563,0.460909,0.460909,1,-999
7,gen=1_member=11_pso,0.949118,0.165331,1,0.186276,0.466706,0.466706,1,-999
7,gen=1_member=26_pso,0.961971,0.0383642,1,0.173904,0.466412,0.466412,1,-999
7,gen=7_member=199_pso,0.379816,0.868299,1,0.172243,0.466402,0.466402,1,-999
7,gen=0_member=14,0.0917051,0.945889,1,0.142666,0.453455,0.453455,1,-999
7,gen=7_member=183_pso,0.452024,0.856306,1,0.141258,0.468962,0.468962,1,-999
7,gen=3_member=66_pso,0.661704,0.607472,1,0.123258,0.456005,0.456005,1,-999
7,gen=6_member=174_pso,0.433588,0.856626,1,0.0874786,0.465626,0.465626,1,-999
7,gen=4_member=105_pso,0.65158,0.618707,1,0.0796125,0.459123,0.459123,1,-999
7,gen=7_member=181_pso,0.55744,0.776252,1,0.0782557,0.466637,0.466637,1,-999
7,gen=1_member=24_pso,0.921558,0.176606,1,0.0723403,0.463805,0.463805,1,-999
7,gen=6_member=166_pso,0.975658,0.0251451,1,0.0518796,0.462784,0.462784,1,-999
8,gen=6_member=155_pso,0.0204104,0.968163,1,1e+30,0.445275,0.445275,1,-999
8,gen=1_member=4_pso,0.983729,0.0103054,1,1e+30,0.454005,0.454005,1,-999
8,gen=7_member=187_pso,0.891857,0.329834,1,0.273777,0.458334,0.458334,1,-999
8,gen=5_member=145_pso,0.824004,0.372457,1,0.260168,0.450694,0.450694,1,-999
8,gen=5_member=125_pso,0.632103,0.654297,1,0.255166,0.466637,0.466637,1,-999
8,gen=8_member=216_pso,0.797587,0.485302,1,0.216354,0.458142,0.458142,1,-999
8,gen=7_member=194_pso,0.558347,0.770415,1,0.204827,0.46476,0.46476,1,-999
8,gen=8_member=211_pso,0.712344,0.5697,1,0.197482,0.471708,0.471708,1,-999
8,gen=8_member=213_pso,0.475596,0.777872,1,0.193006,0.472478,0.472478,1,-999
8,gen=4_member=118_pso,0.915339,0.201035,1,0.190801,0.457468,0.457468,1,-999
8,gen=1_member=5_pso,0.126594,0.937091,1,0.187563,0.46833,0.46833,1,-999
8,gen=1_member=11_pso,0.949118,0.165331,1,0.186276,0.463211,0.463211,1,-999
8,gen=8_member=215_pso,0.766121,0.522138,1,0.1766,0.462859,0.462859,1,-999
8,gen=1_member=26_pso,0.961971,0.0383642,1,0.173904,0.460995,0.460995,1,-999
8,gen=5_member=139_pso,0.243549,0.917214,1,0.169174,0.466248,0.466248,1,-999
8,gen=7_member=183_pso,0.452024,0.856306,1,0.125827,0.468962,0.468962,1,-999
8,gen=7_member=199_pso,0.379816,0.868299,1,0.119319,0.476967,0.476967,1,-999
