real_name,x1,x2
gen=2_member=34_pso,2.02127,-3.05281
gen=2_member=35_pso,-2.61535,-0.266772
gen=2_member=36_pso,-2.05886,-2.58265
gen=2_member=37_pso,-2.21131,0.251246
gen=2_member=38_pso,-3.81228,2.27961
gen=2_member=39_pso,-2.16158,2.2566
gen=2_member=40_pso,0.0545901,-1.9075
gen=2_member=41_pso,-1.27878,1.51416
gen=2_member=42_pso,2.63694,-0.280466
gen=2_member=43_pso,-2.75438,1.35101
gen=2_member=44_pso,2.76322,1.05681
gen=2_member=45_pso,-0.181563,-2.96903
gen=2_member=46_pso,1.99752,1.67924
gen=2_member=47_pso,-1.15957,0.0797058
gen=2_member=48_pso,-2.85304,-3.85762
gen=2_member=49_pso,-1.19593,-3.1531
gen=2_member=50_pso,0.0610262,-2.60563
gen=2_member=51_pso,1.76804,3.0412
gen=2_member=52_pso,-1.34047,-1.00346
gen=2_member=53_pso,-3.37223,0.657673
gen=2_member=54_pso,1.32034,0.00328304
gen=2_member=55_pso,1.07284,2.58058
gen=2_member=56_pso,-1.84192,2.40999
gen=2_member=57_pso,-3.04221,-0.974675
gen=2_member=58_pso,3.75939,-3.47704
gen=2_member=59_pso,1.47664,1.11383
gen=2_member=60_pso,2.24151,1.26116
gen=2_member=61_pso,1.93302,-2.75155
gen=2_member=62_pso,1.50408,-1.01857
gen=2_member=63_pso,-0.576065,0.788884
