real_name,obj1,obj2,obj1_sd,obj2_sd
gen=0_training=0,0.985491,1.0,0,0
gen=0_training=1,0.999989,0.999999,0,0
gen=0_training=10,0.999839,1.0,0,0
gen=0_training=11,0.916644,0.999936,0,0
gen=0_training=12,1.0,0.99894,0,0
gen=0_training=14,0.734973,0.997849,0,0
gen=0_training=15,0.808554,0.881379,0,0
gen=0_training=16,0.998684,0.717511,0,0
gen=0_training=17,0.586728,0.999791,0,0
gen=0_training=18,0.99923,1.0,0,0
gen=0_training=2,1.0,0.999947,0,0
gen=0_training=20,0.999935,0.999999,0,0
gen=0_training=22,1.0,0.99825,0,0
gen=0_training=23,0.999999,0.997908,0,0
gen=0_training=24,0.999944,0.992111,0,0
gen=0_training=26,0.99443,0.0885041,0,0
gen=0_training=27,1.0,0.983924,0,0
gen=0_training=28,0.89743,0.992344,0,0
gen=0_training=29,0.999999,0.958075,0,0
gen=0_training=3,0.999022,1.0,0,0
gen=0_training=4,0.999999,1.0,0,0
gen=0_training=5,0.999823,0.999379,0,0
gen=0_training=6,0.99999,0.999601,0,0
gen=0_training=7,1.0,0.999993,0,0
gen=0_training=8,0.763268,0.694295,0,0
gen=0_training=9,1.0,1.0,0,0
