real_name,obj1,obj2,obj1_sd,obj2_sd
gen=40_member=570_pso,0.725061,0.635516,0.0115803,0.016836
gen=40_member=571_pso,0.654744,0.613452,0.0052493,0.00518179
gen=40_member=572_pso,0.941728,0.165934,0.00406675,0.00391801
gen=40_member=573_pso,0.757549,0.993386,0.0668253,0.0548769
gen=40_member=574_pso,0.915689,0.240453,0.00586657,0.00648394
gen=40_member=575_pso,0.981572,0.961211,0.0166435,0.0634183
gen=40_member=576_pso,0.83827,0.820275,0.018266,0.0252934
gen=40_member=577_pso,0.761518,0.47946,0.00563499,0.0057571
gen=40_member=578_pso,0.548109,1.06839,0.0998309,0.0820738
gen=40_member=579_pso,0.72684,0.601453,0.00945226,0.0121022
gen=40_member=580_pso,0.880734,0.303476,0.00633208,0.00739343
gen=40_member=581_pso,0.994259,0.383859,0.0274793,0.0451485
gen=40_member=582_pso,0.519125,0.735737,0.0043518,0.00431975
gen=40_member=583_pso,0.398093,0.822738,0.00604917,0.00567348
gen=40_member=584_pso,0.852179,0.336869,0.00396573,0.0037023
gen=40_member=585_pso,0.975318,0.00850659,0.00548171,0.00652566
gen=40_member=586_pso,0.843046,0.331962,0.00483392,0.00541345
gen=40_member=587_pso,0.949654,0.136024,0.00634555,0.00734864
gen=40_member=588_pso,0.771492,0.465028,0.00574863,0.00592152
gen=40_member=589_pso,0.113579,0.941227,0.0457954,0.0498364
gen=40_member=590_pso,0.456586,0.775394,0.00427577,0.0044879
gen=40_member=591_pso,0.00607827,0.958192,0.0358739,0.030402
gen=40_member=592_pso,0.38751,0.849931,0.0134176,0.0110727
gen=40_member=593_pso,1.01173,0.19042,0.0235632,0.0390804
gen=40_member=594_pso,0.51627,0.753237,0.00612699,0.00715057
gen=40_member=595_pso,0.550821,0.731633,0.00574334,0.00660427
gen=40_member=596_pso,0.0862411,0.934202,0.0308703,0.0310845
gen=40_member=597_pso,0.183188,0.924553,0.0509197,0.0567364
gen=40_member=598_pso,0.841918,0.362113,0.00641191,0.0071846
gen=40_member=599_pso,0.208957,0.905918,0.00961034,0.00893236
