real_name,obj1,obj2,obj1_sd,obj2_sd
gen=0_training=0,0.985491,1.0,0,0
gen=0_training=1,0.999989,0.999999,0,0
gen=0_training=2,1.0,0.999947,0,0
gen=0_training=3,0.999022,1.0,0,0
gen=0_training=4,0.999999,1.0,0,0
gen=0_training=5,0.999823,0.999379,0,0
gen=0_training=6,0.99999,0.999601,0,0
gen=0_training=7,1.0,0.999993,0,0
gen=0_training=8,0.763268,0.694295,0,0
gen=0_training=9,1.0,1.0,0,0
gen=0_training=10,0.999839,1.0,0,0
gen=0_training=11,0.916644,0.999936,0,0
gen=0_training=12,1.0,0.99894,0,0
gen=0_training=13,1.0,1.0,0,0
gen=0_training=14,0.734973,0.997849,0,0
gen=0_training=15,0.808554,0.881379,0,0
gen=0_training=16,0.998684,0.717511,0,0
gen=0_training=17,0.586728,0.999791,0,0
gen=0_training=18,0.99923,1.0,0,0
gen=0_training=19,1.0,1.0,0,0
gen=0_training=20,0.999935,0.999999,0,0
gen=0_training=21,1.0,1.0,0,0
gen=0_training=22,1.0,0.99825,0,0
gen=0_training=23,0.999999,0.997908,0,0
gen=0_training=24,0.999944,0.992111,0,0
gen=0_training=25,1.0,1.0,0,0
gen=0_training=26,0.99443,0.0885041,0,0
gen=0_training=27,1.0,0.983924,0,0
gen=0_training=28,0.89743,0.992344,0,0
gen=0_training=29,0.999999,0.958075,0,0
gen=5_member=149_pso,0.957058,0.0872045,0,0
gen=7_member=191_pso,0.108101,0.995583,0,0
gen=7_member=209_pso,0.591928,0.670637,0,0
gen=8_member=237_pso,0.716884,0.561869,0,0
gen=10_member=275_pso,0.739984,0.536843,0,0
gen=10_member=290_pso,0.895356,0.262034,0,0
gen=11_member=331_pso,0.443821,0.781957,0,0
gen=12_member=335_pso,0.984464,0.026722,0,0
gen=13_member=373_pso,0.977054,0.0276138,0,0
gen=13_member=386_pso,0.648354,0.62683,0,0
gen=14_member=395_pso,0.826772,0.456852,0,0
gen=14_member=411_pso,0.476968,0.761126,0,0
gen=14_member=420_pso,0.919002,0.209238,0,0
gen=15_member=436_pso,0.53914,0.715475,0,0
gen=16_member=479_pso,0.935249,0.170977,0,0
gen=16_member=483_pso,0.682845,0.58696,0,0
gen=17_member=491_pso,0.7004,0.562456,0,0
gen=17_member=504_pso,0.786437,0.459565,0,0
gen=17_member=511_pso,0.846996,0.338678,0,0
gen=18_member=517_pso,0.993896,0.101464,0,0
gen=18_member=518_pso,0.123989,0.996131,0,0
gen=18_member=527_pso,0.968182,0.0307688,0,0
gen=19_member=549_pso,0.633186,0.638985,0,0
gen=19_member=556_pso,0.865994,0.322597,0,0
gen=19_member=560_pso,0.55836,0.826714,0,0
gen=19_member=565_pso,0.530383,0.722301,0,0
gen=20_member=577_pso,0.930582,0.183823,0,0
gen=20_member=582_pso,0.965487,0.220453,0,0
gen=20_member=584_pso,0.897035,0.2183,0,0
gen=20_member=601_pso,0.0672193,0.975269,0,0
