real_name,x1,x2
gen=59_member=580_pso,0.198847,0.0457153
gen=59_member=581_pso,-1.06363,-0.288687
gen=59_member=582_pso,0.74978,0.516849
gen=59_member=583_pso,0.0219782,0.168928
gen=59_member=584_pso,0.940778,0.893507
gen=59_member=585_pso,-0.379026,-0.37852
gen=59_member=586_pso,-0.489763,-0.466345
gen=59_member=587_pso,0.716359,1.42574
gen=59_member=588_pso,0.257753,-0.249803
gen=59_member=589_pso,1.09893,1.37801
gen=59_member=590_pso,0.00308603,0.195482
gen=59_member=591_pso,-0.866424,-0.78198
gen=59_member=592_pso,-0.193943,-0.274186
gen=59_member=593_pso,0.626231,0.506129
gen=59_member=594_pso,0.359423,0.245053
gen=59_member=595_pso,-0.303344,-0.348751
gen=59_member=596_pso,-0.433475,-0.952481
gen=59_member=597_pso,-0.40254,-0.813243
gen=59_member=598_pso,-0.0506906,-0.17085
gen=59_member=599_pso,0.83885,1.1541
gen=59_member=600_pso,-2.97718,-2.05176
gen=59_member=601_pso,1.12065,1.05141
gen=59_member=602_pso,-1.10992,2.28227
gen=59_member=603_pso,-0.833905,0.285693
gen=59_member=604_pso,0.0436996,-0.0640351
gen=59_member=605_pso,0.132248,-0.415695
gen=59_member=606_pso,0.200608,1.48785
gen=59_member=607_pso,0.55018,0.667781
gen=59_member=608_pso,0.156986,0.110136
gen=59_member=609_pso,-0.0259883,-0.0161068
