child,parent_1,parent_2,parent_3
GEN=40_MEMBER=0_DE,GEN=35_MEMBER=424_PSO,GEN=34_MEMBER=397_PSO,GEN=29_MEMBER=261_PSO,GEN=27_MEMBER=190_PSO
GEN=40_MEMBER=1_DE,GEN=39_MEMBER=563_PSO,GEN=38_MEMBER=535_PSO,GEN=38_MEMBER=521_PSO,GEN=29_MEMBER=261_PSO
GEN=40_MEMBER=2_DE,GEN=39_MEMBER=559_PSO,GEN=32_MEMBER=350_PSO,GEN=31_MEMBER=322_PSO,GEN=27_MEMBER=188_PSO
GEN=40_MEMBER=3_DE,GEN=39_MEMBER=559_PSO,GEN=38_MEMBER=530_PSO,GEN=38_MEMBER=521_PSO,GEN=34_MEMBER=396_PSO
GEN=40_MEMBER=4_DE,GEN=38_MEMBER=521_PSO,GEN=35_MEMBER=442_PSO,GEN=35_MEMBER=424_PSO,GEN=34_MEMBER=396_PSO
GEN=40_MEMBER=5_DE,GEN=39_MEMBER=559_PSO,GEN=34_MEMBER=397_PSO,GEN=29_MEMBER=261_PSO,GEN=27_MEMBER=188_PSO
GEN=40_MEMBER=6_DE,GEN=39_MEMBER=559_PSO,GEN=38_MEMBER=535_PSO,GEN=38_MEMBER=530_PSO,GEN=34_MEMBER=397_PSO
GEN=40_MEMBER=7_DE,GEN=39_MEMBER=559_PSO,GEN=38_MEMBER=535_PSO,GEN=37_MEMBER=491_PSO,GEN=27_MEMBER=190_PSO
GEN=40_MEMBER=8_DE,GEN=39_MEMBER=559_PSO,GEN=38_MEMBER=535_PSO,GEN=31_MEMBER=322_PSO,GEN=27_MEMBER=188_PSO
GEN=40_MEMBER=9_DE,GEN=39_MEMBER=563_PSO,GEN=38_MEMBER=521_PSO,GEN=35_MEMBER=424_PSO,GEN=27_MEMBER=188_PSO
GEN=40_MEMBER=10_PSO,GEN=39_MEMBER=563_PSO,,
GEN=40_MEMBER=11_PSO,GEN=39_MEMBER=559_PSO,,
GEN=40_MEMBER=12_PSO,GEN=38_MEMBER=535_PSO,,
GEN=40_MEMBER=13_PSO,GEN=38_MEMBER=530_PSO,,
GEN=40_MEMBER=14_PSO,GEN=38_MEMBER=521_PSO,,
GEN=40_MEMBER=15_PSO,GEN=37_MEMBER=491_PSO,,
GEN=40_MEMBER=16_PSO,GEN=35_MEMBER=442_PSO,,
GEN=40_MEMBER=17_PSO,GEN=35_MEMBER=424_PSO,,
GEN=40_MEMBER=18_PSO,GEN=34_MEMBER=397_PSO,,
GEN=40_MEMBER=19_PSO,GEN=34_MEMBER=396_PSO,,
GEN=40_MEMBER=20_PSO,GEN=34_MEMBER=395_PSO,,
GEN=40_MEMBER=21_PSO,GEN=32_MEMBER=350_PSO,,
GEN=40_MEMBER=22_PSO,GEN=31_MEMBER=322_PSO,,
GEN=40_MEMBER=23_PSO,GEN=29_MEMBER=261_PSO,,
GEN=40_MEMBER=24_PSO,GEN=27_MEMBER=190_PSO,,
GEN=40_MEMBER=25_PSO,GEN=27_MEMBER=188_PSO,,
GEN=40_MEMBER=26_PSO,GEN=39_MEMBER=561_PSO,,
GEN=40_MEMBER=27_PSO,GEN=39_MEMBER=555_PSO,,
GEN=40_MEMBER=28_PSO,GEN=38_MEMBER=539_PSO,,
GEN=40_MEMBER=29_PSO,GEN=22_MEMBER=50_PSO,,
GEN=40_MEMBER=30_PSO,GEN=40_MEMBER=0_DE,,
GEN=40_MEMBER=31_PSO,GEN=40_MEMBER=1_DE,,
GEN=40_MEMBER=32_PSO,GEN=40_MEMBER=2_DE,,
GEN=40_MEMBER=33_PSO,GEN=40_MEMBER=3_DE,,
GEN=40_MEMBER=34_PSO,GEN=40_MEMBER=4_DE,,
GEN=40_MEMBER=35_PSO,GEN=40_MEMBER=5_DE,,
GEN=40_MEMBER=36_PSO,GEN=40_MEMBER=6_DE,,
GEN=40_MEMBER=37_PSO,GEN=40_MEMBER=7_DE,,
GEN=40_MEMBER=38_PSO,GEN=40_MEMBER=8_DE,,
GEN=40_MEMBER=39_PSO,GEN=40_MEMBER=9_DE,,
GEN=41_MEMBER=40_PSO,GEN=40_MEMBER=36_PSO,,
GEN=41_MEMBER=41_PSO,GEN=40_MEMBER=33_PSO,,
GEN=41_MEMBER=42_PSO,GEN=39_MEMBER=563_PSO,,
GEN=41_MEMBER=43_PSO,GEN=39_MEMBER=559_PSO,,
GEN=41_MEMBER=44_PSO,GEN=38_MEMBER=535_PSO,,
GEN=41_MEMBER=45_PSO,GEN=38_MEMBER=530_PSO,,
GEN=41_MEMBER=46_PSO,GEN=38_MEMBER=521_PSO,,
GEN=41_MEMBER=47_PSO,GEN=37_MEMBER=491_PSO,,
GEN=41_MEMBER=48_PSO,GEN=35_MEMBER=442_PSO,,
GEN=41_MEMBER=49_PSO,GEN=35_MEMBER=424_PSO,,
GEN=41_MEMBER=50_PSO,GEN=34_MEMBER=397_PSO,,
GEN=41_MEMBER=51_PSO,GEN=34_MEMBER=396_PSO,,
GEN=41_MEMBER=52_PSO,GEN=34_MEMBER=395_PSO,,
GEN=41_MEMBER=53_PSO,GEN=32_MEMBER=350_PSO,,
GEN=41_MEMBER=54_PSO,GEN=31_MEMBER=322_PSO,,
GEN=41_MEMBER=55_PSO,GEN=29_MEMBER=261_PSO,,
GEN=41_MEMBER=56_PSO,GEN=27_MEMBER=190_PSO,,
GEN=41_MEMBER=57_PSO,GEN=27_MEMBER=188_PSO,,
GEN=41_MEMBER=58_PSO,GEN=40_MEMBER=39_PSO,,
GEN=41_MEMBER=59_PSO,GEN=40_MEMBER=37_PSO,,
GEN=41_MEMBER=60_PSO,GEN=40_MEMBER=35_PSO,,
GEN=41_MEMBER=61_PSO,GEN=40_MEMBER=30_PSO,,
GEN=41_MEMBER=62_PSO,GEN=40_MEMBER=25_PSO,,
GEN=41_MEMBER=63_PSO,GEN=39_MEMBER=561_PSO,,
GEN=41_MEMBER=64_PSO,GEN=39_MEMBER=555_PSO,,
GEN=41_MEMBER=65_PSO,GEN=38_MEMBER=539_PSO,,
GEN=41_MEMBER=66_PSO,GEN=22_MEMBER=50_PSO,,
GEN=41_MEMBER=67_PSO,GEN=40_MEMBER=32_PSO,,
GEN=41_MEMBER=68_PSO,GEN=40_MEMBER=31_PSO,,
