time,elapsed_seconds,message
01:10:09,8.27e-05,PEST++ performance logger started
01:10:09,0.0003574,starting to process control file
01:10:09,0.0061328,finished processing control file
01:10:09,0.0091838,initializing MOEA process
01:10:09,0.0001736,using 'nsga2_ppd' env selector
01:10:09,2.12e-05,using binary tournament mating pool selector
01:10:09,2.3e-05,saving generation specific populations and archives every nth generation 1
01:10:09,2.71e-05,'opt_dec_var_groups' passed, using 2 adjustable parameters as decision variables
01:10:09,3.04e-05,number of decision variables:  2
01:10:09,2e-05,max run fail:  3
01:10:09,2.04e-05,'opt_chance_points' = SINGLE, evaluting chance at representative point
01:10:09,3.23e-05,initializing constraints
01:10:09,0.000241,using particle swarm generator
01:10:09,0.0009847,processing dv population file initial.dv_pop.csv
01:10:09,2.55e-05,loading dv population from csv file initial.dv_pop.csv
01:10:09,0.006837,dv population with 30 members read from 'initial.dv_pop.csv'

01:10:09,4.89e-05,previous generation numbers detected in dv population, fast forwarding generation counter to 39
01:10:09,8.6e-06,processing obs population file initial.obs_pop.csv
01:10:09,1.51e-05,loading obs population from csv file initial.obs_pop.csv
01:10:09,0.004893,obs population with 20 members read from 'initial.obs_pop.csv'

01:10:09,6.13e-05,WARNING: only 20 members are common between the dv population and obs restart population.
01:10:09,1.54e-05,aligning dv and obs populations
01:10:09,3.94e-05,dv population size:  20
01:10:09,1.45e-05,obs population size 20
01:10:09,1.41e-05,checking for denormal values in dv population
01:10:09,1.64e-05,checking for denormal values in obs restart population
01:10:09,0.0020225, saved observation population to  fon.0.obs_pop.csv
01:10:09,1.78e-05,initial population decision variable summary:
01:10:09,4.83e-05,initial population objective function summary:
01:10:09,2.55e-05,seeking optimal trade-off point for single 'optimal' chance point runs
01:10:09,2.29e-05,using member GEN=27_MEMBER=188_PSO as single, 'optimal' point
   with distance of 0.861726 from optimal trade - off
01:10:09,0.0014736, saved initial dv population to  fon.0.dv_pop.csv
01:10:09,1.84e-05,performing initial pareto dominance sort
01:10:09,0.0033051,ParetoObjectives::get_nsga2_pareto_dominance() for 20 population members
01:10:09,2.26e-05,ParetoObjectives::update() for  20 population members
01:10:09,7.8e-06,preparing fast-lookup containers
01:10:09,0.0001566,checking for duplicate solutions
01:10:09,6.92e-05,calculating fitness
01:10:09,9.2e-06,get_spea_fitness
01:10:09,4.38e-05,fill domination containers
01:10:09,0.0001483,pareto front sorting
01:10:09,7e-06,starting 'fast non-dom sort
01:10:09,6.9e-06,fill domination containers
01:10:09,0.0001295,finding first front
01:10:09,1.07e-05,sorting remaining fronts
01:10:09,0.0016079,initialized archives with 20 nondominated members
01:10:09,9.8e-06,ParetoObjectives::get_nsga2_pareto_dominance() for 20 population members
01:10:09,7.5e-06,ParetoObjectives::update() for  20 population members
01:10:09,6.6e-06,preparing fast-lookup containers
01:10:09,0.0001927,checking for duplicate solutions
01:10:09,6.03e-05,calculating fitness
01:10:09,6.9e-06,get_spea_fitness
01:10:09,4.3e-05,fill domination containers
01:10:09,0.0001424,pareto front sorting
01:10:09,6.8e-06,starting 'fast non-dom sort
01:10:09,6.7e-06,fill domination containers
01:10:09,0.000128,finding first front
01:10:09,9.5e-06,sorting remaining fronts
01:10:09,0.0013649,ParetoObjectives::get_nsga2_pareto_dominance() for 20 population members
01:10:09,1.27e-05,ParetoObjectives::update() for  20 population members
01:10:09,7.7e-06,preparing fast-lookup containers
01:10:09,0.0001623,checking for duplicate solutions
01:10:09,6.21e-05,calculating fitness
01:10:09,7.3e-06,get_spea_fitness
01:10:09,5.17e-05,fill domination containers
01:10:09,0.0001396,pareto front sorting
01:10:09,6.8e-06,starting 'fast non-dom sort
01:10:09,6.8e-06,fill domination containers
01:10:09,0.0001569,finding first front
01:10:09,1.16e-05,sorting remaining fronts
01:10:09,0.0014589,using the initial population for hypervolume partitioning
01:10:09,1.04e-05,ParetoObjectives::get_hypervolume() for 20 archive members
01:10:09,0.0001534,ParetoObjectives::set_hypervolume_partitions() for outer pareto archive members
01:10:09,0.0015164,saved decision variable population of size 20 X 2 to 'fon.archive.dv_pop.csv'
01:10:09,0.0021842,saved generation-specific decision variable population of size 20 X 2 to 'fon.0.archive.dv_pop.csv'
01:10:09,0.0018363,saved observation population of size 20 X 4 to 'fon.archive.obs_pop.csv'
01:10:09,0.0013035,saved generation-specific observation population of size 20 X 4 to 'fon.0.archive.obs_pop.csv'
01:10:09,0.0001021,number of initial feasible solutions: 20
01:10:09,1.52e-05,initialization complete
01:10:09,0.0001538,starting generation  1
01:10:09,1.24e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 20 population members
01:10:09,8e-06,ParetoObjectives::update() for  20 population members
01:10:09,6.5e-06,preparing fast-lookup containers
01:10:09,0.0001731,checking for duplicate solutions
01:10:09,6.3e-05,calculating fitness
01:10:09,7e-06,get_spea_fitness
01:10:09,4.38e-05,fill domination containers
01:10:09,0.0002678,pareto front sorting
01:10:09,6.8e-06,starting 'fast non-dom sort
01:10:09,6.6e-06,fill domination containers
01:10:09,0.0002457,finding first front
01:10:09,9.6e-06,sorting remaining fronts
01:10:09,0.0010127,augmenting PSO population DE population of size 10
01:10:09,2e-05,generating diffevol population of size 10
01:10:09,0.0002843,generating PSO population of size 30
01:10:09,1.02e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 20 population members
01:10:09,7.4e-06,ParetoObjectives::update() for  20 population members
01:10:09,6.5e-06,preparing fast-lookup containers
01:10:09,0.0001393,checking for duplicate solutions
01:10:09,5.87e-05,calculating fitness
01:10:09,6.6e-06,get_spea_fitness
01:10:09,4.12e-05,fill domination containers
01:10:09,0.0002566,pareto front sorting
01:10:09,6.6e-06,starting 'fast non-dom sort
01:10:09,6.2e-06,fill domination containers
01:10:09,0.000246,finding first front
01:10:09,8.7e-06,sorting remaining fronts
01:10:09,0.0044452,running population of size  30
01:10:09,1.33e-05,queuing 30 runs
01:10:09,0.0016106,making runs
01:10:27,17.3685,processing runs
01:10:27,0.0054249,saved decision variable population of size 30 X 2 to 'fon.dv_pop.csv'
01:10:27,0.0019556,saved generation-specific decision variable population of size 30 X 2 to 'fon.1.dv_pop.csv'
01:10:27,0.0017108,saved observation population of size 30 X 4 to 'fon.obs_pop.csv'
01:10:27,0.0016808,saved generation-specific observation population of size 30 X 4 to 'fon.1.obs_pop.csv'
01:10:27,0.0049195,ParetoObjectives::update() for  50 population members
01:10:27,1.85e-05,preparing fast-lookup containers
01:10:27,0.0007448,checking for duplicate solutions
01:10:27,0.0002898,calculating fitness
01:10:27,8.2e-06,get_spea_fitness
01:10:27,0.0002091,fill domination containers
01:10:27,0.0017419,pareto front sorting
01:10:27,1.71e-05,starting 'fast non-dom sort
01:10:27,6.9e-06,fill domination containers
01:10:27,0.0021031,finding first front
01:10:27,4.09e-05,sorting remaining fronts
01:10:27,9.28e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 50 population members
01:10:27,8.3e-06,ParetoObjectives::update() for  50 population members
01:10:27,7.2e-06,preparing fast-lookup containers
01:10:27,0.0007656,checking for duplicate solutions
01:10:27,0.0003179,calculating fitness
01:10:27,7.4e-06,get_spea_fitness
01:10:27,0.0002079,fill domination containers
01:10:27,0.0017538,pareto front sorting
01:10:27,7.6e-06,starting 'fast non-dom sort
01:10:27,6.4e-06,fill domination containers
01:10:27,0.0015109,finding first front
