generation,member,obj1,obj2,obj1_sd,obj2_sd,obj1_sd_syn,obj2_sd_syn,nsga2_front,nsga2_crowding_distance,nn_count,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=50_member=327_pso,0.69854,0.559627,0,0,0.0869379,0.0844909,1,0.25,1,0.483922,0.483922,1,-999
0,gen=50_member=332_pso,0.613032,0.65091,0,0,0.0869379,0.0844909,1,1,0,0.475887,0.475887,1,-999
0,gen=51_member=345_pso,0.709838,0.545336,0,0,0.0869379,0.0844909,1,1,0,0.479699,0.479699,1,-999
0,gen=51_member=367_pso,0.65441,0.609303,0,0,0.0869379,0.0844909,1,1,0,0.483922,0.483922,1,-999
0,gen=52_member=373_pso,0.13103,0.933284,0,0,0.0869379,0.0844909,1,1,0,0.424364,0.424364,1,-999
0,gen=52_member=387_pso,0.451516,0.777215,0,0,0.0869379,0.0844909,1,1,0,0.474438,0.474438,1,-999
0,gen=52_member=395_pso,0.360033,0.834154,0,0,0.0869379,0.0844909,1,1,0,0.452165,0.452165,1,-999
0,gen=53_member=422_pso,0.913471,0.172866,0,0,0.0869379,0.0844909,1,1,0,0.409422,0.409422,1,-999
0,gen=53_member=424_pso,0.536256,0.717053,0,0,0.0869379,0.0844909,1,1,0,0.475302,0.475302,1,-999
1,gen=54_member=21_pso,1.00599,0.983902,0.00874695,0.122665,0.0192442,0.122665,3,0.0625,4,0.440009,0.440009,1,-999
1,gen=54_member=22_pso,1.00192,0.999526,0.00810209,0.0480876,0.0192442,0.0480876,3,0.25,3,0.442423,0.442423,1,-999
1,gen=54_member=23_pso,0.953845,0.393062,0.0234699,0.0837581,0.0417202,0.190974,2,1,0,111.455,111.455,1,-999
1,gen=54_member=24_pso,0.973254,0.272247,0.00740151,0.010293,0.0417202,0.190974,2,1,0,111.456,111.456,1,-999
1,gen=54_member=25_pso,1.0312,0.939227,0.0242266,0.152473,0.0242266,0.152473,3,1,5,0.434333,0.434333,1,-999
1,gen=54_member=26_pso,0.806373,1.03614,0.175526,0.059729,0.175526,0.190974,2,1,0,0.434333,0.434333,1,-999
1,gen=54_member=27_pso,0.915735,0.981377,0.0913406,0.0341343,0.0913406,0.0341343,3,1,0,0.458012,0.458012,1,-999
1,gen=54_member=28_pso,0.971076,0.987173,0.0464774,0.0655738,0.0464774,0.0655738,3,1,1,0.451473,0.451473,1,-999
1,gen=54_member=29_pso,1.00553,0.973805,0.0100946,0.0496668,0.0192442,0.0496668,3,0.5625,2,0.44121,0.44121,1,-999
1,gen=54_member=30_pso,0.88686,0.247983,0.00323395,0.00222185,0.0322612,0.0302844,1,0.444444,1,145.459,145.459,1,-999
1,gen=54_member=31_pso,0.895547,0.222222,0.00336544,0.00282969,0.0322612,0.0302844,1,0.444444,1,145.455,145.455,1,-999
1,gen=54_member=32_pso,0.536652,0.744242,0.0107481,0.0113649,0.0322612,0.0302844,1,0.111111,2,178.471,178.471,1,-999
1,gen=54_member=33_pso,0.629599,0.635891,0.0027502,0.00277856,0.0322612,0.0302844,1,1,0,178.471,178.471,1,-999
1,gen=54_member=34_pso,0.304237,0.863529,0.00295783,0.00314175,0.0322612,0.0302844,1,1,0,152.453,152.453,1,-999
1,gen=54_member=35_pso,0.364643,0.83167,0.00302653,0.00309233,0.0322612,0.0302844,1,0.444444,1,178.456,178.456,1,-999
1,gen=54_member=36_pso,0.654973,0.616805,0.00314372,0.00290628,0.0322612,0.0302844,1,0.444444,1,178.478,178.478,1,-999
1,gen=54_member=37_pso,0.768297,0.472202,0.00282687,0.00288686,0.0322612,0.0302844,1,0.444444,1,160.476,160.476,1,-999
1,gen=54_member=38_pso,0.0517829,0.972355,0.00444491,0.00428511,0.0322612,0.0302844,1,1,1,48.409,48.409,1,-999
1,gen=54_member=39_pso,0.849656,0.422312,0.00968724,0.0161133,0.0417202,0.190974,2,1,0,160.459,160.459,1,-999
1,gen=54_member=40_pso,0.76945,0.469372,0.00398181,0.00377735,0.0322612,0.0302844,1,1,0,160.477,160.477,1,-999
1,gen=54_member=41_pso,0.488279,0.766031,0.00363623,0.00349673,0.0322612,0.0302844,1,0.111111,2,178.466,178.466,1,-999
1,gen=54_member=42_pso,0.802319,0.417834,0.00314988,0.00268038,0.0322612,0.0302844,1,0.444444,1,160.463,160.463,1,-999
1,gen=54_member=43_pso,0.605279,0.662331,0.00281596,0.00280423,0.0322612,0.0302844,1,0.444444,1,178.474,178.474,1,-999
1,gen=54_member=44_pso,0.462617,0.770322,0.00267959,0.00303655,0.0322612,0.0302844,1,0.444444,1,178.472,178.472,1,-999
1,gen=54_member=46_pso,0.922836,0.154677,0.00377923,0.00299693,0.0322612,0.0302844,1,1,0,145.444,145.444,1,-999
1,gen=54_member=47_pso,0.816334,0.38452,0.00354309,0.00276189,0.0322612,0.0302844,1,1,0,161.463,161.463,1,-999
1,gen=54_member=48_pso,0.0603117,0.956838,0.00293571,0.00352833,0.0322612,0.0302844,1,1,0,71.4114,71.4114,1,-999
1,gen=54_member=50_pso,0.715227,0.539791,0.0028144,0.00269788,0.0322612,0.0302844,1,1,0,160.477,160.477,1,-999
1,gen=53_member=424_pso,0.536256,0.717053,0,0,0.0322612,0.0302844,1,1,0,178.475,178.475,1,-999
1,gen=53_member=422_pso,0.913471,0.172866,0,0,0.0322612,0.0302844,1,0.444444,1,145.446,145.446,1,-999
1,gen=52_member=395_pso,0.360033,0.834154,0,0,0.0322612,0.0302844,1,1,0,178.455,178.455,1,-999
1,gen=52_member=387_pso,0.451516,0.777215,0,0,0.0322612,0.0302844,1,1,0,178.474,178.474,1,-999
1,gen=52_member=373_pso,0.13103,0.933284,0,0,0.0322612,0.0302844,1,1,0,125.424,125.424,1,-999
1,gen=51_member=367_pso,0.65441,0.609303,0,0,0.0322612,0.0302844,1,1,0,178.48,178.48,1,-999
1,gen=51_member=345_pso,0.709838,0.545336,0,0,0.0322612,0.0302844,1,1,0,178.477,178.477,1,-999
1,gen=50_member=332_pso,0.613032,0.65091,0,0,0.0322612,0.0302844,1,1,0,178.471,178.471,1,-999
1,gen=50_member=327_pso,0.69854,0.559627,0,0,0.0322612,0.0302844,1,0.444444,1,178.474,178.474,1,-999
2,gen=55_member=51_pso,1.17962,1.15693,0.0741356,0.141022,0,0,6,-999,0,0.438922,0.438922,1,-999
2,gen=55_member=52_pso,0.62999,0.648348,0.00353671,0.00352195,0.0317586,0.0320646,1,0.0625,3,600.473,600.473,1,-999
2,gen=55_member=53_pso,0.726501,0.955614,0.0203766,0.0195482,0.0464846,0.0596942,3,1,0,297.448,297.448,1,-999
2,gen=55_member=54_pso,0.989218,0.958093,0.0184135,0.0923826,0.0464846,0.0923826,3,0.25,2,58.4773,58.4773,1,-999
2,gen=55_member=55_pso,0.972784,0.0424826,0.0037184,0.00277102,0.0317586,0.0320646,1,1,0,345.45,345.45,1,-999
2,gen=55_member=56_pso,1.06522,1.03753,0.241705,0.05167,0.241705,0.05167,4,0.015625,7,0.445664,0.445664,1,-999
2,gen=55_member=57_pso,0.881742,0.980955,0.221859,0.0852891,0.221859,0.0852891,3,0.5625,1,58.4534,58.4534,1,-999
2,gen=55_member=58_pso,0.999116,0.498896,0.00775502,0.0368423,0.0464846,0.0596942,3,1,0,190.448,190.448,1,-999
2,gen=55_member=59_pso,0.980076,0.98301,0.0419471,0.0722134,0.0464846,0.0722134,3,0.0625,3,58.4808,58.4808,1,-999
2,gen=55_member=60_pso,0.844664,0.405984,0.00931064,0.0157181,0.046571,0.0954802,2,1,0,534.462,534.462,1,-999
2,gen=55_member=61_pso,0.825243,0.576602,0.00600473,0.00662917,0.046571,0.0954802,2,0.111111,2,518.463,518.463,1,-999
2,gen=55_member=62_pso,1.03748,0.912632,0.0345279,0.185241,0.0345279,0.185241,4,0.25,4,58.4605,58.4605,1,-999
2,gen=55_member=63_pso,0.882502,0.992271,0.121728,0.0439863,0.121728,0.0596942,3,0.5625,1,58.4684,58.4684,1,-999
2,gen=55_member=64_pso,0.909799,0.991965,0.0382311,0.0199027,0.0382311,0.024358,4,1,0,97.4738,97.4738,1,-999
2,gen=55_member=65_pso,1.00907,0.984549,0.0146404,0.100181,0.0178096,0.100181,4,0.25,4,58.4818,58.4818,1,-999
2,gen=55_member=66_pso,0.98999,0.0560725,0.00594738,0.00685803,0.046571,0.0954802,2,1,0,245.451,245.451,1,-999
2,gen=55_member=67_pso,0.957264,1.0107,0.0473043,0.0641704,0.0473043,0.0641704,4,0.5625,2,58.4822,58.4822,1,-999
2,gen=55_member=68_pso,0.957342,0.395658,0.027817,0.0801592,0.046571,0.0954802,2,0.111111,2,377.459,377.459,1,-999
2,gen=55_member=69_pso,0.524279,1.01087,0.0375997,0.0184298,0.046571,0.0954802,2,1,0,88.4444,88.4444,1,-999
2,gen=55_member=70_pso,0.98891,0.0732422,0.00439756,0.0041984,0.046571,0.0954802,2,0.444444,1,245.455,245.455,1,-999
2,gen=55_member=71_pso,0.977592,0.999391,0.0265684,0.0373269,0.0265684,0.0373269,4,0.765625,1,58.4824,58.4824,1,-999
2,gen=55_member=72_pso,1.05135,0.793952,0.0461794,0.148885,0.0461794,0.148885,4,1,0,58.4455,58.4455,1,-999
2,gen=55_member=73_pso,0.993021,0.800702,0.0260184,0.0916798,0.0464846,0.0916798,3,1,0,58.4532,58.4532,1,-999
2,gen=55_member=74_pso,1.00108,0.99889,0.00807042,0.0312789,0.0178096,0.0312789,4,0.390625,3,58.4795,58.4795,1,-999
2,gen=55_member=75_pso,1.00861,0.97293,0.0111092,0.0569313,0.0178096,0.0569313,4,0.5625,2,58.4784,58.4784,1,-999
2,gen=55_member=76_pso,0.580755,0.988508,0.0435069,0.0239925,0.0464846,0.0596942,3,1,0,161.444,161.444,1,-999
2,gen=55_member=77_pso,0.887121,1.02777,0.0775444,0.0252735,0.0775444,0.0252735,4,1,1,58.468,58.468,1,-999
2,gen=55_member=78_pso,0.997473,1.05278,0.0178087,0.0967285,0,0,5,-999,0,58.4773,58.4773,1,-999
2,gen=55_member=79_pso,0.968003,0.236383,0.0111037,0.026301,0.046571,0.0954802,2,0.444444,1,343.461,343.461,1,-999
2,gen=55_member=80_pso,0.525322,0.83884,0.00461219,0.00483087,0.046571,0.0954802,2,1,0,527.462,527.462,1,-999
2,gen=54_member=50_pso,0.715227,0.539791,0.0028144,0.00269788,0.0317586,0.0320646,1,1,0,587.473,587.473,1,-999
2,gen=54_member=48_pso,0.0603117,0.956838,0.00293571,0.00352833,0.0317586,0.0320646,1,1,0,362.409,362.409,1,-999
2,gen=54_member=47_pso,0.816334,0.38452,0.00354309,0.00276189,0.0317586,0.0320646,1,1,0,567.462,567.462,1,-999
2,gen=54_member=46_pso,0.922836,0.154677,0.00377923,0.00299693,0.0317586,0.0320646,1,1,0,485.471,485.471,1,-999
2,gen=54_member=40_pso,0.76945,0.469372,0.00398181,0.00377735,0.0317586,0.0320646,1,1,0,565.476,565.476,1,-999
2,gen=54_member=38_pso,0.0517829,0.972355,0.00444491,0.00428511,0.0317586,0.0320646,1,1,1,338.407,338.407,1,-999
2,gen=54_member=34_pso,0.304237,0.863529,0.00295783,0.00314175,0.0317586,0.0320646,1,1,0,536.45,536.45,1,-999
