real_name,x1,x2
gen=10_member=290_pso,-0.200295,-0.490314
gen=11_member=331_pso,0.159991,0.171076
gen=14_member=411_pso,0.166635,0.110447
gen=16_member=483_pso,0.0305239,-0.123916
gen=17_member=511_pso,-0.182973,-0.33455
gen=19_member=549_pso,0.0764773,-0.0708434
gen=19_member=565_pso,0.0676057,0.118144
gen=27_member=188_pso,-0.0921928,-0.117445
gen=29_member=261_pso,-0.139226,-0.214034
gen=31_member=322_pso,0.892215,0.652913
gen=34_member=395_pso,0.531837,0.297533
gen=35_member=424_pso,-0.0220197,0.01651
gen=35_member=442_pso,-0.796487,-0.714029
gen=37_member=491_pso,0.0774441,0.134999
gen=37_member=509_pso,-0.0670726,-0.0903474
gen=38_member=521_pso,-0.301171,-0.246016
gen=38_member=539_pso,0.338448,0.217045
gen=39_member=555_pso,-0.264855,-0.273212
gen=39_member=561_pso,0.0601851,0.0182772
gen=40_member=571_pso,-0.0601674,0.0209011
gen=50_member=327_pso,-0.0489889,-0.0850022
gen=50_member=332_pso,0.0295235,0.00689669
gen=51_member=345_pso,-0.0707867,-0.0880007
gen=51_member=367_pso,-0.0322058,-0.0111679
gen=52_member=373_pso,0.531481,0.376044
gen=52_member=387_pso,0.146211,0.172323
gen=52_member=395_pso,0.300157,0.177266
gen=53_member=422_pso,-0.39606,-0.402084
gen=53_member=424_pso,0.0772755,0.0974065
gen=5_member=149_pso,-0.406882,-0.673812
