time,elapsed_seconds,message
01:07:32,7.21e-05,PEST++ performance logger started
01:07:32,0.0003436,starting to process control file
01:07:32,0.0069415,finished processing control file
01:07:32,0.0178877,initializing MOEA process
01:07:32,6.75e-05,using 'nsga2' env selector
01:07:32,4.19e-05,using binary tournament mating pool selector
01:07:32,9.51e-05,saving generation specific populations and archives every nth generation 1
01:07:32,4.07e-05,'opt_dec_var_groups' passed, using 2 adjustable parameters as decision variables
01:07:32,3.39e-05,number of decision variables:  2
01:07:32,2.2e-05,max run fail:  3
01:07:32,2.12e-05,'opt_chance_points' = SINGLE, evaluting chance at representative point
01:07:32,3.5e-05,initializing constraints
01:07:32,0.0009873,using particle swarm generator
01:07:32,0.0013566,processing dv population file infill.dv_pop.csv
01:07:32,2.9e-05,loading dv population from csv file infill.dv_pop.csv
01:07:32,0.0079253,dv population with 30 members read from 'infill.dv_pop.csv'

01:07:32,3.55e-05,previous generation numbers detected in dv population, fast forwarding generation counter to 20
01:07:32,3.83e-05,checking for denormal values in dv population
01:07:32,0.0021736, saved initial dv population to  fon.0.dv_pop.csv
01:07:32,1.15e-05,running initial population
01:07:32,1.63e-05,running initial population of size 30
01:07:32,0.003383,running population of size  30
01:07:32,2.09e-05,queuing 30 runs
01:07:32,0.0019698,making runs
01:07:46,14.0494,processing runs
01:07:46,0.0055857, saved observation population to  fon.0.obs_pop.csv
01:07:46,2.24e-05,initial population decision variable summary:
01:07:46,5.98e-05,initial population objective function summary:
01:07:46,3.05e-05,using member GEN=17_MEMBER=504_PSO as nearest-to-mean single point
    with distance of 0.0902649 from mean of decision variable population
01:07:46,0.0015829, saved initial dv population to  fon.0.dv_pop.csv
01:07:46,2.21e-05,performing initial pareto dominance sort
01:07:46,0.0030084,ParetoObjectives::get_nsga2_pareto_dominance() for 30 population members
01:07:46,2.14e-05,ParetoObjectives::update() for  30 population members
01:07:46,7.5e-06,preparing fast-lookup containers
01:07:46,0.0001831,checking for duplicate solutions
01:07:46,9.37e-05,calculating fitness
01:07:46,9.9e-06,get_spea_fitness
01:07:46,8.67e-05,fill domination containers
01:07:46,0.0002255,pareto front sorting
01:07:46,7.2e-06,starting 'fast non-dom sort
01:07:46,6.6e-06,fill domination containers
01:07:46,0.0001951,finding first front
01:07:46,9.7e-06,sorting remaining fronts
01:07:46,0.0006702,initialized archives with 25 nondominated members
01:07:46,1.02e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 25 population members
01:07:46,7.2e-06,ParetoObjectives::update() for  25 population members
01:07:46,6.6e-06,preparing fast-lookup containers
01:07:46,0.0001216,checking for duplicate solutions
01:07:46,6.51e-05,calculating fitness
01:07:46,7.1e-06,get_spea_fitness
01:07:46,5.1e-05,fill domination containers
01:07:46,0.0001521,pareto front sorting
01:07:46,6.5e-06,starting 'fast non-dom sort
01:07:46,6.4e-06,fill domination containers
01:07:46,0.0001328,finding first front
01:07:46,9.8e-06,sorting remaining fronts
01:07:46,0.0004746,ParetoObjectives::get_nsga2_pareto_dominance() for 25 population members
01:07:46,8.4e-06,ParetoObjectives::update() for  25 population members
01:07:46,6.6e-06,preparing fast-lookup containers
01:07:46,0.0001117,checking for duplicate solutions
01:07:46,5.93e-05,calculating fitness
01:07:46,6.7e-06,get_spea_fitness
01:07:46,4.89e-05,fill domination containers
01:07:46,0.0002472,pareto front sorting
01:07:46,1.26e-05,starting 'fast non-dom sort
01:07:46,1.66e-05,fill domination containers
01:07:46,0.0002652,finding first front
01:07:46,0.0001124,sorting remaining fronts
01:07:46,0.002773,saved decision variable population of size 25 X 2 to 'fon.archive.dv_pop.csv'
01:07:46,0.0018239,saved generation-specific decision variable population of size 25 X 2 to 'fon.0.archive.dv_pop.csv'
01:07:46,0.0016705,saved observation population of size 25 X 4 to 'fon.archive.obs_pop.csv'
01:07:46,0.0016409,saved generation-specific observation population of size 25 X 4 to 'fon.0.archive.obs_pop.csv'
01:07:46,0.0001209,number of initial feasible solutions: 25
01:07:46,1.46e-05,initialization complete
