generation,member,obj1,obj2,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=8_member=386_pso,0.986693,0.00697943,1,1e+30,0.435221,0.435221,1,-999
0,gen=16_member=801_pso,0.0119111,0.972147,1,1e+30,0.458792,0.458792,1,-999
0,gen=20_member=979_pso,0.955795,0.0697267,1,0.164622,0.448856,0.448856,1,-999
0,gen=18_member=880_pso,0.345315,0.84469,1,0.152094,0.476295,0.476295,1,-999
0,gen=10_member=501_pso,0.925662,0.156318,1,0.141594,0.464554,0.464554,1,-999
0,gen=14_member=666_pso,0.492966,0.751159,1,0.140953,0.477236,0.477236,1,-999
0,gen=16_member=805_pso,0.897592,0.214307,1,0.126673,0.472609,0.472609,1,-999
0,gen=5_member=244_pso,0.935982,0.115656,1,0.120629,0.459161,0.459161,1,-999
0,gen=7_member=312_pso,0.391238,0.819217,1,0.112307,0.472397,0.472397,1,-999
0,gen=18_member=888_pso,0.606314,0.657219,1,0.110091,0.476733,0.476733,1,-999
0,gen=10_member=474_pso,0.438636,0.786076,1,0.107224,0.473888,0.473888,1,-999
0,gen=14_member=692_pso,0.0741796,0.948866,1,0.101541,0.473223,0.473223,1,-999
0,gen=14_member=665_pso,0.81074,0.408195,1,0.0998004,0.480903,0.480903,1,-999
0,gen=7_member=328_pso,0.642802,0.633599,1,0.0971746,0.476044,0.476044,1,-999
0,gen=20_member=1006_pso,0.88812,0.241406,1,0.0970224,0.471869,0.471869,1,-999
0,gen=17_member=848_pso,0.74921,0.493982,1,0.0969955,0.48318,0.48318,1,-999
0,gen=6_member=306_pso,0.123852,0.931358,1,0.0918645,0.475144,0.475144,1,-999
0,gen=10_member=504_pso,0.289876,0.865651,1,0.0896109,0.473599,0.473599,1,-999
0,gen=13_member=645_pso,0.0256314,0.9674,1,0.0880001,0.461868,0.461868,1,-999
0,gen=20_member=984_pso,0.563369,0.695405,1,0.0869848,0.476044,0.476044,1,-999
0,gen=7_member=309_pso,0.769843,0.476276,1,0.0865719,0.480903,0.480903,1,-999
0,gen=16_member=784_pso,0.581804,0.67946,1,0.0836199,0.476254,0.476254,1,-999
0,gen=14_member=664_pso,0.854122,0.32176,1,0.0827149,0.479099,0.479099,1,-999
0,gen=10_member=490_pso,0.870371,0.280998,1,0.0816442,0.476164,0.476164,1,-999
0,gen=13_member=609_pso,0.535868,0.717931,1,0.0809512,0.47198,0.47198,1,-999
0,gen=20_member=988_pso,0.653537,0.610187,1,0.0804153,0.476254,0.476254,1,-999
0,gen=9_member=415_pso,0.163329,0.91707,1,0.0794355,0.477407,0.477407,1,-999
0,gen=17_member=842_pso,0.836413,0.348844,1,0.0787472,0.481726,0.481726,1,-999
0,gen=18_member=885_pso,0.519335,0.729937,1,0.0784383,0.474155,0.474155,1,-999
0,gen=14_member=707_pso,0.67495,0.587816,1,0.0762385,0.480789,0.480789,1,-999
0,gen=19_member=938_pso,0.691609,0.574301,1,0.0759751,0.48151,0.48151,1,-999
0,gen=19_member=951_pso,0.254264,0.884911,1,0.075441,0.476996,0.476996,1,-999
0,gen=15_member=752_pso,0.725137,0.525628,1,0.0731669,0.480789,0.480789,1,-999
0,gen=16_member=802_pso,0.203188,0.902284,1,0.0725012,0.47856,0.47856,1,-999
0,gen=17_member=852_pso,0.231475,0.891276,1,0.0703971,0.482424,0.482424,1,-999
0,gen=13_member=630_pso,0.711778,0.550952,1,0.0691423,0.48006,0.48006,1,-999
0,gen=17_member=841_pso,0.105084,0.948065,1,0.0690969,0.477046,0.477046,1,-999
0,gen=16_member=773_pso,0.413247,0.803557,1,0.0676503,0.469675,0.469675,1,-999
0,gen=10_member=482_pso,0.787194,0.435632,1,0.0654323,0.481745,0.481745,1,-999
0,gen=15_member=757_pso,0.78523,0.44609,1,0.0599105,0.479439,0.479439,1,-999
0,gen=14_member=659_pso,0.863234,0.295566,1,0.0589031,0.478876,0.478876,1,-999
0,gen=4_member=161_pso,0.288517,0.874942,1,0.0564883,0.473134,0.473134,1,-999
0,gen=18_member=889_pso,0.180878,0.911154,1,0.0562108,0.479776,0.479776,1,-999
0,gen=16_member=761_pso,0.824824,0.376566,1,0.0553114,0.480768,0.480768,1,-999
0,gen=9_member=419_pso,0.429744,0.79205,1,0.0441575,0.474155,0.474155,1,-999
0,gen=6_member=259_pso,0.827629,0.371533,1,0.0406121,0.47987,0.47987,1,-999
0,gen=11_member=547_pso,0.719343,0.535027,1,0.0399433,0.481354,0.481354,1,-999
