real_name,obj1,obj2,obj1_sd,obj2_sd
gen=22_member=50_pso,0.939091,0.101808,0,0
gen=27_member=188_pso,0.732535,0.516073,0,0
gen=27_member=190_pso,0.967308,0.0265127,0,0
gen=29_member=261_pso,0.790866,0.431986,0,0
gen=31_member=322_pso,0.0365185,0.987814,0,0
gen=32_member=350_pso,0.623703,0.640494,0,0
gen=34_member=395_pso,0.180016,0.921471,0,0
gen=34_member=396_pso,0.656521,0.609247,0,0
gen=34_member=397_pso,0.561205,0.697262,0,0
gen=35_member=424_pso,0.635252,0.629524,0,0
gen=35_member=442_pso,0.986163,0.00800453,0,0
gen=37_member=484_pso,0.521036,0.72875,0,0
gen=37_member=491_pso,0.515085,0.734107,0,0
gen=37_member=509_pso,0.709249,0.546171,0,0
gen=38_member=521_pso,0.854134,0.31435,0,0
gen=38_member=530_pso,0.689541,0.580189,0,0
gen=38_member=534_pso,0.101863,0.987046,0,0
gen=38_member=535_pso,0.912998,0.203793,0,0
gen=38_member=539_pso,0.313446,0.857333,0,0
gen=39_member=549_pso,0.939724,0.186186,0,0
gen=39_member=555_pso,0.851287,0.318767,0,0
gen=39_member=559_pso,0.581842,0.679263,0,0
gen=39_member=561_pso,0.590572,0.672058,0,0
gen=39_member=563_pso,0.274113,0.879321,0,0
gen=40_member=571_pso,0.653401,0.612689,0,0
gen=40_member=572_pso,0.94156,0.166133,0,0
gen=40_member=583_pso,0.395244,0.820956,0,0
gen=40_member=585_pso,0.973304,0.00927499,0,0
gen=40_member=590_pso,0.455213,0.774651,0,0
gen=40_member=596_pso,0.0742469,0.952252,0,0
