real_name,x1,x2
gen=35_member=442_pso,-0.796487,-0.714029
gen=31_member=322_pso,0.892215,0.652913
gen=29_member=261_pso,-0.139226,-0.214034
gen=38_member=535_pso,-0.271959,-0.510783
gen=34_member=395_pso,0.531837,0.297533
gen=22_member=50_pso,-0.463896,-0.487516
gen=40_member=583_pso,0.117885,0.312457
gen=40_member=596_pso,0.595341,0.452831
gen=40_member=590_pso,0.152133,0.159965
gen=39_member=563_pso,0.407404,0.226962
gen=27_member=188_pso,-0.0921928,-0.117445
gen=38_member=539_pso,0.338448,0.217045
gen=39_member=555_pso,-0.264855,-0.273212
gen=38_member=521_pso,-0.301171,-0.246016
gen=27_member=190_pso,-0.644093,-0.55578
gen=38_member=530_pso,-0.134384,0.0276984
gen=37_member=491_pso,0.0774441,0.134999
gen=34_member=397_pso,0.0469768,0.08425
gen=37_member=509_pso,-0.0670726,-0.0903474
gen=32_member=350_pso,0.0139876,0.00215109
gen=37_member=484_pso,0.110936,0.0900889
gen=39_member=561_pso,0.0601851,0.0182772
gen=34_member=396_pso,0.0166703,-0.0622607
gen=35_member=424_pso,-0.0220197,0.01651
gen=39_member=559_pso,0.0545808,0.0391954
gen=40_member=571_pso,-0.0601674,0.0209011
gen=40_member=585_pso,-0.637686,-0.640032
