real_name,obj1,obj2,obj1_sd,obj2_sd
gen=58_member=563_pso,0.984578,0.00186701,0,0
gen=54_member=430_pso,0.0060915,0.97568,0,0
gen=52_member=373_pso,0.13103,0.933284,0,0
gen=59_member=594_pso,0.284217,0.870503,0,0
gen=57_member=542_pso,0.854795,0.312279,0,0
gen=52_member=395_pso,0.360033,0.834154,0,0
gen=59_member=586_pso,0.939764,0.0998596,0,0
gen=59_member=585_pso,0.905416,0.193947,0,0
gen=53_member=425_pso,0.762303,0.474609,0,0
gen=53_member=426_pso,0.813695,0.390929,0,0
gen=59_member=607_pso,0.025833,0.968917,0,0
gen=53_member=424_pso,0.536256,0.717053,0,0
gen=57_member=527_pso,0.429535,0.791173,0,0
gen=58_member=576_pso,0.97139,0.0169659,0,0
gen=57_member=536_pso,0.587296,0.675112,0,0
gen=50_member=332_pso,0.613032,0.65091,0,0
gen=53_member=422_pso,0.913471,0.172866,0,0
gen=59_member=592_pso,0.830487,0.362855,0,0
gen=55_member=481_pso,0.502216,0.743954,0,0
gen=51_member=345_pso,0.709838,0.545336,0,0
gen=52_member=387_pso,0.451516,0.777215,0,0
gen=59_member=608_pso,0.482635,0.756963,0,0
gen=59_member=609_pso,0.653706,0.60992,0,0
gen=59_member=598_pso,0.739477,0.512494,0,0
gen=58_member=550_pso,0.679482,0.58885,0,0
gen=47_member=249_pso,0.743409,0.501099,0,0
gen=51_member=367_pso,0.65441,0.609303,0,0
gen=50_member=327_pso,0.69854,0.559627,0,0
gen=57_member=546_pso,0.689641,0.570072,0,0
gen=55_member=472_pso,0.693271,0.566026,0,0
