real_name,x1,x2
gen=47_member=249_pso,-0.126949,-0.108138
gen=50_member=327_pso,-0.0489889,-0.0850022
gen=50_member=332_pso,0.0295235,0.00689669
gen=51_member=345_pso,-0.0707867,-0.0880007
gen=51_member=367_pso,-0.0322058,-0.0111679
gen=52_member=373_pso,0.531481,0.376044
gen=52_member=387_pso,0.146211,0.172323
gen=52_member=395_pso,0.300157,0.177266
gen=53_member=422_pso,-0.39606,-0.402084
gen=53_member=424_pso,0.0772755,0.0974065
gen=53_member=425_pso,-0.161028,-0.119391
gen=53_member=426_pso,-0.195279,-0.223523
gen=54_member=430_pso,0.635093,0.676707
gen=55_member=472_pso,-0.0419169,-0.0807733
gen=55_member=481_pso,0.151955,0.0830907
gen=57_member=527_pso,0.195775,0.159527
gen=57_member=536_pso,0.0654363,0.0191515
gen=57_member=542_pso,-0.295154,-0.254706
gen=57_member=546_pso,-0.0426952,-0.0725237
gen=58_member=550_pso,-0.112693,0.0246511
gen=58_member=563_pso,-0.731666,-0.742682
gen=58_member=576_pso,-0.668283,-0.58219
gen=59_member=585_pso,-0.379026,-0.37852
gen=59_member=586_pso,-0.489763,-0.466345
gen=59_member=592_pso,-0.193943,-0.274186
gen=59_member=594_pso,0.359423,0.245053
gen=59_member=598_pso,-0.0506906,-0.17085
gen=59_member=607_pso,0.55018,0.667781
gen=59_member=608_pso,0.156986,0.110136
gen=59_member=609_pso,-0.0259883,-0.0161068
