generation,member,obj1,obj2,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=47_member=249_pso,0.743409,0.501099,1,0.0622317,0.4803,0.4803,1,-999
0,gen=50_member=327_pso,0.69854,0.559627,1,0.0381776,0.484865,0.484865,1,-999
0,gen=50_member=332_pso,0.613032,0.65091,1,0.134815,0.475887,0.475887,1,-999
0,gen=51_member=345_pso,0.709838,0.545336,1,0.0902376,0.487079,0.487079,1,-999
0,gen=51_member=367_pso,0.65441,0.609303,1,0.0479797,0.485748,0.485748,1,-999
0,gen=52_member=373_pso,0.13103,0.933284,1,0.365125,0.429073,0.429073,1,-999
0,gen=52_member=387_pso,0.451516,0.777215,1,0.0893974,0.474438,0.474438,1,-999
0,gen=52_member=395_pso,0.360033,0.834154,1,0.229976,0.461174,0.461174,1,-999
0,gen=53_member=422_pso,0.913471,0.172866,1,0.131721,0.457625,0.457625,1,-999
0,gen=53_member=424_pso,0.536256,0.717053,1,0.157644,0.475302,0.475302,1,-999
0,gen=53_member=425_pso,0.762303,0.474609,1,0.184963,0.474772,0.474772,1,-999
0,gen=53_member=426_pso,0.813695,0.390929,1,0.184443,0.46676,0.46676,1,-999
0,gen=54_member=430_pso,0.0060915,0.97568,1,1e+30,0.406191,0.406191,1,-999
0,gen=55_member=472_pso,0.693271,0.566026,1,0.0198204,0.48587,0.48587,1,-999
0,gen=55_member=481_pso,0.502216,0.743954,1,0.0957824,0.474059,0.474059,1,-999
0,gen=57_member=527_pso,0.429535,0.791173,1,0.151964,0.469498,0.469498,1,-999
0,gen=57_member=536_pso,0.587296,0.675112,1,0.146387,0.474059,0.474059,1,-999
0,gen=57_member=542_pso,0.854795,0.312279,1,0.250026,0.457283,0.457283,1,-999
0,gen=57_member=546_pso,0.689641,0.570072,1,0.0375298,0.487157,0.487157,1,-999
0,gen=58_member=550_pso,0.679482,0.58885,1,0.0762915,0.491428,0.491428,1,-999
0,gen=58_member=563_pso,0.984578,0.00186701,1,1e+30,0.428,0.428,1,-999
0,gen=58_member=576_pso,0.97139,0.0169659,1,0.146427,0.4315,0.4315,1,-999
0,gen=59_member=585_pso,0.905416,0.193947,1,0.203128,0.456855,0.456855,1,-999
0,gen=59_member=586_pso,0.939764,0.0998596,1,0.219284,0.448675,0.448675,1,-999
0,gen=59_member=592_pso,0.830487,0.362855,1,0.122769,0.45974,0.45974,1,-999
0,gen=59_member=594_pso,0.284217,0.870503,1,0.335834,0.448711,0.448711,1,-999
0,gen=59_member=598_pso,0.739477,0.512494,1,0.0797366,0.482925,0.482925,1,-999
0,gen=59_member=607_pso,0.025833,0.968917,1,0.171221,0.409652,0.409652,1,-999
0,gen=59_member=608_pso,0.482635,0.756963,1,0.0859698,0.468853,0.468853,1,-999
0,gen=59_member=609_pso,0.653706,0.60992,1,0.0850136,0.485651,0.485651,1,-999
