generation,member,obj1,obj2,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=35_member=442_pso,0.986163,0.00800453,1,1e+30,0.452691,0.452691,1,-999
0,gen=31_member=322_pso,0.0365185,0.987814,1,1e+30,0.407105,0.407105,1,-999
0,gen=34_member=395_pso,0.180016,0.921471,1,0.205745,0.435081,0.435081,1,-999
0,gen=38_member=539_pso,0.313446,0.857333,1,0.136574,0.455043,0.455043,1,-999
0,gen=11_member=331_pso,0.443821,0.781957,1,0.154446,0.473273,0.473273,1,-999
0,gen=20_member=601_pso,0.0672193,0.975269,1,0.155177,0.412657,0.412657,1,-999
0,gen=39_member=563_pso,0.274113,0.879321,1,0.205965,0.448821,0.448821,1,-999
0,gen=29_member=261_pso,0.790866,0.431986,1,0.187148,0.467435,0.467435,1,-999
0,gen=17_member=511_pso,0.846996,0.338678,1,0.179177,0.46508,0.46508,1,-999
0,gen=27_member=188_pso,0.732535,0.516073,1,0.0804997,0.48121,0.48121,1,-999
0,gen=17_member=504_pso,0.786437,0.459565,1,0.120511,0.468577,0.468577,1,-999
0,gen=10_member=290_pso,0.895356,0.262034,1,0.143205,0.478242,0.478242,1,-999
0,gen=14_member=411_pso,0.476968,0.761126,1,0.110936,0.481433,0.481433,1,-999
0,gen=27_member=190_pso,0.967308,0.0265127,1,0.11148,0.457579,0.457579,1,-999
0,gen=22_member=50_pso,0.939091,0.101808,1,0.108464,0.474998,0.474998,1,-999
0,gen=5_member=149_pso,0.957058,0.0872045,1,0.10656,0.470669,0.470669,1,-999
0,gen=38_member=521_pso,0.854134,0.31435,1,0.104308,0.464842,0.464842,1,-999
0,gen=16_member=479_pso,0.935249,0.170977,1,0.0995008,0.476324,0.476324,1,-999
0,gen=34_member=397_pso,0.561205,0.697262,1,0.0819245,0.487558,0.487558,1,-999
0,gen=37_member=509_pso,0.709249,0.546171,1,0.0264826,0.48625,0.48625,1,-999
0,gen=37_member=491_pso,0.515085,0.734107,1,0.0794479,0.481508,0.481508,1,-999
0,gen=20_member=584_pso,0.897035,0.2183,1,0.0780186,0.473846,0.473846,1,-999
0,gen=32_member=350_pso,0.623703,0.640494,1,0.0333934,0.489285,0.489285,1,-999
0,gen=38_member=535_pso,0.912998,0.203793,1,0.0636778,0.470669,0.470669,1,-999
0,gen=7_member=209_pso,0.591928,0.670637,1,0.0452347,0.485501,0.485501,1,-999
0,gen=16_member=483_pso,0.682845,0.58696,1,0.0644277,0.488141,0.488141,1,-999
0,gen=15_member=436_pso,0.53914,0.715475,1,0.0464708,0.483721,0.483721,1,-999
0,gen=34_member=396_pso,0.656521,0.609247,1,0.0527462,0.48924,0.48924,1,-999
0,gen=20_member=577_pso,0.930582,0.183823,2,1e+30,0.47615,0.47615,1,-999
0,gen=39_member=559_pso,0.581842,0.679263,1,0.0566476,0.485622,0.485622,1,-999
0,gen=17_member=491_pso,0.7004,0.562456,2,1e+30,0.484462,0.484462,1,-999
0,gen=38_member=530_pso,0.689541,0.580189,1,0.0444235,0.488848,0.488848,1,-999
0,gen=13_member=386_pso,0.648354,0.62683,1,0.0362933,0.489536,0.489536,1,-999
0,gen=19_member=565_pso,0.530383,0.722301,1,0.0279651,0.483773,0.483773,1,-999
0,gen=39_member=555_pso,0.851287,0.318767,1,0.0323458,0.464034,0.464034,1,-999
0,gen=35_member=424_pso,0.635252,0.629524,1,0.0283778,0.492407,0.492407,1,-999
0,gen=37_member=484_pso,0.521036,0.72875,1,0.0281585,0.48114,0.48114,1,-999
0,gen=40_member=571_pso,0.653401,0.612689,1,0.0242653,0.490032,0.490032,1,-999
0,gen=19_member=549_pso,0.633186,0.638985,1,0.0233574,0.490725,0.490725,1,-999
0,gen=39_member=561_pso,0.590572,0.672058,1,0.0194246,0.485039,0.485039,1,-999
0,gen=47_member=249_pso,0.743409,0.501099,1,0.114433,0.479884,0.479884,1,-999
0,gen=50_member=327_pso,0.69854,0.559627,1,0.055472,1.48426,1.48426,1,-999
0,gen=50_member=332_pso,0.613032,0.65091,1,0.064224,0.489536,0.489536,1,-999
0,gen=51_member=345_pso,0.709838,0.545336,1,0.055239,0.486492,0.486492,1,-999
0,gen=51_member=367_pso,0.65441,0.609303,1,0.00679837,0.489292,0.489292,1,-999
0,gen=52_member=373_pso,0.13103,0.933284,1,0.173684,0.42599,0.42599,1,-999
0,gen=52_member=387_pso,0.451516,0.777215,1,0.0561649,0.474566,0.474566,1,-999
0,gen=52_member=395_pso,0.360033,0.834154,1,0.214217,0.456113,0.456113,1,-999
0,gen=53_member=422_pso,0.913471,0.172866,1,0.0569231,1.47707,1.47707,1,-999
0,gen=53_member=424_pso,0.536256,0.717053,1,0.016188,0.482968,0.482968,1,-999
