real_name,x1,x2
gen=0_training=0,0.191948,0.847301
gen=0_training=1,2.7255,-0.688717
gen=0_training=2,-3.17504,2.72008
gen=0_training=3,-3.68789,-3.94067
gen=0_training=4,-0.433257,-2.97873
gen=0_training=5,2.31042,-2.07353
gen=0_training=6,3.40987,-3.57345
gen=0_training=7,-3.42421,-1.13668
gen=0_training=8,2.18948,-3.1102
gen=0_training=9,1.5945,-1.52971
gen=0_training=10,3.306,-0.233625
gen=0_training=11,2.41953,0.255818
gen=0_training=12,-1.05089,-2.58417
gen=0_training=13,-0.617681,1.31495
gen=0_training=14,1.93563,-0.617707
gen=0_training=15,-3.56288,1.74132
gen=0_training=16,-0.913403,-0.869876
gen=0_training=17,-1.39132,0.620875
gen=0_training=18,-2.39671,-3.31604
gen=0_training=19,-3.33504,-0.12751
gen=0_training=20,-2.08481,-1.04394
gen=0_training=21,1.13041,-2.36224
gen=0_training=22,0.125628,2.13701
gen=0_training=23,-3.03071,3.44545
gen=0_training=24,-3.94007,3.22634
gen=0_training=25,0.574786,0.150857
gen=0_training=26,2.63923,2.93641
gen=0_training=27,-2.62382,1.50664
gen=0_training=28,-1.94681,3.88311
gen=0_training=29,1.80874,0.739897
gen=0_training=30,0.987284,1.19305
gen=0_training=31,0.402278,-2.44452
gen=0_training=32,-0.0870288,3.08877
gen=0_training=33,3.76747,-1.80629
gen=0_training=34,-0.261382,-0.383293
gen=0_training=35,-2.74141,0.431166
gen=0_training=36,-1.57066,1.93953
gen=0_training=37,-0.702104,2.66363
gen=0_training=38,3.02549,-1.40772
gen=0_training=39,3.60321,1.8119
gen=0_training=40,3.86958,-2.72453
gen=0_training=41,-1.73091,-3.73299
gen=0_training=42,0.897207,-3.42539
gen=0_training=43,-1.88603,-2.19903
gen=0_training=44,1.72934,2.44354
gen=0_training=45,-2.44671,2.38509
gen=0_training=46,1.43182,3.59757
gen=0_training=47,3.0814,0.976879
gen=0_training=48,0.647432,-1.74226
gen=0_training=49,-1.19604,3.79079
