real_name,obj1,obj2,obj1_sd,obj2_sd
gen=0_training=16,0.993982,0.0667219,0,0
gen=0_training=0,0.248018,0.960224,0,0
gen=0_training=34,0.880799,0.261789,0,0
gen=0_training=25,0.278861,0.907389,0,0
gen=4_member=161_pso,0.288517,0.874942,0,0
gen=5_member=244_pso,0.935982,0.115656,0,0
gen=6_member=259_pso,0.827629,0.371533,0,0
gen=6_member=306_pso,0.123852,0.931358,0,0
gen=7_member=309_pso,0.769843,0.476276,0,0
gen=7_member=312_pso,0.391238,0.819217,0,0
gen=7_member=328_pso,0.642802,0.633599,0,0
gen=8_member=359_pso,0.993678,0.0617067,0,0
gen=8_member=386_pso,0.986693,0.00697943,0,0
gen=9_member=415_pso,0.163329,0.91707,0,0
gen=9_member=419_pso,0.429744,0.79205,0,0
gen=10_member=474_pso,0.438636,0.786076,0,0
gen=10_member=482_pso,0.787194,0.435632,0,0
gen=10_member=490_pso,0.870371,0.280998,0,0
gen=10_member=501_pso,0.925662,0.156318,0,0
gen=10_member=504_pso,0.289876,0.865651,0,0
gen=11_member=547_pso,0.719343,0.535027,0,0
gen=13_member=609_pso,0.535868,0.717931,0,0
gen=13_member=630_pso,0.711778,0.550952,0,0
gen=13_member=645_pso,0.0256314,0.9674,0,0
gen=14_member=659_pso,0.863234,0.295566,0,0
gen=14_member=664_pso,0.854122,0.32176,0,0
gen=14_member=665_pso,0.81074,0.408195,0,0
gen=14_member=666_pso,0.492966,0.751159,0,0
gen=14_member=692_pso,0.0741796,0.948866,0,0
gen=14_member=707_pso,0.67495,0.587816,0,0
gen=15_member=752_pso,0.725137,0.525628,0,0
gen=15_member=757_pso,0.78523,0.44609,0,0
gen=16_member=760_pso,0.0837185,0.953778,0,0
gen=16_member=761_pso,0.824824,0.376566,0,0
gen=16_member=773_pso,0.413247,0.803557,0,0
gen=16_member=784_pso,0.581804,0.67946,0,0
gen=16_member=801_pso,0.0119111,0.972147,0,0
gen=16_member=802_pso,0.203188,0.902284,0,0
gen=16_member=805_pso,0.897592,0.214307,0,0
gen=17_member=841_pso,0.105084,0.948065,0,0
gen=17_member=842_pso,0.836413,0.348844,0,0
gen=17_member=844_pso,0.31731,0.868815,0,0
gen=17_member=848_pso,0.74921,0.493982,0,0
gen=17_member=852_pso,0.231475,0.891276,0,0
gen=18_member=880_pso,0.345315,0.84469,0,0
gen=18_member=885_pso,0.519335,0.729937,0,0
gen=18_member=888_pso,0.606314,0.657219,0,0
gen=18_member=889_pso,0.180878,0.911154,0,0
gen=19_member=938_pso,0.691609,0.574301,0,0
gen=19_member=951_pso,0.254264,0.884911,0,0
gen=20_member=979_pso,0.955795,0.0697267,0,0
gen=20_member=984_pso,0.563369,0.695405,0,0
gen=20_member=988_pso,0.653537,0.610187,0,0
gen=20_member=1006_pso,0.88812,0.241406,0,0
