real_name,x1,x2
gen=18_member=340_pso,-0.427483,0.986545
gen=18_member=341_pso,-1.45139,-1.64801
gen=18_member=342_pso,-0.474523,-0.0548305
gen=18_member=343_pso,0.388415,-0.91859
gen=18_member=344_pso,-1.63712,-0.0356919
gen=18_member=345_pso,-1.20442,-0.785728
gen=18_member=346_pso,-0.400772,-0.137902
gen=18_member=347_pso,-0.824589,-0.28139
gen=18_member=348_pso,-1.05584,-1.40658
gen=18_member=349_pso,0.261034,-1.36314
gen=18_member=350_pso,0.437696,-0.54104
gen=18_member=351_pso,-1.08186,0.340899
gen=18_member=352_pso,-0.208777,-1.05046
gen=18_member=353_pso,-0.247313,0.294117
gen=18_member=354_pso,-1.46573,0.411652
gen=18_member=355_pso,-0.610263,-0.902268
gen=18_member=356_pso,0.658212,-0.822985
gen=18_member=357_pso,-0.359992,-0.341403
gen=18_member=358_pso,-0.00714114,-0.916939
gen=18_member=359_pso,-0.374954,-1.04811
