real_name,obj1,obj2
gen=6_member=100_pso,-8.44995,3.65762
gen=6_member=101_pso,-3.85453,4.20868
gen=6_member=102_pso,-7.1505,6.46016
gen=6_member=103_pso,-6.22041,-1.80948
gen=6_member=104_pso,-9.5774,0.437328
gen=6_member=105_pso,-6.84967,3.22706
gen=6_member=106_pso,-4.51286,-4.46524
gen=6_member=107_pso,-9.05102,0.402947
gen=6_member=108_pso,-5.79848,4.11652
gen=6_member=109_pso,-7.82626,-1.55418
gen=6_member=110_pso,-5.48795,-1.64155
gen=6_member=111_pso,-6.15136,8.9952
gen=6_member=112_pso,-6.80412,1.44558
gen=6_member=113_pso,-7.28909,-1.77662
gen=6_member=114_pso,-5.91555,7.09341
gen=6_member=115_pso,-7.51899,-4.85155
gen=6_member=116_pso,-5.40236,4.9368
gen=6_member=117_pso,-5.94613,5.70815
gen=6_member=118_pso,-6.86354,0.0707622
gen=6_member=119_pso,-3.45318,4.02477
