real_name,obj1,obj2
gen=6_member=104_pso,-9.5774,0.437328
gen=1_member=18_pso,-6.33252,-6.20334
gen=1_member=1_pso,-7.69602,-3.61325
gen=3_member=50_pso,-7.60083,-5.88521
gen=8_member=158_pso,-8.72054,-0.422795
gen=5_member=84_pso,-9.51804,0.387588
gen=1_member=10_pso,-7.27546,-5.95452
gen=5_member=92_pso,-8.16388,-3.15641
gen=7_member=131_pso,-8.25532,-1.72167
gen=7_member=136_pso,-8.21439,-2.98467
gen=8_member=159_pso,-8.56838,-1.24243
gen=8_member=149_pso,-8.6205,-0.482197
gen=8_member=145_pso,-8.47937,-1.40143
gen=7_member=125_pso,-8.34995,-1.64224
gen=4_member=66_pso,-7.34526,-5.9411
gen=5_member=88_pso,-8.19866,-2.98486
