time,elapsed_seconds,message
14:50:02,9.15e-05,PEST++ performance logger started
14:50:02,0.0003702,starting to process control file
14:50:02,0.0063712,finished processing control file
14:50:02,0.0081142,initializing MOEA process
14:50:02,0.0001609,using 'nsga2' env selector
14:50:02,3.37e-05,using binary tournament mating pool selector
14:50:02,2.54e-05,saving generation specific populations and archives every nth generation 1
14:50:02,3.5e-05,'opt_dec_var_groups' passed, using 2 adjustable parameters as decision variables
14:50:02,3.19e-05,number of decision variables:  2
14:50:02,2.15e-05,max run fail:  3
14:50:02,2.08e-05,'opt_chance_points' = SINGLE, evaluating chance at representative point
14:50:02,3.19e-05,initializing constraints
14:50:02,0.0002466,using particle swarm generator
14:50:02,0.0007907,processing dv population file starter.dv_pop.csv
14:50:02,2.92e-05,loading dv population from csv file starter.dv_pop.csv
14:50:02,0.007548,dv population with 20 members read from 'starter.dv_pop.csv'

14:50:02,4.06e-05,checking for denormal values in dv population
14:50:02,0.001497, saved initial dv population to  kur.0.dv_pop.csv
14:50:02,1.29e-05,running initial population
14:50:02,1.73e-05,running initial population of size 20
14:50:02,0.0035064,running population of size  20
14:50:02,1.66e-05,queuing 20 runs
14:50:02,0.0020228,making runs
14:50:13,10.2663,processing runs
14:50:13,0.0054232, saved observation population to  kur.0.obs_pop.csv
14:50:13,2.84e-05,initial population decision variable summary:
14:50:13,5.01e-05,initial population objective function summary:
14:50:13,2.73e-05,using member GEN=0_MEMBER=3 as nearest-to-mean single point
    with distance of 0.705981 from mean of decision variable population
14:50:13,0.0019738, saved initial dv population to  kur.0.dv_pop.csv
14:50:13,2.02e-05,performing initial pareto dominance sort
14:50:13,0.003763,ParetoObjectives::get_nsga2_pareto_dominance() for 20 population members
14:50:13,2.89e-05,ParetoObjectives::update() for  20 population members
14:50:13,9.5e-06,preparing fast-lookup containers
14:50:13,9.2e-05,checking for duplicate solutions
14:50:13,6.71e-05,calculating fitness
14:50:13,1.19e-05,get_spea_fitness
14:50:13,7.14e-05,fill domination containers
14:50:13,0.0001512,pareto front sorting
14:50:13,1.19e-05,starting 'fast non-dom sort
14:50:13,8.5e-06,fill domination containers
14:50:13,0.0001192,finding first front
14:50:13,1.24e-05,sorting remaining fronts
14:50:13,0.0008042,kur.0.dv_pop.csvinitialized archives with 3 nondominated members
14:50:13,1.55e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 3 population members
14:50:13,1.01e-05,ParetoObjectives::update() for  3 population members
14:50:13,8.6e-06,preparing fast-lookup containers
14:50:13,1.88e-05,checking for duplicate solutions
14:50:13,1.46e-05,calculating fitness
14:50:13,9.3e-06,get_spea_fitness
14:50:13,1.2e-05,fill domination containers
14:50:13,1.46e-05,pareto front sorting
14:50:13,8.3e-06,starting 'fast non-dom sort
14:50:13,8.1e-06,fill domination containers
14:50:13,1.15e-05,finding first front
14:50:13,8.6e-06,sorting remaining fronts
14:50:13,0.0001282,ParetoObjectives::get_nsga2_pareto_dominance() for 3 population members
14:50:13,1.23e-05,ParetoObjectives::update() for  3 population members
14:50:13,9.5e-06,preparing fast-lookup containers
14:50:13,1.6e-05,checking for duplicate solutions
14:50:13,1.33e-05,calculating fitness
14:50:13,9.3e-06,get_spea_fitness
14:50:13,1.22e-05,fill domination containers
14:50:13,1.38e-05,pareto front sorting
14:50:13,8.9e-06,starting 'fast non-dom sort
14:50:13,9.7e-06,fill domination containers
14:50:13,1.13e-05,finding first front
14:50:13,9.1e-06,sorting remaining fronts
14:50:13,0.0013811,saved decision variable population of size 3 X 2 to 'kur.archive.dv_pop.csv'
14:50:13,0.002563,saved generation-specific decision variable population of size 3 X 2 to 'kur.0.archive.dv_pop.csv'
14:50:13,0.0013883,saved observation population of size 3 X 2 to 'kur.archive.obs_pop.csv'
14:50:13,0.0014074,saved generation-specific observation population of size 3 X 2 to 'kur.0.archive.obs_pop.csv'
14:50:13,7.24e-05,number of initial feasible solutions: 3
14:50:13,1.53e-05,initialization complete
14:50:13,0.0001495,starting generation  1
14:50:13,1.16e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 20 population members
14:50:13,7.5e-06,ParetoObjectives::update() for  20 population members
14:50:13,7.1e-06,preparing fast-lookup containers
14:50:13,5.95e-05,checking for duplicate solutions
14:50:13,4.43e-05,calculating fitness
14:50:13,8.8e-06,get_spea_fitness
14:50:13,4.46e-05,fill domination containers
14:50:13,0.0001238,pareto front sorting
14:50:13,7.7e-06,starting 'fast non-dom sort
14:50:13,6e-06,fill domination containers
14:50:13,8.16e-05,finding first front
14:50:13,7.7e-06,sorting remaining fronts
14:50:13,0.0001092,generating PSO population of size 20
14:50:13,1.02e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 3 population members
14:50:13,6.6e-06,ParetoObjectives::update() for  3 population members
14:50:13,6.1e-06,preparing fast-lookup containers
14:50:13,1.17e-05,checking for duplicate solutions
14:50:13,9.7e-06,calculating fitness
14:50:13,6e-06,get_spea_fitness
14:50:13,8.5e-06,fill domination containers
14:50:13,1.02e-05,pareto front sorting
14:50:13,6e-06,starting 'fast non-dom sort
14:50:13,5.9e-06,fill domination containers
14:50:13,7.6e-06,finding first front
14:50:13,5.9e-06,sorting remaining fronts
14:50:13,0.0031262,running population of size  20
14:50:13,3.84e-05,queuing 20 runs
14:50:13,0.000993,making runs
14:50:13,0.348247,processing runs
14:50:13,0.005472,saved decision variable population of size 20 X 2 to 'kur.dv_pop.csv'
14:50:13,0.0014467,saved generation-specific decision variable population of size 20 X 2 to 'kur.1.dv_pop.csv'
14:50:13,0.0014202,saved observation population of size 20 X 2 to 'kur.obs_pop.csv'
14:50:13,0.0023666,saved generation-specific observation population of size 20 X 2 to 'kur.1.obs_pop.csv'
14:50:13,0.0014453,ParetoObjectives::update() for  40 population members
14:50:13,1.64e-05,preparing fast-lookup containers
14:50:13,0.000219,checking for duplicate solutions
14:50:13,0.0001284,calculating fitness
14:50:13,7.6e-06,get_spea_fitness
14:50:13,0.0001319,fill domination containers
14:50:13,0.0003914,pareto front sorting
14:50:13,1.28e-05,starting 'fast non-dom sort
14:50:13,7.1e-06,fill domination containers
14:50:13,0.0003178,finding first front
14:50:13,1.42e-05,sorting remaining fronts
14:50:13,7.96e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 40 population members
14:50:13,7.6e-06,ParetoObjectives::update() for  40 population members
14:50:13,5.9e-06,preparing fast-lookup containers
14:50:13,0.0001942,checking for duplicate solutions
14:50:13,0.000124,calculating fitness
14:50:13,9.6e-06,get_spea_fitness
14:50:13,0.0001189,fill domination containers
14:50:13,0.0003804,pareto front sorting
14:50:13,1.46e-05,starting 'fast non-dom sort
14:50:13,5.8e-06,fill domination containers
14:50:13,0.0003172,finding first front
14:50:13,1.41e-05,sorting remaining fronts
14:50:13,0.0002696,pareto dominance sorting combined parent-child populations of size  40
14:50:13,1.05e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 40 population members
14:50:13,7e-06,ParetoObjectives::update() for  40 population members
14:50:13,7.2e-06,preparing fast-lookup containers
14:50:13,0.0005418,checking for duplicate solutions
14:50:13,0.0002326,calculating fitness
14:50:13,5.71e-05,get_spea_fitness
14:50:13,0.0001536,fill domination containers
14:50:13,0.0004157,pareto front sorting
14:50:13,9.8e-06,starting 'fast non-dom sort
14:50:13,6.9e-06,fill domination containers
14:50:13,0.0003184,finding first front
14:50:13,8.4e-06,sorting remaining fronts
14:50:13,0.000675,updating archive
14:50:13,1.69e-05,adding 4 non-dominated members to archive
14:50:13,2.17e-05,pareto dominance sorting archive of size 7
14:50:13,7e-06,ParetoObjectives::get_nsga2_pareto_dominance() for 7 population members
14:50:13,2.39e-05,ParetoObjectives::update() for  7 population members
14:50:13,7.2e-06,preparing fast-lookup containers
14:50:13,2.49e-05,checking for duplicate solutions
14:50:13,1.92e-05,calculating fitness
14:50:13,6.6e-06,get_spea_fitness
14:50:13,1.44e-05,fill domination containers
14:50:13,2.24e-05,pareto front sorting
14:50:13,6.5e-06,starting 'fast non-dom sort
14:50:13,5.9e-06,fill domination containers
14:50:13,1.63e-05,finding first front
14:50:13,1.35e-05,sorting remaining fronts
14:50:13,0.0005414,resizing archive from 7 to 5 current non-dominated solutions
14:50:13,3.27e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 5 population members
14:50:13,1.38e-05,ParetoObjectives::update() for  5 population members
14:50:13,4.3e-05,preparing fast-lookup containers
14:50:13,4.14e-05,checking for duplicate solutions
14:50:13,2.52e-05,calculating fitness
14:50:13,1.22e-05,get_spea_fitness
14:50:13,2e-05,fill domination containers
14:50:13,7.01e-05,pareto front sorting
14:50:13,1.47e-05,starting 'fast non-dom sort
14:50:13,6.7e-06,fill domination containers
14:50:13,1.23e-05,finding first front
14:50:13,8.1e-06,sorting remaining fronts
14:50:13,0.0019405,saved decision variable population of size 5 X 2 to 'kur.archive.dv_pop.csv'
14:50:13,0.0014628,saved generation-specific decision variable population of size 5 X 2 to 'kur.1.archive.dv_pop.csv'
14:50:13,0.0013796,saved observation population of size 5 X 2 to 'kur.archive.obs_pop.csv'
14:50:13,0.0011165,saved generation-specific observation population of size 5 X 2 to 'kur.1.archive.obs_pop.csv'
14:50:13,3.58e-05,resizing current populations to  20
14:50:13,6.02e-05,generation 1 decision variable summary:
14:50:13,4.11e-05,generation 1 decision variable change summary:
14:50:13,4.69e-05,generation 1 objective function summary:
14:50:13,2.1e-05,seeking optimal trade-off point for single 'optimal' chance point runs
14:50:13,2.34e-05,using member GEN=1_MEMBER=10_PSO as single, 'optimal' point
   with distance of 1.38475 from optimal trade - off
14:50:13,4.25e-05,generation 1 objective function change summary:
14:50:13,4.94e-05,number of feasible solutions at the end of generation 1: 5
14:50:13,0.0002058,starting generation  2
14:50:13,1.67e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 20 population members
14:50:13,1.11e-05,ParetoObjectives::update() for  20 population members
14:50:13,9.4e-06,preparing fast-lookup containers
14:50:13,0.0001008,checking for duplicate solutions
14:50:13,6.24e-05,calculating fitness
14:50:13,8.7e-06,get_spea_fitness
14:50:13,5.62e-05,fill domination containers
14:50:13,0.0001722,pareto front sorting
14:50:13,9.7e-06,starting 'fast non-dom sort
14:50:13,8.8e-06,fill domination containers
14:50:13,0.0001257,finding first front
14:50:13,1.02e-05,sorting remaining fronts
14:50:13,0.0001488,generating PSO population of size 20
14:50:13,1.07e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 5 population members
14:50:13,9.1e-06,ParetoObjectives::update() for  5 population members
14:50:13,8.6e-06,preparing fast-lookup containers
14:50:13,2.38e-05,checking for duplicate solutions
14:50:13,1.63e-05,calculating fitness
14:50:13,9e-06,get_spea_fitness
14:50:13,1.45e-05,fill domination containers
14:50:13,7.2e-05,pareto front sorting
14:50:13,4.06e-05,starting 'fast non-dom sort
14:50:13,1.44e-05,fill domination containers
14:50:13,2.3e-05,finding first front
14:50:13,1.34e-05,sorting remaining fronts
14:50:13,0.0042995,running population of size  20
14:50:13,4.17e-05,queuing 20 runs
14:50:13,0.0012346,making runs
14:50:13,0.312654,processing runs
14:50:13,0.0026004,saved decision variable population of size 20 X 2 to 'kur.dv_pop.csv'
14:50:13,0.0043729,saved generation-specific decision variable population of size 20 X 2 to 'kur.2.dv_pop.csv'
14:50:13,0.0015163,saved observation population of size 20 X 2 to 'kur.obs_pop.csv'
14:50:13,0.0014806,saved generation-specific observation population of size 20 X 2 to 'kur.2.obs_pop.csv'
14:50:13,0.001426,ParetoObjectives::update() for  40 population members
14:50:13,1.54e-05,preparing fast-lookup containers
14:50:13,0.0002466,checking for duplicate solutions
14:50:13,0.0001328,calculating fitness
14:50:13,7.1e-06,get_spea_fitness
14:50:13,0.0001558,fill domination containers
14:50:13,0.000458,pareto front sorting
14:50:13,7.2e-06,starting 'fast non-dom sort
14:50:13,7.3e-06,fill domination containers
14:50:13,0.0003458,finding first front
14:50:13,8.8e-06,sorting remaining fronts
14:50:13,7.95e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 40 population members
14:50:13,7.5e-06,ParetoObjectives::update() for  40 population members
14:50:13,6.9e-06,preparing fast-lookup containers
14:50:13,0.0003335,checking for duplicate solutions
14:50:13,0.0001541,calculating fitness
14:50:13,6.1e-06,get_spea_fitness
14:50:13,0.0001086,fill domination containers
14:50:13,0.0004143,pareto front sorting
14:50:13,7.5e-06,starting 'fast non-dom sort
14:50:13,5.9e-06,fill domination containers
14:50:13,0.0003309,finding first front
14:50:13,8e-06,sorting remaining fronts
14:50:13,0.000286,pareto dominance sorting combined parent-child populations of size  40
14:50:13,8.3e-06,ParetoObjectives::get_nsga2_pareto_dominance() for 40 population members
14:50:13,6.3e-06,ParetoObjectives::update() for  40 population members
14:50:13,5.9e-06,preparing fast-lookup containers
14:50:13,0.0003404,checking for duplicate solutions
14:50:13,0.0002689,calculating fitness
14:50:13,4.56e-05,get_spea_fitness
14:50:13,0.0001795,fill domination containers
14:50:13,0.0009351,pareto front sorting
14:50:13,5.75e-05,starting 'fast non-dom sort
14:50:13,1.89e-05,fill domination containers
14:50:13,0.0005859,finding first front
14:50:13,3.21e-05,sorting remaining fronts
14:50:13,0.0006285,updating archive
14:50:13,1.69e-05,adding 3 non-dominated members to archive
14:50:13,1.99e-05,pareto dominance sorting archive of size 8
14:50:13,7.4e-06,ParetoObjectives::get_nsga2_pareto_dominance() for 8 population members
14:50:13,6.7e-06,ParetoObjectives::update() for  8 population members
14:50:13,5.7e-06,preparing fast-lookup containers
14:50:13,2.92e-05,checking for duplicate solutions
14:50:13,1.86e-05,calculating fitness
14:50:13,6e-06,get_spea_fitness
14:50:13,1.53e-05,fill domination containers
14:50:13,7.03e-05,pareto front sorting
14:50:13,7.1e-06,starting 'fast non-dom sort
14:50:13,5.9e-06,fill domination containers
14:50:13,2.09e-05,finding first front
14:50:13,8.1e-06,sorting remaining fronts
14:50:13,0.0001389,resizing archive from 8 to 6 current non-dominated solutions
14:50:13,1.16e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 6 population members
14:50:13,6.4e-06,ParetoObjectives::update() for  6 population members
14:50:13,5.6e-06,preparing fast-lookup containers
14:50:13,1.8e-05,checking for duplicate solutions
14:50:13,1.21e-05,calculating fitness
14:50:13,5.9e-06,get_spea_fitness
14:50:13,1.15e-05,fill domination containers
14:50:13,1.82e-05,pareto front sorting
14:50:13,5.9e-06,starting 'fast non-dom sort
14:50:13,5.9e-06,fill domination containers
14:50:13,1.37e-05,finding first front
14:50:13,6.6e-06,sorting remaining fronts
14:50:13,0.0018725,saved decision variable population of size 6 X 2 to 'kur.archive.dv_pop.csv'
14:50:13,0.001869,saved generation-specific decision variable population of size 6 X 2 to 'kur.2.archive.dv_pop.csv'
14:50:13,0.0013584,saved observation population of size 6 X 2 to 'kur.archive.obs_pop.csv'
14:50:13,0.0014494,saved generation-specific observation population of size 6 X 2 to 'kur.2.archive.obs_pop.csv'
14:50:13,2.66e-05,resizing current populations to  20
14:50:13,4.39e-05,generation 2 decision variable summary:
14:50:13,3.23e-05,generation 2 decision variable change summary:
14:50:13,3.38e-05,generation 2 objective function summary:
14:50:13,1.56e-05,seeking optimal trade-off point for single 'optimal' chance point runs
14:50:13,1.73e-05,using member GEN=1_MEMBER=10_PSO as single, 'optimal' point
   with distance of 1.67769 from optimal trade - off
14:50:13,6.33e-05,generation 2 objective function change summary:
14:50:13,3.75e-05,number of feasible solutions at the end of generation 2: 6
14:50:13,0.000168,starting generation  3
14:50:13,1.21e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 20 population members
14:50:13,7.5e-06,ParetoObjectives::update() for  20 population members
14:50:13,6.5e-06,preparing fast-lookup containers
14:50:13,7.5e-05,checking for duplicate solutions
14:50:13,4.2e-05,calculating fitness
14:50:13,6.9e-06,get_spea_fitness
14:50:13,3.82e-05,fill domination containers
14:50:13,0.000104,pareto front sorting
14:50:13,6.3e-06,starting 'fast non-dom sort
14:50:13,5.8e-06,fill domination containers
14:50:13,8.88e-05,finding first front
14:50:13,7.3e-06,sorting remaining fronts
14:50:13,0.0001108,generating PSO population of size 20
14:50:13,7.9e-06,ParetoObjectives::get_nsga2_pareto_dominance() for 6 population members
14:50:13,7e-06,ParetoObjectives::update() for  6 population members
14:50:13,6e-06,preparing fast-lookup containers
14:50:13,1.91e-05,checking for duplicate solutions
14:50:13,1.31e-05,calculating fitness
14:50:13,5.9e-06,get_spea_fitness
14:50:13,1.21e-05,fill domination containers
14:50:13,1.89e-05,pareto front sorting
14:50:13,5.8e-06,starting 'fast non-dom sort
14:50:13,5.7e-06,fill domination containers
14:50:13,1.41e-05,finding first front
14:50:13,6.4e-06,sorting remaining fronts
14:50:13,0.0027252,running population of size  20
14:50:13,1.34e-05,queuing 20 runs
14:50:13,0.0009486,making runs
14:50:14,0.331405,processing runs
14:50:14,0.0023819,saved decision variable population of size 20 X 2 to 'kur.dv_pop.csv'
14:50:14,0.0028168,saved generation-specific decision variable population of size 20 X 2 to 'kur.3.dv_pop.csv'
14:50:14,0.0017586,saved observation population of size 20 X 2 to 'kur.obs_pop.csv'
14:50:14,0.0016417,saved generation-specific observation population of size 20 X 2 to 'kur.3.obs_pop.csv'
14:50:14,0.0014174,ParetoObjectives::update() for  40 population members
14:50:14,1.16e-05,preparing fast-lookup containers
14:50:14,0.000253,checking for duplicate solutions
14:50:14,0.0001217,calculating fitness
14:50:14,6.8e-06,get_spea_fitness
14:50:14,0.0001084,fill domination containers
14:50:14,0.0004031,pareto front sorting
14:50:14,6.5e-06,starting 'fast non-dom sort
14:50:14,6.2e-06,fill domination containers
14:50:14,0.0003311,finding first front
14:50:14,8.9e-06,sorting remaining fronts
14:50:14,7.36e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 40 population members
14:50:14,6.8e-06,ParetoObjectives::update() for  40 population members
14:50:14,5.7e-06,preparing fast-lookup containers
14:50:14,0.000218,checking for duplicate solutions
14:50:14,0.0001187,calculating fitness
14:50:14,6e-06,get_spea_fitness
14:50:14,9.99e-05,fill domination containers
14:50:14,0.0003836,pareto front sorting
14:50:14,7.1e-06,starting 'fast non-dom sort
14:50:14,6.2e-06,fill domination containers
14:50:14,0.0003367,finding first front
14:50:14,8.3e-06,sorting remaining fronts
14:50:14,0.0002528,pareto dominance sorting combined parent-child populations of size  40
14:50:14,7.7e-06,ParetoObjectives::get_nsga2_pareto_dominance() for 40 population members
14:50:14,6.7e-06,ParetoObjectives::update() for  40 population members
14:50:14,6.3e-06,preparing fast-lookup containers
14:50:14,0.0002173,checking for duplicate solutions
14:50:14,0.0001186,calculating fitness
14:50:14,6.1e-06,get_spea_fitness
14:50:14,0.0001034,fill domination containers
14:50:14,0.0004044,pareto front sorting
14:50:14,6.3e-06,starting 'fast non-dom sort
14:50:14,6e-06,fill domination containers
14:50:14,0.0003373,finding first front
14:50:14,9.3e-06,sorting remaining fronts
14:50:14,0.0006363,updating archive
14:50:14,1.65e-05,adding 2 non-dominated members to archive
14:50:14,1.97e-05,pareto dominance sorting archive of size 8
14:50:14,7.7e-06,ParetoObjectives::get_nsga2_pareto_dominance() for 8 population members
14:50:14,6.7e-06,ParetoObjectives::update() for  8 population members
14:50:14,8.7e-06,preparing fast-lookup containers
14:50:14,2.69e-05,checking for duplicate solutions
14:50:14,1.74e-05,calculating fitness
14:50:14,5.8e-06,get_spea_fitness
14:50:14,1.52e-05,fill domination containers
14:50:14,2.75e-05,pareto front sorting
14:50:14,6.5e-06,starting 'fast non-dom sort
14:50:14,6.1e-06,fill domination containers
14:50:14,1.95e-05,finding first front
14:50:14,7.6e-06,sorting remaining fronts
14:50:14,0.0001386,resizing archive from 8 to 8 current non-dominated solutions
14:50:14,1.26e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 8 population members
14:50:14,6.8e-06,ParetoObjectives::update() for  8 population members
14:50:14,5.8e-06,preparing fast-lookup containers
14:50:14,2.23e-05,checking for duplicate solutions
14:50:14,1.63e-05,calculating fitness
14:50:14,6.6e-06,get_spea_fitness
14:50:14,1.4e-05,fill domination containers
14:50:14,2.46e-05,pareto front sorting
14:50:14,5.9e-06,starting 'fast non-dom sort
14:50:14,5.6e-06,fill domination containers
14:50:14,1.93e-05,finding first front
14:50:14,6.7e-06,sorting remaining fronts
14:50:14,0.0016922,saved decision variable population of size 8 X 2 to 'kur.archive.dv_pop.csv'
14:50:14,0.0010129,saved generation-specific decision variable population of size 8 X 2 to 'kur.3.archive.dv_pop.csv'
14:50:14,0.0010413,saved observation population of size 8 X 2 to 'kur.archive.obs_pop.csv'
14:50:14,0.0009845,saved generation-specific observation population of size 8 X 2 to 'kur.3.archive.obs_pop.csv'
14:50:14,2.47e-05,resizing current populations to  20
14:50:14,4.3e-05,generation 3 decision variable summary:
14:50:14,3.15e-05,generation 3 decision variable change summary:
14:50:14,3.27e-05,generation 3 objective function summary:
14:50:14,1.68e-05,seeking optimal trade-off point for single 'optimal' chance point runs
14:50:14,1.73e-05,using member GEN=3_MEMBER=50_PSO as single, 'optimal' point
   with distance of 1.37118 from optimal trade - off
14:50:14,3.19e-05,generation 3 objective function change summary:
