real_name,obj1,obj2
gen=20_member=380_pso,-9.02648,0.370885
gen=20_member=381_pso,-6.21285,5.00834
gen=20_member=382_pso,-8.19176,-2.11902
gen=20_member=383_pso,-6.9117,4.64054
gen=20_member=384_pso,-7.78001,-3.75525
gen=20_member=385_pso,-8.48563,-1.20772
gen=20_member=386_pso,-7.40939,1.65868
gen=20_member=387_pso,-6.52058,3.98078
gen=20_member=388_pso,-7.67731,-1.61078
gen=20_member=389_pso,-7.23249,4.61094
gen=20_member=390_pso,-8.9028,-0.0383754
gen=20_member=391_pso,-6.48903,2.8396
gen=20_member=392_pso,-7.21667,-6.43884
gen=20_member=393_pso,-8.64097,2.77226
gen=20_member=394_pso,-7.56318,-5.89353
gen=20_member=395_pso,-8.20188,-2.42958
gen=20_member=396_pso,-6.46222,-5.53085
gen=20_member=397_pso,-9.11651,0.93993
gen=20_member=398_pso,-8.22642,5.09948
gen=20_member=399_pso,-7.05793,-6.53528
