generation,member,obj1,obj2,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=0,-4.94245,12.3996,4,1e+30,19.1154,19.1154,1,-999
0,gen=0_member=1,-5.68365,-2.08145,2,1e+30,116.147,116.147,1,-999
0,gen=0_member=2,-4.28165,4.48214,5,1e+30,57.2911,57.2911,1,-999
0,gen=0_member=3,-8.63767,1.70722,1,1e+30,121.164,121.164,1,-999
0,gen=0_member=4,-3.15233,5.12819,6,1e+30,19.2587,19.2587,1,-999
0,gen=0_member=5,-5.05237,-1.67245,3,1e+30,109.148,109.148,1,-999
0,gen=0_member=6,-7.15103,6.83594,2,1e+30,41.171,41.171,1,-999
0,gen=0_member=7,-6.07377,4.89761,3,1e+30,66.2447,66.2447,1,-999
0,gen=0_member=8,-7.03626,2.83694,2,2,117.231,117.231,1,-999
0,gen=0_member=9,-5.91781,-6.1967,1,1e+30,117.097,117.097,1,-999
0,gen=0_member=10,-3.24961,3.26464,5,1.56506,32.2781,32.2781,1,-999
0,gen=0_member=11,-4.6174,3.05606,4,1e+30,88.2886,88.2886,1,-999
0,gen=0_member=12,-7.3128,0.533044,1,2,121.194,121.194,1,-999
0,gen=0_member=13,-4.88832,3.18136,4,2,81.2747,81.2747,1,-999
0,gen=0_member=14,-2.76518,3.15703,5,1e+30,19.2495,19.2495,1,-999
0,gen=0_member=15,-3.90097,10.0048,6,1e+30,19.1529,19.1529,1,-999
0,gen=0_member=16,-2.70927,13.6817,7,-999,0.0984203,0.0984203,1,-999
0,gen=0_member=17,-3.4136,5.91496,6,2,19.24,19.24,1,-999
0,gen=0_member=18,-5.27443,4.80416,3,2,66.2726,66.2726,1,-999
0,gen=0_member=19,-4.21314,3.96565,5,1.59935,57.3133,57.3133,1,-999
1,gen=1_member=0_pso,-4.29405,-5.77285,3,1e+30,299.166,299.166,1,-999
1,gen=1_member=1_pso,-7.69602,-3.61325,1,1.04164,480.189,480.189,1,-999
1,gen=1_member=2_pso,-6.7128,1.61051,3,0.863518,425.227,425.227,1,-999
1,gen=1_member=3_pso,-6.72252,5.13733,4,1e+30,236.25,236.25,1,-999
1,gen=1_member=4_pso,-7.9583,-0.05788,1,1.08108,457.198,457.198,1,-999
1,gen=1_member=5_pso,-3.78029,5.34506,9,2,135.279,135.279,1,-999
1,gen=1_member=6_pso,-4.33548,3.68318,7,-999,256.353,256.353,1,-999
1,gen=1_member=7_pso,-4.76122,3.44509,6,1.76586,273.318,273.318,1,-999
1,gen=1_member=8_pso,-4.92797,4.27042,5,0.640606,237.324,237.324,1,-999
1,gen=1_member=9_pso,-5.8132,6.07952,5,1e+30,157.249,157.249,1,-999
1,gen=1_member=10_pso,-7.27546,-5.95452,1,0.918921,481.147,481.147,1,-999
1,gen=1_member=11_pso,-7.75955,8.40058,2,1e+30,157.162,157.162,1,-999
1,gen=1_member=12_pso,-4.35873,-1.97324,4,1e+30,316.175,316.175,1,-999
1,gen=1_member=13_pso,-5.37057,5.8757,5,0.76068,185.272,185.272,1,-999
1,gen=1_member=14_pso,-3.10115,10.2689,12,-999,39.144,39.144,1,-999
1,gen=1_member=15_pso,-5.15163,1.56153,4,1.00478,381.234,381.234,1,-999
1,gen=1_member=16_pso,-4.11473,-1.4745,5,1e+30,252.173,252.173,1,-999
1,gen=1_member=17_pso,-6.0179,-1.19244,2,1.21846,425.235,425.235,1,-999
1,gen=1_member=18_pso,-6.33252,-6.20334,1,1e+30,462.15,462.15,1,-999
1,gen=1_member=19_pso,-3.36089,8.41406,11,-999,75.1889,75.1889,1,-999
1,gen=0_member=9,-5.91781,-6.1967,2,1e+30,450.154,450.154,1,-999
1,gen=0_member=3,-8.63767,1.70722,1,1e+30,443.169,443.169,1,-999
1,gen=0_member=12,-7.3128,0.533044,2,1.60283,453.228,453.228,1,-999
1,gen=0_member=6,-7.15103,6.83594,3,1e+30,157.21,157.21,1,-999
1,gen=0_member=1,-5.68365,-2.08145,3,1.43219,431.198,431.198,1,-999
