generation,member,obj1,obj2,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=9,-5.91781,-6.1967,1,1e+30,0.112704,0.112704,1,-999
0,gen=0_member=3,-8.63767,1.70722,1,1e+30,0.265231,0.265231,1,-999
0,gen=0_member=12,-7.3128,0.533044,1,2,0.265231,0.265231,1,-999
1,gen=1_member=18_pso,-6.33252,-6.20334,1,1e+30,0.202961,0.202961,1,-999
1,gen=0_member=3,-8.63767,1.70722,1,1e+30,0.135077,0.135077,1,-999
1,gen=1_member=4_pso,-7.9583,-0.05788,1,1.08108,0.179693,0.179693,1,-999
1,gen=1_member=1_pso,-7.69602,-3.61325,1,1.04164,0.202961,0.202961,1,-999
1,gen=1_member=10_pso,-7.27546,-5.95452,1,0.918921,0.228376,0.228376,1,-999
2,gen=2_member=33_pso,-8.93459,1.63758,1,1e+30,0.153456,0.153456,1,-999
2,gen=1_member=18_pso,-6.33252,-6.20334,1,1e+30,0.202961,0.202961,1,-999
2,gen=2_member=22_pso,-8.32386,-1.28673,1,0.869033,0.22677,0.22677,1,-999
2,gen=1_member=10_pso,-7.27546,-5.95452,1,0.854334,0.228376,0.228376,1,-999
2,gen=1_member=1_pso,-7.69602,-3.61325,1,0.736854,0.228376,0.228376,1,-999
2,gen=2_member=23_pso,-8.14932,-2.81015,1,0.538,0.283014,0.283014,1,-999
3,gen=2_member=33_pso,-8.93459,1.63758,1,1e+30,0.153456,0.153456,1,-999
3,gen=1_member=18_pso,-6.33252,-6.20334,1,1e+30,0.302334,0.302334,1,-999
3,gen=2_member=22_pso,-8.32386,-1.28673,1,0.869033,0.267004,0.267004,1,-999
3,gen=1_member=1_pso,-7.69602,-3.61325,1,0.541855,0.342208,0.342208,1,-999
3,gen=1_member=10_pso,-7.27546,-5.95452,1,0.527996,0.33611,0.33611,1,-999
3,gen=3_member=50_pso,-7.60083,-5.88521,1,0.46022,0.302334,0.302334,1,-999
3,gen=2_member=23_pso,-8.14932,-2.81015,1,0.322483,0.342208,0.342208,1,-999
3,gen=3_member=45_pso,-8.05711,-3.01149,1,0.276633,0.370125,0.370125,1,-999
4,gen=4_member=65_pso,-9.01588,1.13925,1,1e+30,0.165471,0.165471,1,-999
4,gen=1_member=18_pso,-6.33252,-6.20334,1,1e+30,0.328284,0.328284,1,-999
4,gen=2_member=22_pso,-8.32386,-1.28673,1,0.860813,0.267004,0.267004,1,-999
4,gen=1_member=1_pso,-7.69602,-3.61325,1,0.561418,0.342208,0.342208,1,-999
4,gen=3_member=50_pso,-7.60083,-5.88521,1,0.44775,0.428693,0.428693,1,-999
4,gen=1_member=10_pso,-7.27546,-5.95452,1,0.413129,0.428693,0.428693,1,-999
4,gen=2_member=23_pso,-8.14932,-2.81015,1,0.334306,0.342208,0.342208,1,-999
4,gen=3_member=45_pso,-8.05711,-3.01149,1,0.278308,0.370125,0.370125,1,-999
4,gen=4_member=66_pso,-7.34526,-5.9411,1,0.130695,0.442162,0.442162,1,-999
5,gen=5_member=84_pso,-9.51804,0.387588,1,1e+30,0.177893,0.177893,1,-999
5,gen=1_member=18_pso,-6.33252,-6.20334,1,1e+30,0.302334,0.302334,1,-999
5,gen=5_member=86_pso,-8.53939,-1.07738,1,0.628912,0.253957,0.253957,1,-999
5,gen=1_member=1_pso,-7.69602,-3.61325,1,0.590776,0.233975,0.233975,1,-999
5,gen=3_member=50_pso,-7.60083,-5.88521,1,0.4633,0.302334,0.302334,1,-999
5,gen=2_member=22_pso,-8.32386,-1.28673,1,0.396371,0.257964,0.257964,1,-999
5,gen=1_member=10_pso,-7.27546,-5.95452,1,0.357707,0.33611,0.33611,1,-999
5,gen=5_member=88_pso,-8.19866,-2.98486,1,0.333896,0.27007,0.27007,1,-999
5,gen=5_member=92_pso,-8.16388,-3.15641,1,0.253131,0.257964,0.257964,1,-999
5,gen=4_member=66_pso,-7.34526,-5.9411,1,0.112657,0.328284,0.328284,1,-999
6,gen=6_member=104_pso,-9.5774,0.437328,1,1e+30,0.242037,0.242037,1,-999
6,gen=1_member=18_pso,-6.33252,-6.20334,1,1e+30,0.302334,0.302334,1,-999
6,gen=5_member=86_pso,-8.53939,-1.07738,1,0.620152,0.260671,0.260671,1,-999
6,gen=1_member=1_pso,-7.69602,-3.61325,1,0.584441,0.233975,0.233975,1,-999
6,gen=5_member=84_pso,-9.51804,0.387588,1,0.547988,0.246515,0.246515,1,-999
6,gen=3_member=50_pso,-7.60083,-5.88521,1,0.458641,0.302334,0.302334,1,-999
6,gen=2_member=22_pso,-8.32386,-1.28673,1,0.392246,0.257964,0.257964,1,-999
