real_name,x1,x2
gen=0_training=0,3.76238,2.10397
gen=0_training=1,4.21597,-3.80729
gen=0_training=2,-4.02464,-0.583403
gen=0_training=3,-1.06691,0.591118
gen=0_training=4,-4.81273,-4.5289
gen=0_training=5,0.984955,1.37768
gen=0_training=6,1.41622,-0.413318
gen=0_training=7,4.64561,3.92114
gen=0_training=8,-2.422,-4.21836
gen=0_training=9,2.5917,-2.88455
gen=0_training=10,-0.699442,3.01566
gen=0_training=11,-3.20067,4.22488
gen=0_training=12,0.0102922,-1.65837
gen=0_training=13,1.60617,4.69758
gen=0_training=14,-3.634,-2.37949
gen=0_training=15,-1.97096,-1.195
gen=0_training=16,-2.92199,1.71258
gen=0_training=17,2.09091,2.78385
gen=0_training=18,3.15212,0.19553
gen=0_training=19,-0.145964,-3.49202
