real_name,obj1,obj2,obj1_sd,obj2_sd
gen=0_training=0,-4.22257,5.99531,0,0
gen=0_training=1,-3.21058,8.73769,0,0
gen=0_training=10,-5.38406,5.24624,0,0
gen=0_training=11,-3.4643,0.871496,0,0
gen=0_training=12,-7.17717,6.46719,0,0
gen=0_training=13,-3.70495,0.746582,0,0
gen=0_training=14,-4.19478,4.68325,0,0
gen=0_training=15,-6.30661,-6.98287,0,0
gen=0_training=16,-5.07948,0.0531696,0,0
gen=0_training=17,-4.98413,7.49525,0,0
gen=0_training=18,-5.31721,2.33022,0,0
gen=0_training=19,-4.97076,7.84552,0,0
gen=0_training=2,-4.43374,-0.818223,0,0
gen=0_training=3,-7.83531,-1.95066,0,0
gen=0_training=4,-2.66677,16.7411,0,0
gen=0_training=5,-7.12688,8.87687,0,0
gen=0_training=6,-7.44487,2.94433,0,0
gen=0_training=7,-2.96459,2.2463,0,0
gen=0_training=8,-3.78007,1.84667,0,0
gen=0_training=9,-4.60443,4.04293,0,0
