real_name,x1,x2
gen=20_member=580_pso,-0.902261,-0.0217546
gen=20_member=581_pso,1.66134,-0.469547
gen=20_member=582_pso,-0.429173,-1.10291
gen=20_member=583_pso,-2.01954,0.126668
gen=20_member=584_pso,-1.54321,-0.0129642
gen=20_member=585_pso,-3.10626,-0.546424
gen=20_member=586_pso,-0.791392,-0.542613
gen=20_member=587_pso,-1.43301,-1.07757
gen=20_member=588_pso,-3.55333,-0.669752
gen=20_member=589_pso,-1.39381,0.0962344
gen=20_member=590_pso,0.647404,-0.0386428
gen=20_member=591_pso,-2.12836,-0.12887
gen=20_member=592_pso,-0.830077,0.0256119
gen=20_member=593_pso,-2.89104,-0.296894
gen=20_member=594_pso,0.952938,0.251705
gen=20_member=595_pso,-0.366738,0.0625929
gen=20_member=596_pso,-1.48739,-0.316904
gen=20_member=597_pso,-2.13343,-0.797469
gen=20_member=598_pso,0.372816,-0.0153267
gen=20_member=599_pso,-1.26563,0.0218682
gen=20_member=600_pso,-1.73112,-1.41759
gen=20_member=601_pso,-0.669824,0.182309
gen=20_member=602_pso,-2.5704,-0.531288
gen=20_member=603_pso,-0.293954,0.165623
gen=20_member=604_pso,-1.39398,0.0140386
gen=20_member=605_pso,-0.800711,0.326017
gen=20_member=606_pso,-0.843033,-1.05607
gen=20_member=607_pso,-1.26727,-0.0968467
gen=20_member=608_pso,0.205782,0.628308
gen=20_member=609_pso,-0.203689,0.0621093
