real_name,obj1,obj2,obj1_sd,obj2_sd
gen=20_member=580_pso,-8.01063,-2.70043,0.0449791,1.0718
gen=20_member=581_pso,-7.1664,2.25048,0.0399212,0.421893
gen=20_member=582_pso,-7.65565,2.06555,0.0475603,1.15846
gen=20_member=583_pso,-6.87963,-7.19207,0.0594966,1.57786
gen=20_member=584_pso,-7.43107,-6.24396,0.0431066,1.03569
gen=20_member=585_pso,-5.35766,-5.97802,0.0767838,1.55157
gen=20_member=586_pso,-7.89469,-1.93642,0.050863,1.44189
gen=20_member=587_pso,-6.96928,-5.01796,0.0410964,0.795651
gen=20_member=588_pso,-4.85249,-3.33484,0.0618572,1.01595
gen=20_member=589_pso,-7.60181,-5.29778,0.0409895,0.862454
gen=20_member=590_pso,-8.11424,4.18527,0.0461326,1.28379
gen=20_member=591_pso,-6.70294,-7.99092,0.0606825,1.58754
gen=20_member=592_pso,-8.06483,-2.17223,0.0455038,1.08092
gen=20_member=593_pso,-5.67544,-6.89615,0.080481,1.80605
gen=20_member=594_pso,-7.87568,4.96867,0.0418039,0.999177
gen=20_member=595_pso,-8.27749,0.739052,0.0514862,1.45081
gen=20_member=596_pso,-7.40476,-6.41809,0.0418637,1.04949
gen=20_member=597_pso,-6.41262,-8.21968,0.0466037,0.835233
gen=20_member=598_pso,-8.24069,3.7676,0.0502635,1.51381
gen=20_member=599_pso,-7.71882,-4.80744,0.040749,0.868229
gen=20_member=600_pso,-6.37094,-5.32997,0.0420355,0.632852
gen=20_member=601_pso,-8.16063,-0.88297,0.0458129,1.06363
gen=20_member=602_pso,-6.01044,-8.05254,0.0687675,1.54182
gen=20_member=603_pso,-8.29189,1.30556,0.0507858,1.42686
gen=20_member=604_pso,-7.59245,-5.49448,0.0411916,0.918327
gen=20_member=605_pso,-8.07407,-1.33266,0.0417909,0.734135
gen=20_member=606_pso,-7.47767,-0.973887,0.0481134,1.23339
gen=20_member=607_pso,-7.69561,-5.02545,0.04153,0.968597
gen=20_member=608_pso,-8.13272,4.76657,0.0460552,1.26499
gen=20_member=609_pso,-8.30899,1.63077,0.0526108,1.54445
