generation,member,obj1,obj2,obj1_sd,obj2_sd,obj1_sd_syn,obj2_sd_syn,nsga2_front,nsga2_crowding_distance,nn_count,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_training=0,-4.22257,5.99531,0,0,0.732516,1.60107,4,0.25,1,35.2507,35.2507,1,-999
0,gen=0_training=1,-3.21058,8.73769,0,0,0,0,6,-999,0,19.169,19.169,1,-999
0,gen=0_training=10,-5.38406,5.24624,0,0,0.694444,1.14412,3,1,0,58.2398,58.2398,1,-999
0,gen=0_training=11,-3.4643,0.871496,0,0,0.732516,1.60107,4,1,0,42.2624,42.2624,1,-999
0,gen=0_training=12,-7.17717,6.46719,0,0,0.694444,1.14412,3,1,0,53.2173,53.2173,1,-999
0,gen=0_training=13,-3.70495,0.746582,0,0,0.694444,1.14412,3,1,0,47.2723,47.2723,1,-999
0,gen=0_training=14,-4.19478,4.68325,0,0,0.732516,1.60107,4,1,0,35.2171,35.2171,1,-999
0,gen=0_training=15,-6.30661,-6.98287,0,0,0.76435,2.51611,1,1,0,99.0985,99.0985,1,-999
0,gen=0_training=16,-5.07948,0.0531696,0,0,0.752782,0.940638,2,1,0,90.2373,90.2373,1,-999
0,gen=0_training=17,-4.98413,7.49525,0,0,0.732516,1.60107,4,1,0,43.2334,43.2334,1,-999
0,gen=0_training=18,-5.31721,2.33022,0,0,0.752782,0.940638,2,1,0,70.2347,70.2347,1,-999
0,gen=0_training=19,-4.97076,7.84552,0,0,1.00309,2.79961,5,1,0,35.2278,35.2278,1,-999
0,gen=0_training=2,-4.43374,-0.818223,0,0,0.752782,0.940638,2,1,0,70.2108,70.2108,1,-999
0,gen=0_training=3,-7.83531,-1.95066,0,0,0.76435,2.51611,1,1,0,105.144,105.144,1,-999
0,gen=0_training=4,-2.66677,16.7411,0,0,0,0,7,-999,0,0.0867165,0.0867165,1,-999
0,gen=0_training=5,-7.12688,8.87687,0,0,0.732516,1.60107,4,1,0,19.169,19.169,1,-999
0,gen=0_training=6,-7.44487,2.94433,0,0,0.752782,0.940638,2,1,0,78.1807,78.1807,1,-999
0,gen=0_training=7,-2.96459,2.2463,0,0,1.00309,2.79961,5,1,0,19.2297,19.2297,1,-999
0,gen=0_training=8,-3.78007,1.84667,0,0,0.694444,1.14412,3,0.25,1,42.2769,42.2769,1,-999
0,gen=0_training=9,-4.60443,4.04293,0,0,0.694444,1.14412,3,1,0,50.2507,50.2507,1,-999
1,gen=1_member=10_pso,-4.87095,-3.12554,0.0707915,1.69661,0.320424,1.69661,2,1,0,446.186,446.186,1,-999
1,gen=1_member=11_pso,-3.62194,8.17968,0.0813975,1.61108,0.705644,1.8396,6,1,0,135.23,135.23,1,-999
1,gen=1_member=12_pso,-4.79194,-2.13416,0.0539376,1.09083,0.320424,1.09083,2,0.0625,3,446.223,446.223,1,-999
1,gen=1_member=13_pso,-5.96753,9.04906,0.052135,0.996173,0.366258,0.996173,5,1,0,175.219,175.219,1,-999
1,gen=1_member=14_pso,-4.73433,-2.83086,0.055373,0.934406,0.320424,0.934406,2,0.5625,1,426.194,426.194,1,-999
1,gen=1_member=15_pso,-7.61815,4.7162,0.0414215,0.824271,0.320424,0.871305,2,1,0,425.192,425.192,1,-999
1,gen=1_member=16_pso,-5.78716,9.60471,0.0546062,1.30325,0.705644,1.8396,6,1,0,175.217,175.217,1,-999
1,gen=1_member=17_pso,-6.08486,-7.79514,0.0754107,1.8224,0.304858,1.8224,1,1,1,609.12,609.12,1,-999
1,gen=1_member=18_pso,-4.84335,-0.0912851,0.0513671,0.719729,0.810201,0.719729,3,0.111111,2,430.258,430.258,1,-999
1,gen=1_member=19_pso,-5.22639,6.64431,0.0846159,1.94659,0.366258,1.94659,5,1,0,265.232,265.232,1,-999
1,gen=1_member=20_pso,-4.08147,2.68844,0.178384,2.64643,0.385802,2.64643,4,0.25,2,245.204,245.204,1,-999
1,gen=1_member=21_pso,-7.55558,-0.9516,0.0427187,0.715464,0.320424,0.871305,2,1,0,587.197,587.197,1,-999
1,gen=1_member=22_pso,-5.30599,8.8168,0.0771035,2.03335,0.366258,2.03335,5,0.25,2,175.234,175.234,1,-999
1,gen=1_member=23_pso,-3.60255,12.5891,0.270373,3.44527,0.270373,3.44527,7,1,0,135.145,135.145,1,-999
1,gen=1_member=24_pso,-4.66803,7.08594,0.152392,2.7837,0.366258,2.7837,5,0.0625,3,212.202,212.202,1,-999
1,gen=1_member=25_pso,-4.25567,1.64982,0.0663435,1.1144,0.385802,1.1144,4,1,0,286.259,286.259,1,-999
1,gen=1_member=26_pso,-3.84448,1.78225,0.145471,2.26464,0.385802,2.26464,4,0.0625,3,245.223,245.223,1,-999
