real_name,obj1,obj2,obj1_sd,obj2_sd
gen=0_training=0,-4.22257,5.99531,0,0
gen=0_training=1,-3.21058,8.73769,0,0
gen=0_training=2,-4.43374,-0.818223,0,0
gen=0_training=3,-7.83531,-1.95066,0,0
gen=0_training=4,-2.66677,16.7411,0,0
gen=0_training=5,-7.12688,8.87687,0,0
gen=0_training=6,-7.44487,2.94433,0,0
gen=0_training=7,-2.96459,2.2463,0,0
gen=0_training=8,-3.78007,1.84667,0,0
gen=0_training=9,-4.60443,4.04293,0,0
gen=0_training=10,-5.38406,5.24624,0,0
gen=0_training=11,-3.4643,0.871496,0,0
gen=0_training=12,-7.17717,6.46719,0,0
gen=0_training=13,-3.70495,0.746582,0,0
gen=0_training=14,-4.19478,4.68325,0,0
gen=0_training=15,-6.30661,-6.98287,0,0
gen=0_training=16,-5.07948,0.0531696,0,0
gen=0_training=17,-4.98413,7.49525,0,0
gen=0_training=18,-5.31721,2.33022,0,0
gen=0_training=19,-4.97076,7.84552,0,0
gen=5_member=147_pso,-9.81508,0.188966,0,0
gen=7_member=206_pso,-6.39201,5.34036,0,0
gen=10_member=301_pso,-5.88251,3.47034,0,0
gen=11_member=328_pso,-8.90203,-0.27136,0,0
gen=12_member=357_pso,-8.34959,-2.42207,0,0
gen=12_member=369_pso,-9.18414,0.243903,0,0
gen=15_member=446_pso,-8.56961,-1.37278,0,0
gen=15_member=454_pso,-6.05903,-3.00962,0,0
gen=17_member=491_pso,-7.18248,6.39111,0,0
gen=18_member=531_pso,-8.66975,-0.898147,0,0
gen=18_member=537_pso,-6.87336,3.28266,0,0
gen=19_member=551_pso,-6.42707,2.65682,0,0
gen=19_member=556_pso,-7.93697,-3.654,0,0
gen=19_member=576_pso,-6.94034,5.32518,0,0
gen=20_member=583_pso,-6.67176,-2.68178,0,0
gen=20_member=586_pso,-8.25382,-1.73094,0,0
gen=20_member=591_pso,-6.52821,3.08751,0,0
gen=20_member=595_pso,-9.28293,0.311862,0,0
gen=20_member=597_pso,-6.34118,1.64792,0,0
gen=20_member=602_pso,-5.91587,6.76626,0,0
