real_name,x1,x2
gen=34_member=399_pso,-2.63296,-2.60468
gen=34_member=400_pso,-0.969534,1.02144
gen=34_member=401_pso,-1.26691,0.956224
gen=34_member=402_pso,-1.69872,-1.55177
gen=34_member=403_pso,-1.79365,-0.00620018
gen=34_member=404_pso,-2.13285,-3.12108
gen=34_member=405_pso,-1.8221,-2.90844
gen=34_member=406_pso,-0.0309137,1.02806
gen=34_member=407_pso,-1.8885,-0.667767
gen=34_member=408_pso,-0.903985,0.669726
gen=34_member=409_pso,1.52546,2.0953
gen=34_member=410_pso,-0.958997,0.411058
gen=34_member=411_pso,0.883262,-0.156237
gen=34_member=412_pso,-0.636934,-0.365662
gen=34_member=413_pso,0.714672,0.414273
gen=34_member=414_pso,0.562821,0.349939
gen=34_member=415_pso,-1.94174,-2.6208
gen=34_member=416_pso,0.257196,0.335563
gen=34_member=417_pso,0.380735,3.42426
gen=34_member=418_pso,-0.00400495,2.06056
gen=34_member=419_pso,-1.19395,-1.91698
gen=34_member=420_pso,-1.62272,-0.695919
gen=34_member=421_pso,0.34193,0.0839644
gen=34_member=422_pso,-2.08656,-1.46371
gen=34_member=423_pso,-0.479353,0.765548
gen=34_member=424_pso,-1.41701,3.04454
gen=34_member=425_pso,-0.577099,-1.77609
gen=34_member=426_pso,-0.571536,-0.481844
gen=34_member=427_pso,-2.7678,1.43457
gen=34_member=428_pso,-2.53015,-2.80999
