generation,member,obj1,obj2,obj1_sd,obj2_sd,obj1_sd_syn,obj2_sd_syn,nsga2_front,nsga2_crowding_distance,nn_count,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=5_member=147_pso,-9.81508,0.188966,0,0,0.50121,1.02455,1,1,0,0.279399,0.279399,1,-999
0,gen=19_member=556_pso,-7.93697,-3.654,0,0,0.50121,1.02455,1,1,0,0.228973,0.228973,1,-999
0,gen=12_member=357_pso,-8.34959,-2.42207,0,0,0.50121,1.02455,1,1,0,0.303104,0.303104,1,-999
0,gen=11_member=328_pso,-8.90203,-0.27136,0,0,0.50121,1.02455,1,1,0,0.330849,0.330849,1,-999
0,gen=0_training=15,-6.30661,-6.98287,0,0,0.50121,1.02455,1,1,0,0.142909,0.142909,1,-999
0,gen=15_member=446_pso,-8.56961,-1.37278,0,0,0.50121,1.02455,1,0.444444,1,0.325509,0.325509,1,-999
0,gen=18_member=531_pso,-8.66975,-0.898147,0,0,0.50121,1.02455,1,0.111111,2,0.37475,0.37475,1,-999
1,gen=5_member=147_pso,-9.81508,0.188966,0,0,0.242034,0.549673,1,0.765625,1,0.250153,0.250153,1,-999
1,gen=19_member=556_pso,-7.93697,-3.654,0,0,0.242034,0.549673,1,1,0,0.206117,0.206117,1,-999
1,gen=12_member=357_pso,-8.34959,-2.42207,0,0,0.242034,0.549673,1,1,0,0.281121,0.281121,1,-999
1,gen=11_member=328_pso,-8.90203,-0.27136,0,0,0.242034,0.549673,1,0.765625,1,0.317411,0.317411,1,-999
1,gen=0_training=15,-6.30661,-6.98287,0,0,0.242034,0.549673,1,1,0,0.142909,0.142909,1,-999
1,gen=15_member=446_pso,-8.56961,-1.37278,0,0,0.242034,0.549673,1,0.5625,2,0.317411,0.317411,1,-999
1,gen=18_member=531_pso,-8.66975,-0.898147,0,0,0.242034,0.549673,1,0.5625,2,0.281121,0.281121,1,-999
1,gen=21_member=34_pso,-8.82168,-1.6991,0.0495935,3.12674,0.242034,3.12674,1,1,0,0.276543,0.276543,1,-999
1,gen=21_member=33_pso,-9.93711,1.00443,0.0689534,3.12068,0.242034,3.12068,1,1,0,0.276449,0.276449,1,-999
1,gen=21_member=12_pso,-6.84837,-6.02085,0.067507,4.00603,0.242034,4.00603,1,1,0,0.146377,0.146377,1,-999
1,gen=21_member=31_pso,-9.7319,-0.494915,0.0755882,2.55017,0.242034,2.55017,1,0.765625,1,0.291986,0.291986,1,-999
1,gen=21_member=24_pso,-8.96021,1.26223,0.0461819,3.04447,0.242034,3.04447,1,0.5625,2,0.283555,0.283555,1,-999
1,gen=21_member=36_pso,-8.67001,-0.866512,0.0330352,2.87838,0.242034,2.87838,1,0.390625,3,0.315189,0.315189,1,-999
1,gen=21_member=19_pso,-8.74788,0.290189,0.105138,3.21693,0.242034,3.21693,1,0.25,4,0.311537,0.311537,1,-999
1,gen=21_member=32_pso,-8.61395,-0.224225,0.0319527,3.07621,0.242034,3.07621,1,0.015625,7,0.306223,0.306223,1,-999
2,gen=21_member=34_pso,-8.82168,-1.6991,0.0495935,3.12674,0.187654,3.12674,1,0.510204,2,0.276543,0.276543,1,-999
2,gen=21_member=33_pso,-9.93711,1.00443,0.0689534,3.12068,0.187654,3.12068,1,0.734694,1,0.276449,0.276449,1,-999
2,gen=21_member=12_pso,-6.84837,-6.02085,0.067507,4.00603,0.187654,4.00603,1,1,0,0.147512,0.147512,1,-999
2,gen=19_member=556_pso,-7.93697,-3.654,0,0,0.187654,0.8785,1,1,0,0.181238,0.181238,1,-999
2,gen=12_member=357_pso,-8.34959,-2.42207,0,0,0.187654,0.8785,1,0.734694,1,0.236937,0.236937,1,-999
2,gen=0_training=15,-6.30661,-6.98287,0,0,0.187654,0.8785,1,1,0,0.142909,0.142909,1,-999
2,gen=5_member=147_pso,-9.81508,0.188966,0,0,0.187654,0.8785,1,0.510204,2,0.215394,0.215394,1,-999
2,gen=21_member=31_pso,-9.7319,-0.494915,0.0755882,2.55017,0.187654,2.55017,1,0.510204,2,0.291986,0.291986,1,-999
2,gen=11_member=328_pso,-8.90203,-0.27136,0,0,0.187654,0.8785,1,0.326531,3,0.236937,0.236937,1,-999
2,gen=21_member=24_pso,-8.96021,1.26223,0.0461819,3.04447,0.187654,3.04447,1,0.326531,3,0.283555,0.283555,1,-999
2,gen=18_member=531_pso,-8.66975,-0.898147,0,0,0.187654,0.8785,1,0.734694,1,0.279399,0.279399,1,-999
2,gen=15_member=446_pso,-8.56961,-1.37278,0,0,0.187654,0.8785,1,0.510204,2,0.250153,0.250153,1,-999
2,gen=21_member=36_pso,-8.67001,-0.866512,0.0330352,2.87838,0.187654,2.87838,1,0.183673,4,0.315189,0.315189,1,-999
2,gen=21_member=19_pso,-8.74788,0.290189,0.105138,3.21693,0.187654,3.21693,1,0.326531,3,0.332059,0.332059,1,-999
2,gen=21_member=32_pso,-8.61395,-0.224225,0.0319527,3.07621,0.187654,3.07621,1,0.0204082,6,0.32664,0.32664,1,-999
2,gen=22_member=58_pso,-5.91806,-15.8088,0.142303,7.2066,0.187654,7.2066,1,1,0,0.0685254,0.0685254,1,-999
2,gen=22_member=56_pso,-7.43795,-3.76593,0.0525779,3.85431,0.187654,3.85431,1,1,0,0.1801,0.1801,1,-999
2,gen=22_member=48_pso,-10.0465,1.50088,0.0841931,2.96006,0.187654,2.96006,1,1,0,0.246592,0.246592,1,-999
2,gen=22_member=40_pso,-9.13069,-0.452377,0.0318797,3.12005,0.187654,3.12005,1,1,0,0.351591,0.351591,1,-999
2,gen=22_member=47_pso,-9.05764,-0.176484,0.131834,4.03413,0.187654,4.03413,1,0.734694,1,0.293751,0.293751,1,-999
2,gen=22_member=41_pso,-6.61093,-7.14115,0.0678615,4.59169,0.187654,4.59169,1,0.734694,1,0.126316,0.126316,1,-999
2,gen=22_member=62_pso,-9.74486,3.51818,0.191643,3.18846,0.191643,3.18846,1,0.510204,2,0.185885,0.185885,1,-999
3,gen=22_member=58_pso,-5.91806,-15.8088,0.142303,7.2066,0.17243,7.2066,1,1,0,0.073619,0.073619,1,-999
3,gen=22_member=56_pso,-7.43795,-3.76593,0.0525779,3.85431,0.17243,3.85431,1,1,0,0.188747,0.188747,1,-999
3,gen=22_member=48_pso,-10.0465,1.50088,0.0841931,2.96006,0.17243,2.96006,1,1,0,0.263573,0.263573,1,-999
3,gen=22_member=40_pso,-9.13069,-0.452377,0.0318797,3.12005,0.17243,3.12005,1,1,0,0.349058,0.349058,1,-999
3,gen=21_member=12_pso,-6.84837,-6.02085,0.067507,4.00603,0.17243,4.00603,1,1,0,0.147512,0.147512,1,-999
3,gen=19_member=556_pso,-7.93697,-3.654,0,0,0.17243,0.715815,1,1,0,0.175233,0.175233,1,-999
3,gen=0_training=15,-6.30661,-6.98287,0,0,0.17243,0.715815,1,1,0,0.139927,0.139927,1,-999
3,gen=22_member=47_pso,-9.05764,-0.176484,0.131834,4.03413,0.17243,4.03413,1,0.694444,1,0.293751,0.293751,1,-999
3,gen=22_member=41_pso,-6.61093,-7.14115,0.0678615,4.59169,0.17243,4.59169,1,0.694444,1,0.126316,0.126316,1,-999
3,gen=21_member=33_pso,-9.93711,1.00443,0.0689534,3.12068,0.17243,3.12068,1,0.694444,1,0.294895,0.294895,1,-999
3,gen=18_member=531_pso,-8.66975,-0.898147,0,0,0.17243,0.715815,1,0.694444,1,0.208646,0.208646,1,-999
3,gen=12_member=357_pso,-8.34959,-2.42207,0,0,0.17243,0.715815,1,0.444444,2,0.200233,0.200233,1,-999
3,gen=5_member=147_pso,-9.81508,0.188966,0,0,0.17243,0.715815,1,0.444444,2,0.200233,0.200233,1,-999
3,gen=22_member=62_pso,-9.74486,3.51818,0.191643,3.18846,0.191643,3.18846,1,0.25,3,0.195248,0.195248,1,-999
3,gen=21_member=34_pso,-8.82168,-1.6991,0.0495935,3.12674,0.17243,3.12674,1,0.444444,2,0.276543,0.276543,1,-999
3,gen=21_member=31_pso,-9.7319,-0.494915,0.0755882,2.55017,0.17243,2.55017,1,0.25,3,0.296304,0.296304,1,-999
3,gen=15_member=446_pso,-8.56961,-1.37278,0,0,0.17243,0.715815,1,0.444444,2,0.228973,0.228973,1,-999
