real_name,obj1,obj2,obj1_sd,obj2_sd
gen=5_member=147_pso,-9.81508,0.188966,0,0
gen=41_member=16_pso,-3.68968,-5.00014,0.132255,8.04108
gen=19_member=556_pso,-7.93697,-3.654,0,0
gen=12_member=357_pso,-8.34959,-2.42207,0,0
gen=0_training=15,-6.30661,-6.98287,0,0
gen=41_member=30_pso,-9.43662,0.0296354,0.0757405,1.98501
gen=41_member=13_pso,-5.79531,0.0741108,2.64622,4.63549
gen=41_member=10_pso,-7.913,-3.66559,0.0560043,2.793
gen=15_member=446_pso,-8.56961,-1.37278,0,0
gen=18_member=531_pso,-8.66975,-0.898147,0,0
gen=11_member=328_pso,-8.90203,-0.27136,0,0
gen=41_member=8_pso,-7.93543,0.0630964,0.814015,3.368
