child,parent_1,parent_2,parent_3
GEN=41_MEMBER=0_DE,GEN=5_MEMBER=147_PSO,GEN=12_MEMBER=357_PSO,GEN=11_MEMBER=328_PSO,GEN=39_MEMBER=561_PSO
GEN=41_MEMBER=1_DE,GEN=39_MEMBER=550_PSO,GEN=37_MEMBER=500_PSO,GEN=38_MEMBER=533_PSO,GEN=39_MEMBER=572_PSO
GEN=41_MEMBER=2_DE,GEN=19_MEMBER=556_PSO,GEN=12_MEMBER=357_PSO,GEN=0_TRAINING=15,GEN=39_MEMBER=551_PSO
GEN=41_MEMBER=3_PSO,GEN=5_MEMBER=147_PSO,,
GEN=41_MEMBER=4_PSO,GEN=19_MEMBER=556_PSO,,
GEN=41_MEMBER=5_PSO,GEN=12_MEMBER=357_PSO,,
GEN=41_MEMBER=6_PSO,GEN=11_MEMBER=328_PSO,,
GEN=41_MEMBER=7_PSO,GEN=0_TRAINING=15,,
GEN=41_MEMBER=8_PSO,GEN=15_MEMBER=446_PSO,,
GEN=41_MEMBER=9_PSO,GEN=18_MEMBER=531_PSO,,
GEN=41_MEMBER=10_PSO,GEN=39_MEMBER=550_PSO,,
GEN=41_MEMBER=11_PSO,GEN=39_MEMBER=561_PSO,,
GEN=41_MEMBER=12_PSO,GEN=34_MEMBER=421_PSO,,
GEN=41_MEMBER=13_PSO,GEN=22_MEMBER=48_PSO,,
GEN=41_MEMBER=14_PSO,GEN=40_MEMBER=593_PSO,,
GEN=41_MEMBER=15_PSO,GEN=35_MEMBER=434_PSO,,
GEN=41_MEMBER=16_PSO,GEN=30_MEMBER=290_PSO,,
GEN=41_MEMBER=17_PSO,GEN=39_MEMBER=574_PSO,,
GEN=41_MEMBER=18_PSO,GEN=39_MEMBER=551_PSO,,
GEN=41_MEMBER=19_PSO,GEN=34_MEMBER=401_PSO,,
GEN=41_MEMBER=20_PSO,GEN=37_MEMBER=500_PSO,,
GEN=41_MEMBER=21_PSO,GEN=27_MEMBER=190_PSO,,
GEN=41_MEMBER=22_PSO,GEN=38_MEMBER=533_PSO,,
GEN=41_MEMBER=23_PSO,GEN=40_MEMBER=599_PSO,,
GEN=41_MEMBER=24_PSO,GEN=31_MEMBER=313_PSO,,
GEN=41_MEMBER=25_PSO,GEN=39_MEMBER=572_PSO,,
GEN=41_MEMBER=26_PSO,GEN=38_MEMBER=540_PSO,,
GEN=41_MEMBER=27_PSO,GEN=33_MEMBER=380_PSO,,
GEN=41_MEMBER=28_PSO,GEN=37_MEMBER=494_PSO,,
GEN=41_MEMBER=29_PSO,GEN=40_MEMBER=598_PSO,,
GEN=41_MEMBER=30_PSO,GEN=41_MEMBER=0_DE,,
GEN=41_MEMBER=31_PSO,GEN=41_MEMBER=1_DE,,
GEN=41_MEMBER=32_PSO,GEN=41_MEMBER=2_DE,,
GEN=42_MEMBER=33_PSO,GEN=5_MEMBER=147_PSO,,
GEN=42_MEMBER=34_PSO,GEN=41_MEMBER=16_PSO,,
GEN=42_MEMBER=35_PSO,GEN=19_MEMBER=556_PSO,,
GEN=42_MEMBER=36_PSO,GEN=12_MEMBER=357_PSO,,
GEN=42_MEMBER=37_PSO,GEN=0_TRAINING=15,,
GEN=42_MEMBER=38_PSO,GEN=41_MEMBER=30_PSO,,
GEN=42_MEMBER=39_PSO,GEN=41_MEMBER=13_PSO,,
GEN=42_MEMBER=40_PSO,GEN=41_MEMBER=10_PSO,,
GEN=42_MEMBER=41_PSO,GEN=15_MEMBER=446_PSO,,
GEN=42_MEMBER=42_PSO,GEN=18_MEMBER=531_PSO,,
GEN=42_MEMBER=43_PSO,GEN=11_MEMBER=328_PSO,,
GEN=42_MEMBER=44_PSO,GEN=41_MEMBER=8_PSO,,
GEN=42_MEMBER=45_PSO,GEN=41_MEMBER=26_PSO,,
GEN=42_MEMBER=46_PSO,GEN=41_MEMBER=15_PSO,,
GEN=42_MEMBER=47_PSO,GEN=39_MEMBER=550_PSO,,
GEN=42_MEMBER=48_PSO,GEN=41_MEMBER=9_PSO,,
GEN=42_MEMBER=49_PSO,GEN=41_MEMBER=31_PSO,,
GEN=42_MEMBER=50_PSO,GEN=41_MEMBER=29_PSO,,
GEN=42_MEMBER=51_PSO,GEN=41_MEMBER=20_PSO,,
GEN=42_MEMBER=52_PSO,GEN=41_MEMBER=18_PSO,,
GEN=42_MEMBER=53_PSO,GEN=41_MEMBER=4_PSO,,
GEN=42_MEMBER=54_PSO,GEN=41_MEMBER=3_PSO,,
GEN=42_MEMBER=55_PSO,GEN=41_MEMBER=24_PSO,,
GEN=42_MEMBER=56_PSO,GEN=41_MEMBER=17_PSO,,
GEN=42_MEMBER=57_PSO,GEN=41_MEMBER=7_PSO,,
GEN=42_MEMBER=58_PSO,GEN=41_MEMBER=25_PSO,,
GEN=42_MEMBER=59_PSO,GEN=41_MEMBER=11_PSO,,
GEN=42_MEMBER=60_PSO,GEN=39_MEMBER=561_PSO,,
GEN=42_MEMBER=61_PSO,GEN=34_MEMBER=421_PSO,,
GEN=42_MEMBER=62_PSO,GEN=41_MEMBER=27_PSO,,
GEN=43_MEMBER=63_PSO,GEN=5_MEMBER=147_PSO,,
GEN=43_MEMBER=64_PSO,GEN=42_MEMBER=37_PSO,,
GEN=43_MEMBER=65_PSO,GEN=42_MEMBER=33_PSO,,
GEN=43_MEMBER=66_PSO,GEN=19_MEMBER=556_PSO,,
GEN=43_MEMBER=67_PSO,GEN=15_MEMBER=446_PSO,,
GEN=43_MEMBER=68_PSO,GEN=12_MEMBER=357_PSO,,
GEN=43_MEMBER=69_PSO,GEN=0_TRAINING=15,,
GEN=43_MEMBER=70_PSO,GEN=41_MEMBER=30_PSO,,
GEN=43_MEMBER=71_PSO,GEN=41_MEMBER=16_PSO,,
GEN=43_MEMBER=72_PSO,GEN=41_MEMBER=13_PSO,,
GEN=43_MEMBER=73_PSO,GEN=18_MEMBER=531_PSO,,
GEN=43_MEMBER=74_PSO,GEN=42_MEMBER=55_PSO,,
GEN=43_MEMBER=75_PSO,GEN=41_MEMBER=10_PSO,,
GEN=43_MEMBER=76_PSO,GEN=11_MEMBER=328_PSO,,
GEN=43_MEMBER=77_PSO,GEN=42_MEMBER=62_PSO,,
GEN=43_MEMBER=78_PSO,GEN=41_MEMBER=8_PSO,,
GEN=43_MEMBER=79_PSO,GEN=42_MEMBER=52_PSO,,
GEN=43_MEMBER=80_PSO,GEN=42_MEMBER=47_PSO,,
GEN=43_MEMBER=81_PSO,GEN=42_MEMBER=35_PSO,,
GEN=43_MEMBER=82_PSO,GEN=41_MEMBER=31_PSO,,
GEN=43_MEMBER=83_PSO,GEN=39_MEMBER=550_PSO,,
GEN=43_MEMBER=84_PSO,GEN=42_MEMBER=38_PSO,,
GEN=43_MEMBER=85_PSO,GEN=41_MEMBER=29_PSO,,
GEN=43_MEMBER=86_PSO,GEN=41_MEMBER=15_PSO,,
GEN=43_MEMBER=87_PSO,GEN=41_MEMBER=9_PSO,,
GEN=43_MEMBER=88_PSO,GEN=41_MEMBER=18_PSO,,
GEN=43_MEMBER=89_PSO,GEN=42_MEMBER=60_PSO,,
GEN=43_MEMBER=90_PSO,GEN=41_MEMBER=4_PSO,,
GEN=43_MEMBER=91_PSO,GEN=41_MEMBER=20_PSO,,
GEN=43_MEMBER=92_PSO,GEN=42_MEMBER=44_PSO,,
GEN=44_MEMBER=93_PSO,GEN=5_MEMBER=147_PSO,,
GEN=44_MEMBER=94_PSO,GEN=43_MEMBER=79_PSO,,
GEN=44_MEMBER=95_PSO,GEN=43_MEMBER=74_PSO,,
GEN=44_MEMBER=96_PSO,GEN=19_MEMBER=556_PSO,,
GEN=44_MEMBER=97_PSO,GEN=15_MEMBER=446_PSO,,
GEN=44_MEMBER=98_PSO,GEN=12_MEMBER=357_PSO,,
GEN=44_MEMBER=99_PSO,GEN=11_MEMBER=328_PSO,,
GEN=44_MEMBER=100_PSO,GEN=0_TRAINING=15,,
GEN=44_MEMBER=101_PSO,GEN=42_MEMBER=33_PSO,,
GEN=44_MEMBER=102_PSO,GEN=41_MEMBER=30_PSO,,
GEN=44_MEMBER=103_PSO,GEN=41_MEMBER=16_PSO,,
GEN=44_MEMBER=104_PSO,GEN=18_MEMBER=531_PSO,,
GEN=44_MEMBER=105_PSO,GEN=43_MEMBER=91_PSO,,
GEN=44_MEMBER=106_PSO,GEN=42_MEMBER=37_PSO,,
GEN=44_MEMBER=107_PSO,GEN=41_MEMBER=10_PSO,,
GEN=44_MEMBER=108_PSO,GEN=43_MEMBER=88_PSO,,
GEN=44_MEMBER=109_PSO,GEN=43_MEMBER=69_PSO,,
GEN=44_MEMBER=110_PSO,GEN=42_MEMBER=55_PSO,,
GEN=44_MEMBER=111_PSO,GEN=43_MEMBER=77_PSO,,
GEN=44_MEMBER=112_PSO,GEN=41_MEMBER=13_PSO,,
GEN=44_MEMBER=113_PSO,GEN=42_MEMBER=62_PSO,,
GEN=44_MEMBER=114_PSO,GEN=41_MEMBER=8_PSO,,
GEN=44_MEMBER=115_PSO,GEN=43_MEMBER=84_PSO,,
GEN=44_MEMBER=116_PSO,GEN=42_MEMBER=52_PSO,,
GEN=44_MEMBER=117_PSO,GEN=42_MEMBER=47_PSO,,
GEN=44_MEMBER=118_PSO,GEN=42_MEMBER=38_PSO,,
GEN=44_MEMBER=119_PSO,GEN=42_MEMBER=35_PSO,,
GEN=44_MEMBER=120_PSO,GEN=41_MEMBER=31_PSO,,
GEN=44_MEMBER=121_PSO,GEN=39_MEMBER=550_PSO,,
GEN=44_MEMBER=122_PSO,GEN=43_MEMBER=75_PSO,,
GEN=45_MEMBER=123_PSO,GEN=5_MEMBER=147_PSO,,
GEN=45_MEMBER=124_PSO,GEN=44_MEMBER=121_PSO,,
GEN=45_MEMBER=125_PSO,GEN=43_MEMBER=79_PSO,,
GEN=45_MEMBER=126_PSO,GEN=43_MEMBER=74_PSO,,
GEN=45_MEMBER=127_PSO,GEN=19_MEMBER=556_PSO,,
GEN=45_MEMBER=128_PSO,GEN=15_MEMBER=446_PSO,,
GEN=45_MEMBER=129_PSO,GEN=12_MEMBER=357_PSO,,
GEN=45_MEMBER=130_PSO,GEN=11_MEMBER=328_PSO,,
GEN=45_MEMBER=131_PSO,GEN=0_TRAINING=15,,
GEN=45_MEMBER=132_PSO,GEN=42_MEMBER=33_PSO,,
GEN=45_MEMBER=133_PSO,GEN=41_MEMBER=30_PSO,,
GEN=45_MEMBER=134_PSO,GEN=41_MEMBER=16_PSO,,
GEN=45_MEMBER=135_PSO,GEN=18_MEMBER=531_PSO,,
GEN=45_MEMBER=136_PSO,GEN=43_MEMBER=91_PSO,,
GEN=45_MEMBER=137_PSO,GEN=42_MEMBER=37_PSO,,
GEN=45_MEMBER=138_PSO,GEN=41_MEMBER=10_PSO,,
GEN=45_MEMBER=139_PSO,GEN=43_MEMBER=88_PSO,,
GEN=45_MEMBER=140_PSO,GEN=43_MEMBER=69_PSO,,
GEN=45_MEMBER=141_PSO,GEN=44_MEMBER=101_PSO,,
GEN=45_MEMBER=142_PSO,GEN=41_MEMBER=13_PSO,,
GEN=45_MEMBER=143_PSO,GEN=44_MEMBER=108_PSO,,
GEN=45_MEMBER=144_PSO,GEN=44_MEMBER=105_PSO,,
GEN=45_MEMBER=145_PSO,GEN=42_MEMBER=55_PSO,,
GEN=45_MEMBER=146_PSO,GEN=41_MEMBER=8_PSO,,
GEN=45_MEMBER=147_PSO,GEN=44_MEMBER=115_PSO,,
GEN=45_MEMBER=148_PSO,GEN=44_MEMBER=110_PSO,,
GEN=45_MEMBER=149_PSO,GEN=44_MEMBER=98_PSO,,
GEN=45_MEMBER=150_PSO,GEN=43_MEMBER=77_PSO,,
GEN=45_MEMBER=151_PSO,GEN=42_MEMBER=62_PSO,,
GEN=45_MEMBER=152_PSO,GEN=44_MEMBER=95_PSO,,
GEN=46_MEMBER=153_PSO,GEN=5_MEMBER=147_PSO,,
GEN=46_MEMBER=154_PSO,GEN=44_MEMBER=121_PSO,,
GEN=46_MEMBER=155_PSO,GEN=0_TRAINING=15,,
GEN=46_MEMBER=156_PSO,GEN=43_MEMBER=79_PSO,,
GEN=46_MEMBER=157_PSO,GEN=43_MEMBER=74_PSO,,
GEN=46_MEMBER=158_PSO,GEN=45_MEMBER=137_PSO,,
GEN=46_MEMBER=159_PSO,GEN=19_MEMBER=556_PSO,,
GEN=46_MEMBER=160_PSO,GEN=15_MEMBER=446_PSO,,
GEN=46_MEMBER=161_PSO,GEN=12_MEMBER=357_PSO,,
GEN=46_MEMBER=162_PSO,GEN=45_MEMBER=150_PSO,,
GEN=46_MEMBER=163_PSO,GEN=45_MEMBER=132_PSO,,
GEN=46_MEMBER=164_PSO,GEN=42_MEMBER=33_PSO,,
GEN=46_MEMBER=165_PSO,GEN=18_MEMBER=531_PSO,,
GEN=46_MEMBER=166_PSO,GEN=11_MEMBER=328_PSO,,
