real_name,obj1,obj2,obj1_sd,obj2_sd
gen=62_member=33_pso,-5.02886,3.78123,0.0767028,4.03178
gen=62_member=34_pso,-3.33979,2.79618,0.369691,1.768
gen=62_member=35_pso,-5.46602,-0.640127,0.0947528,4.88256
gen=62_member=36_pso,-5.28686,15.845,0.0861346,4.90312
gen=62_member=37_pso,-3.99319,2.71103,0.0732592,5.59668
gen=62_member=38_pso,-3.95539,5.73351,1.45095,3.82064
gen=62_member=39_pso,-5.46912,2.0235,0.0436277,4.29663
gen=62_member=40_pso,-4.26371,2.9927,1.93303,3.24536
gen=62_member=41_pso,-9.21138,0.796488,0.0871093,0.165733
gen=62_member=42_pso,-6.28894,2.07391,0.0282908,4.16565
gen=62_member=43_pso,-5.30119,0.921399,0.418519,3.71877
gen=62_member=44_pso,-7.26016,2.29493,0.0331572,0.416436
gen=62_member=45_pso,-5.90906,0.629182,0.39031,4.05232
gen=62_member=46_pso,-5.39745,12.3466,1.54656,4.70669
gen=62_member=47_pso,-6.13525,2.26553,0.0349887,4.0702
gen=62_member=48_pso,-8.52205,2.12012,0.0598322,0.0702763
gen=62_member=49_pso,-5.61409,12.182,0.0576484,4.78025
gen=62_member=50_pso,-5.48884,13.4298,0.0606438,5.02485
gen=62_member=51_pso,-5.5426,0.761393,0.0538048,4.81701
gen=62_member=52_pso,-5.96684,3.72072,0.0571141,4.6538
gen=62_member=53_pso,-8.65721,-0.475757,0.0426286,0.0671235
gen=62_member=54_pso,-6.0359,1.94771,0.0732216,3.47339
gen=62_member=55_pso,-5.6774,10.4619,0.11985,4.67166
gen=62_member=56_pso,-5.19669,2.50622,0.0695734,3.71191
gen=62_member=57_pso,-4.155,2.25524,0.0534544,4.76214
gen=62_member=58_pso,-8.5879,-1.24038,0.0409904,0.0651634
gen=62_member=59_pso,-8.65131,2.8393,0.115562,1.18767
gen=62_member=60_pso,-5.07291,3.76308,0.207165,2.49499
gen=62_member=61_pso,-4.29208,2.60591,2.14031,3.9195
gen=62_member=62_pso,-4.27278,0.859947,0.281847,1.80238
