real_name,obj1,obj2,obj1_sd,obj2_sd
gen=74_member=414_pso,-8.1996,-3.16005,0.0388655,0.0921192
gen=80_member=585_pso,-8.69492,-0.86934,0.0455048,0.0458663
gen=66_member=160_pso,-9.46447,-0.589817,0.0493782,1.51301
gen=5_member=147_pso,-9.81508,0.188966,0,0
gen=15_member=446_pso,-8.56961,-1.37278,0,0
gen=12_member=357_pso,-8.34959,-2.42207,0,0
gen=11_member=328_pso,-8.90203,-0.27136,0,0
gen=75_member=447_pso,-7.99587,-3.63041,0.0733425,0.210539
gen=0_training=15,-6.30661,-6.98287,0,0
gen=78_member=538_pso,-9.13328,-0.655536,0.0468692,0.77408
gen=74_member=403_pso,-8.44665,-1.89397,0.0372164,0.163376
gen=80_member=581_pso,-8.55918,-1.36535,0.0596092,0.0507174
gen=79_member=562_pso,-9.15294,-0.383783,0.0504379,0.832475
gen=79_member=548_pso,-9.40096,-0.295853,0.0481798,0.926865
gen=65_member=152_pso,-9.7857,0.220078,0.0589797,0.0596832
gen=19_member=556_pso,-7.93697,-3.654,0,0
gen=80_member=591_pso,-8.73288,-0.755839,0.0419301,0.0464392
gen=80_member=582_pso,-8.71657,-0.779128,0.0373417,0.0618238
gen=79_member=569_pso,-8.3152,-2.1883,0.130769,0.412287
gen=79_member=549_pso,-9.78378,0.217128,0.0577695,0.0585231
gen=78_member=513_pso,-9.09456,-0.575448,0.0571509,0.946546
gen=62_member=58_pso,-8.5879,-1.24038,0.0409904,0.0651634
gen=61_member=27_pso,-8.09558,-1.71228,0.0987559,1.93649
gen=41_member=10_pso,-7.95885,-3.37077,0,0
gen=67_member=192_pso,-8.82964,-0.369436,0.111416,0.271542
gen=77_member=507_pso,-8.16023,-1.8064,0.0533516,1.72342
gen=75_member=450_pso,-8.9323,-0.127488,0.160947,0.282356
gen=73_member=390_pso,-9.10693,0.146407,0.0796052,0.525941
gen=72_member=351_pso,-8.30116,-1.70539,0.145161,0.585599
gen=72_member=334_pso,-9.76337,0.206465,0.0601975,0.0483808
