time,elapsed_seconds,message
15:04:22,9.15e-05,PEST++ performance logger started
15:04:22,0.0003406,starting to process control file
15:04:22,0.0079623,finished processing control file
15:04:22,0.0110776,initializing MOEA process
15:04:22,0.0001683,using 'nsga2_ppd' env selector
15:04:22,2.1e-05,using binary tournament mating pool selector
15:04:22,2.35e-05,saving generation specific populations and archives every nth generation 1
15:04:22,2.79e-05,'opt_dec_var_groups' passed, using 2 adjustable parameters as decision variables
15:04:22,2.96e-05,number of decision variables:  2
15:04:22,1.99e-05,max run fail:  3
15:04:22,1.9e-05,'opt_chance_points' = SINGLE, evaluating chance at representative point
15:04:22,3.08e-05,initializing constraints
15:04:22,0.0002925,using particle swarm generator
15:04:22,0.0010216,processing dv population file initial.dv_pop.csv
15:04:22,3.13e-05,loading dv population from csv file initial.dv_pop.csv
15:04:22,0.0066459,dv population with 27 members read from 'initial.dv_pop.csv'

15:04:22,4.31e-05,previous generation numbers detected in dv population, fast forwarding generation counter to 60
15:04:22,1.02e-05,processing obs population file initial.obs_pop.csv
15:04:22,1.51e-05,loading obs population from csv file initial.obs_pop.csv
15:04:22,0.0057344,obs population with 27 members read from 'initial.obs_pop.csv'

15:04:22,0.0024055, saved observation population to  kur.0.obs_pop.csv
15:04:22,2.4e-05,initial population decision variable summary:
15:04:22,4.83e-05,initial population objective function summary:
15:04:22,2.37e-05,seeking optimal trade-off point for single 'optimal' chance point runs
15:04:22,2.13e-05,using member GEN=0_TRAINING=15 as single, 'optimal' point
   with distance of 3.50847 from optimal trade - off
15:04:22,0.0023708, saved initial dv population to  kur.0.dv_pop.csv
15:04:22,2.64e-05,performing initial pareto dominance sort
15:04:22,0.0054063,ParetoObjectives::get_nsga2_pareto_dominance() for 27 population members
15:04:22,2.97e-05,ParetoObjectives::update() for  27 population members
15:04:22,8.2e-06,preparing fast-lookup containers
15:04:22,0.0002164,checking for duplicate solutions
15:04:22,9.8e-05,calculating fitness
15:04:22,9.2e-06,get_spea_fitness
15:04:22,7.81e-05,fill domination containers
15:04:22,0.0002968,pareto front sorting
15:04:22,9.3e-06,starting 'fast non-dom sort
15:04:22,6.7e-06,fill domination containers
15:04:22,0.0002426,finding first front
15:04:22,1.1e-05,sorting remaining fronts
15:04:22,0.0013473,kur.0.dv_pop.csvinitialized archives with 9 nondominated members
15:04:22,1.8e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 9 population members
15:04:22,1.23e-05,ParetoObjectives::update() for  9 population members
15:04:22,1.01e-05,preparing fast-lookup containers
15:04:22,9.09e-05,checking for duplicate solutions
15:04:22,3.58e-05,calculating fitness
15:04:22,1.04e-05,get_spea_fitness
15:04:22,2.78e-05,fill domination containers
15:04:22,5.79e-05,pareto front sorting
15:04:22,9.8e-06,starting 'fast non-dom sort
15:04:22,9.8e-06,fill domination containers
15:04:22,4.77e-05,finding first front
15:04:22,1.18e-05,sorting remaining fronts
15:04:22,0.0006284,ParetoObjectives::get_nsga2_pareto_dominance() for 9 population members
15:04:22,1.13e-05,ParetoObjectives::update() for  9 population members
15:04:22,7.2e-06,preparing fast-lookup containers
15:04:22,4.52e-05,checking for duplicate solutions
15:04:22,2.16e-05,calculating fitness
15:04:22,6.4e-06,get_spea_fitness
15:04:22,1.95e-05,fill domination containers
15:04:22,3.89e-05,pareto front sorting
15:04:22,7e-06,starting 'fast non-dom sort
15:04:22,6.5e-06,fill domination containers
15:04:22,3.28e-05,finding first front
15:04:22,7.8e-06,sorting remaining fronts
15:04:22,0.0004672,using the initial population for hypervolume partitioning
15:04:22,1.12e-05,ParetoObjectives::get_hypervolume() for 27 archive members
15:04:22,4.46e-05,ParetoObjectives::set_hypervolume_partitions() for outer pareto archive members
15:04:22,0.0013011,saved decision variable population of size 9 X 2 to 'kur.archive.dv_pop.csv'
15:04:22,0.0014981,saved generation-specific decision variable population of size 9 X 2 to 'kur.0.archive.dv_pop.csv'
15:04:22,0.001222,saved observation population of size 9 X 4 to 'kur.archive.obs_pop.csv'
15:04:22,0.0015208,saved generation-specific observation population of size 9 X 4 to 'kur.0.archive.obs_pop.csv'
15:04:22,0.0001125,number of initial feasible solutions: 9
15:04:22,1.92e-05,initialization complete
15:04:22,0.0001984,starting generation  1
15:04:22,1.7e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 27 population members
15:04:22,1.03e-05,ParetoObjectives::update() for  27 population members
15:04:22,7.8e-06,preparing fast-lookup containers
