real_name,x1,x2
gen=5_member=147_pso,-0.0162071,0.0919072
gen=7_member=206_pso,-2.17177,-0.539103
gen=10_member=301_pso,-2.65064,-0.112131
gen=11_member=328_pso,-0.580923,0.0265879
gen=12_member=357_pso,-0.90186,0.00123871
gen=12_member=369_pso,-0.420388,0.0659875
gen=15_member=446_pso,-0.771692,-0.0136452
gen=15_member=454_pso,-2.43691,-0.580829
gen=17_member=491_pso,-1.63135,-0.277017
gen=18_member=531_pso,-0.711441,0.0570551
gen=18_member=537_pso,-1.81108,-0.484087
gen=19_member=551_pso,-2.13011,-0.590081
gen=19_member=556_pso,-1.14266,-0.170192
gen=19_member=576_pso,-1.7564,-0.499956
gen=20_member=583_pso,-2.01954,0.126668
gen=20_member=586_pso,-0.791392,-0.542613
gen=20_member=591_pso,-2.12836,-0.12887
gen=20_member=595_pso,-0.366738,0.0625929
gen=20_member=597_pso,-2.13343,-0.797469
gen=20_member=602_pso,-2.5704,-0.531288
