generation,member,obj1,obj2,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=5_member=147_pso,-9.81508,0.188966,1,1e+30,106.279,106.279,1,-999
0,gen=7_member=206_pso,-6.39201,5.34036,4,1e+30,18.2539,18.2539,1,-999
0,gen=10_member=301_pso,-5.88251,3.47034,4,1e+30,0.257781,0.257781,1,-999
0,gen=11_member=328_pso,-8.90203,-0.27136,1,0.892716,104.331,104.331,1,-999
0,gen=12_member=357_pso,-8.34959,-2.42207,1,0.93046,105.281,105.281,1,-999
0,gen=12_member=369_pso,-9.18414,0.243903,2,0.934241,104.307,104.307,1,-999
0,gen=15_member=446_pso,-8.56961,-1.37278,1,0.567015,104.317,104.317,1,-999
0,gen=15_member=454_pso,-6.05903,-3.00962,2,1e+30,33.2203,33.2203,1,-999
0,gen=17_member=491_pso,-7.18248,6.39111,3,1e+30,18.1952,18.1952,1,-999
0,gen=18_member=531_pso,-8.66975,-0.898147,1,0.4636,104.307,104.307,1,-999
0,gen=18_member=537_pso,-6.87336,3.28266,3,0.961633,47.2689,47.2689,1,-999
0,gen=19_member=551_pso,-6.42707,2.65682,3,0.525828,47.3319,47.3319,1,-999
0,gen=19_member=556_pso,-7.93697,-3.654,1,1e+30,106.251,106.251,1,-999
0,gen=19_member=576_pso,-6.94034,5.32518,3,1.02278,32.2473,32.2473,1,-999
0,gen=20_member=583_pso,-6.67176,-2.68178,2,1.06576,77.26,77.26,1,-999
0,gen=20_member=586_pso,-8.25382,-1.73094,2,1.66014,104.278,104.278,1,-999
0,gen=20_member=591_pso,-6.52821,3.08751,3,0.66242,47.2897,47.2897,1,-999
0,gen=20_member=595_pso,-9.28293,0.311862,2,1e+30,104.298,104.298,1,-999
0,gen=20_member=597_pso,-6.34118,1.64792,3,1e+30,33.2578,33.2578,1,-999
0,gen=20_member=602_pso,-5.91587,6.76626,5,-999,0.188819,0.188819,1,-999
