time,elapsed_seconds,message
15:03:29,9.76e-05,PEST++ performance logger started
15:03:29,0.0003372,starting to process control file
15:03:29,0.0063543,finished processing control file
15:03:29,0.00846,initializing MOEA process
15:03:29,6.27e-05,using 'nsga2' env selector
15:03:29,2.08e-05,using binary tournament mating pool selector
15:03:29,2.33e-05,saving generation specific populations and archives every nth generation 1
15:03:29,2.35e-05,'opt_dec_var_groups' passed, using 2 adjustable parameters as decision variables
15:03:29,2.93e-05,number of decision variables:  2
15:03:29,1.87e-05,max run fail:  3
15:03:29,1.87e-05,'opt_chance_points' = SINGLE, evaluating chance at representative point
15:03:29,3.03e-05,initializing constraints
15:03:29,0.0003301,using particle swarm generator
15:03:29,0.0013039,processing dv population file infill.dv_pop.csv
15:03:29,2.63e-05,loading dv population from csv file infill.dv_pop.csv
15:03:29,0.0070209,dv population with 20 members read from 'infill.dv_pop.csv'

15:03:29,2.91e-05,previous generation numbers detected in dv population, fast forwarding generation counter to 40
15:03:29,3.17e-05,checking for denormal values in dv population
15:03:29,0.0014274, saved initial dv population to  kur.0.dv_pop.csv
15:03:29,1.29e-05,running initial population
15:03:29,1.79e-05,running initial population of size 20
15:03:29,0.0026855,running population of size  20
15:03:29,1.51e-05,queuing 20 runs
15:03:29,0.0012279,making runs
15:03:39,10.2786,processing runs
15:03:39,0.0060108, saved observation population to  kur.0.obs_pop.csv
15:03:39,2.85e-05,initial population decision variable summary:
15:03:39,5.8e-05,initial population objective function summary:
15:03:39,3.03e-05,using member GEN=40_MEMBER=593_PSO as nearest-to-mean single point
    with distance of 0.509395 from mean of decision variable population
15:03:39,0.0017124, saved initial dv population to  kur.0.dv_pop.csv
15:03:39,2.08e-05,performing initial pareto dominance sort
15:03:39,0.0026835,ParetoObjectives::get_nsga2_pareto_dominance() for 20 population members
15:03:39,2.13e-05,ParetoObjectives::update() for  20 population members
15:03:39,7.7e-06,preparing fast-lookup containers
15:03:39,0.0001074,checking for duplicate solutions
15:03:39,5.19e-05,calculating fitness
15:03:39,8.9e-06,get_spea_fitness
15:03:39,5.11e-05,fill domination containers
15:03:39,0.0001431,pareto front sorting
15:03:39,9.1e-06,starting 'fast non-dom sort
15:03:39,6.5e-06,fill domination containers
15:03:39,0.000103,finding first front
15:03:39,7.6e-06,sorting remaining fronts
15:03:39,0.00065,kur.0.dv_pop.csvinitialized archives with 1 nondominated members
15:03:39,1e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 1 population members
15:03:39,7.5e-06,ParetoObjectives::update() for  1 population members
15:03:39,6.2e-06,preparing fast-lookup containers
15:03:39,1.21e-05,checking for duplicate solutions
15:03:39,1.04e-05,calculating fitness
15:03:39,6.4e-06,get_spea_fitness
15:03:39,6.6e-06,fill domination containers
15:03:39,8.8e-06,pareto front sorting
15:03:39,6.3e-06,starting 'fast non-dom sort
15:03:39,6.1e-06,fill domination containers
15:03:39,6.5e-06,finding first front
15:03:39,6.2e-06,sorting remaining fronts
15:03:39,4.81e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 1 population members
15:03:39,7.2e-06,ParetoObjectives::update() for  1 population members
15:03:39,6.1e-06,preparing fast-lookup containers
15:03:39,9.3e-06,checking for duplicate solutions
15:03:39,7.3e-06,calculating fitness
15:03:39,6.1e-06,get_spea_fitness
15:03:39,6.6e-06,fill domination containers
15:03:39,7.3e-06,pareto front sorting
15:03:39,6.1e-06,starting 'fast non-dom sort
15:03:39,6.1e-06,fill domination containers
15:03:39,6.6e-06,finding first front
15:03:39,6e-06,sorting remaining fronts
15:03:39,0.0009065,saved decision variable population of size 1 X 2 to 'kur.archive.dv_pop.csv'
15:03:39,0.0012912,saved generation-specific decision variable population of size 1 X 2 to 'kur.0.archive.dv_pop.csv'
15:03:39,0.0013381,saved observation population of size 1 X 4 to 'kur.archive.obs_pop.csv'
15:03:39,0.0011924,saved generation-specific observation population of size 1 X 4 to 'kur.0.archive.obs_pop.csv'
15:03:39,7.88e-05,number of initial feasible solutions: 1
15:03:39,1.56e-05,initialization complete
