real_name,x1,x2
gen=41_member=10_pso,-0.932684,-0.658126
gen=43_member=74_pso,-5,1.62299
gen=43_member=79_pso,-1.48396,-0.840729
gen=44_member=121_pso,0.17066,-0.410166
gen=47_member=200_pso,0.662277,-1.02014
gen=49_member=247_pso,-0.610181,-0.314648
gen=49_member=259_pso,0.813622,-1.77819
gen=51_member=318_pso,-0.447368,0.241554
gen=53_member=379_pso,-5,2.25648
gen=54_member=394_pso,0.779541,-0.986628
gen=54_member=411_pso,-5,1.59149
gen=54_member=417_pso,0.106252,0.292437
gen=55_member=426_pso,-0.701779,-0.122184
gen=55_member=433_pso,-5,-1.23474
gen=55_member=448_pso,-0.0552733,-0.0910027
gen=58_member=516_pso,2.81987,-0.274798
gen=59_member=546_pso,-0.57924,-0.390384
gen=59_member=560_pso,-5,1.52816
gen=60_member=576_pso,-5,1.6013
gen=60_member=582_pso,-1.17229,0.415163
