real_name,obj1,obj2,obj1_sd,obj2_sd
gen=62_member=58_pso,-8.58122,-1.20816,0,0
gen=65_member=152_pso,-9.93411,0.0735657,0,0
gen=66_member=160_pso,-9.42443,0.431582,0,0
gen=67_member=192_pso,-8.85051,-0.10066,0,0
gen=71_member=330_pso,-8.7193,-0.740008,0,0
gen=74_member=403_pso,-8.44327,-1.63642,0,0
gen=74_member=414_pso,-8.19123,-3.14899,0,0
gen=75_member=447_pso,-8.00383,-3.7529,0,0
gen=75_member=450_pso,-8.68734,0.306467,0,0
gen=77_member=507_pso,-8.1811,-3.13904,0,0
gen=78_member=513_pso,-9.08866,0.402835,0,0
gen=78_member=538_pso,-9.10922,0.239636,0,0
gen=79_member=548_pso,-9.3566,0.451199,0,0
gen=79_member=549_pso,-9.89069,0.134595,0,0
gen=79_member=562_pso,-9.11751,0.337695,0,0
gen=79_member=569_pso,-8.17474,-1.70621,0,0
gen=80_member=581_pso,-8.56949,-1.37261,0,0
gen=80_member=582_pso,-8.70592,-0.756522,0,0
gen=80_member=585_pso,-8.68752,-0.936536,0,0
gen=80_member=591_pso,-8.72156,-0.809832,0,0
