real_name,x1,x2
gen=65_member=152_pso,0.0025959,-0.0329497
gen=0_training=15,-1.97096,-1.195
gen=75_member=447_pso,-1.11283,-0.033117
gen=11_member=328_pso,-0.580923,0.0265879
gen=74_member=414_pso,-0.997448,0.0176779
gen=12_member=357_pso,-0.90186,0.00123871
gen=74_member=403_pso,-0.830493,-0.161655
gen=71_member=330_pso,-0.683361,-0.0505667
gen=15_member=446_pso,-0.771692,-0.0136452
gen=62_member=58_pso,-0.761373,-0.0748756
gen=18_member=531_pso,-0.711441,0.0570551
gen=55_member=426_pso,-0.701779,-0.122184
